exact_tuple_id	surface	page	selected	alternative_1	alternative_2	selection_reason
087a47b5423438cd6b6a	chokcheo	f56r	drink it for pain of the stomach	drink it for griping of the belly	apply it to a painful swelling	Selected reading completes the containing article with class INDICATION_APPLICATION and fewer new inherited arguments.
0ec6a45e2950e8e7061d	chodaly	f56r	the lower root	take the corresponding leaf or root part	take the visibly matching flower or seed part	Selected reading completes the containing article with class PLANT_PART and fewer new inherited arguments.
12efe866f335461823a6	chair	f10r	use the reddish swollen root	take the corresponding leaf or root part	take the visibly matching flower or seed part	Selected reading completes the containing article with class PLANT_PART and fewer new inherited arguments.
1322bc176443fc2a8a86	qokokchy	f56r	dry them in shade	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
1b1ffdd869fb1429ad03	oldy	f55v	boil gently; close the heating step	wash the root once and put it aside	rinse the vessel once and end the step	Selected reading completes the containing article with class PREPARATION_CLOSE and fewer new inherited arguments.
204b04837409088c48f9	oltchy	f55v	keep it in a covered jar	keep it dried in a covered vessel	store it immersed in oil	Selected reading completes the containing article with class PRESERVATION and fewer new inherited arguments.
27d97af8c96eb056c2e6	oykchor	f10r	when the blue flower first opens	gather it at first flowering	gather it after the dew has dried	Selected reading completes the containing article with class GATHERING_TIME and fewer new inherited arguments.
2c1a5fd92b9e3c762242	cheeky	f55v	while the mixture is still warm	use it while still warm	use it once after cooling	Selected reading completes the containing article with class APPLICATION_CONDITION and fewer new inherited arguments.
2e2027b1951d79911e24	tchody	f11r	draw the clear liquid into a clean jar; close	decant it into a covered jar; end	let it settle in a clean vessel; end	Selected reading completes the containing article with class PRESERVATION_CLOSE and fewer new inherited arguments.
308e8ea2d5d190c498e8	okal	f55v	mix the two measured portions together	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
322281bd391aa621f568	okchol	f11r	lay it on while warm	use it while still warm	use it once after cooling	Selected reading completes the containing article with class APPLICATION_CONDITION and fewer new inherited arguments.
403c1592f918c8f23b88	ykain	f55v	boil the cut leaf gently	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
409de02322e7b2ca0c62	kaiiin	f10r	it has a bitter taste	it is warm and dry in the first degree	it is cold and moist in the first degree	Selected reading completes the containing article with class QUALITY and fewer new inherited arguments.
