program_card_id	surfaces	program_action_de	selector_axis	selector_axis_de	occurrence_count	statement_ids	module_ids	pages	owner_sequences	modifier_slot_inventory	teaching_rule_de
04a3877f0fc81b7597c9	ldy	abziehen	OUTFLOW_WITHDRAW	Abführen oder abziehen	2	B2-S005|B3-S033	WM16|WM31	f82r|f83r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_MAIN_ARCH_LINKED_PAIR	OWNER_ITEM|TARGET|OPERATION|FLOW_TRANSFER|QUANTITY|STATE_GRADE	Die Schlusskarte unterscheidet Abfluss, Restabfluss und Fraktionsentnahme.
1b1ffdd869fb1429ad03	oldy	fortsetzen	TRANSFER_CONTINUE	Umsetzen oder fortführen	1	B4-S010	WM32	f83r	B4_MAIN_ARCH_LINKED_PAIR	KEINE	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
259b2b3b0bf859882e2c	schedy|dchedy|tchedy	umsetzen	TRANSFER_CONTINUE	Umsetzen oder fortführen	3	B1-S002|B2-S001|B3-S024	WM10|WM16|WM29	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	QUANTITY|OPERATION|MEDIUM|TARGET|SOURCE|ORDER|STATE_GRADE|PREPARATION|OWNER_ITEM|FLOW_TRANSFER	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
28ffbc88b97772a75f1e	qolchedy|olchedy	fortsetzen	TRANSFER_CONTINUE	Umsetzen oder fortführen	3	B1-S005|B2-S002|B3-S006	WM10|WM16|WM25	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	OWNER_ITEM|OPERATION|TARGET	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
2bc2ed2630dbdaaa6b59	dalchdy	dorthin umsetzen	TRANSFER_CONTINUE	Umsetzen oder fortführen	1	B3-S021	WM29	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	QUANTITY|OPERATION|STATE_GRADE|TARGET|OWNER_ITEM	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
3b70942557b3a40e8030	olkeedy	länger sammeln	COLLECTION	Sammeln	2	B1-S018|B3-S001	WM15|WM23	f81v|f83r	B1_SHARED_TWO_ROW_POOL|B3_UPPER_MARGIN_OPEN_FAN_STATION	TARGET|OPERATION|QUANTITY|STATE_GRADE	Die terminale Sammelkarte wählt das lange Sammelprogramm; Auffangziel und Anwendung können davor stehen.
4de12cf322dfb76ded1e	qotchedy|otchedy	Folgeumsetzung	TRANSFER_CONTINUE	Umsetzen oder fortführen	2	B3-S022|B3-S030	WM29|WM31	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	OWNER_ITEM|OPERATION|QUANTITY|MEDIUM|FLOW_TRANSFER	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
54e32e9c1414b20640e9	sshkchdy	schwenken	SWIVEL_MIX	Schwenken	1	B1-S003	WM10	f81v	B1_SHARED_TWO_ROW_POOL	ORDER|OPERATION	Die gelernte Schwenkkarte ist ein eigenes Stationsprogramm, keine allgemeine Transferendung.
601b77449028deed39de	otchdy	Folgeumsetzung	TRANSFER_CONTINUE	Umsetzen oder fortführen	1	B5-S001	WM36	f83r	B5_LEFT_OPEN_FRINGE_STATION	KEINE	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
65df3cd9e59060042d47	pchedy	einführen	TRANSFER_CONTINUE	Umsetzen oder fortführen	1	B2-S016	WM22	f82r	B2_LOWER_POOL_EDGE_STATIONS	TARGET|SOURCE|OPERATION|FLOW_TRANSFER|OWNER_ITEM|QUANTITY|ORDER|STATE_GRADE	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
