group	record	start	end	target	target_word	actions	action_words	action_count	distinct_actions	groups	open_groups	raw	row_status
F83_P1_G1	F83_P1	f83r.1:1	f83r.1:6	f83r.1:6	shedy	NONE	NONE	0	0	6	5	tchedy lpchedy opedy chepol pchedar shedy	recorded
F83_P1_G2	F83_P1	f83r.1:7	f83r.3:7	f83r.3:7	lchedy	f83r.2:10	chedy	1	1	19	16	qopchedy sol cheey qokaiin shol lchs shey qoteedy rches ar chedy dor olkeedy qotal chkeedy chey daiin chey lchedy	recorded
F83_P1_G3	F83_P1	f83r.3:8	f83r.4:7	f83r.4:7	shedy	f83r.4:2	chedy	1	1	10	7	qokaiin qotal dar qokshedy chedy qokedy chkedy daiin shetar shedy	recorded
F83_P1_G4	F83_P1	f83r.4:8	f83r.5:6	f83r.5:6	shedy	f83r.4:9	chedy	1	1	8	6	qekaiin chedy deey qotaiin checkhy qoty cheg shedy	recorded
F83_P1_G5	F83_P1	f83r.5:7	f83r.6:8	f83r.6:8	lchedy	f83r.6:6,f83r.6:7	chedy,qokeedy	2	2	12	8	qokeey rchedy qoteedy lo schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy	recorded
F83_P1_G6	F83_P1	f83r.6:9	f83r.8:6	NONE	NONE	f83r.8:5	chedy	1	1	17	16	qoky solshed lsheedy qeeedy qoky o qol rsheedy qokedy qoteedy qoteedy pchedal otedy shecthedchy qoky chedy chary	recorded
F83_P2_G1	F83_P2	f83r.9:1	f83r.11:2	f83r.11:2	shedy	NONE	NONE	0	0	24	23	pchor checphedy qokedy lsheedy qokchdy r shedkedy qopshdy qopy olkeey rchs cheeb ols aiin skal dain cthal s aiin chky lal sam sor shedy	recorded
F83_P2_G2	F83_P2	f83r.11:3	f83r.11:9	f83r.11:9	lchedy	NONE	NONE	0	0	7	5	qokaiin chkain shcthey qokedy okair sheedy lchedy	recorded
F83_P2_G3	F83_P2	f83r.11:10	f83r.13:3	f83r.13:3	shedy	NONE	NONE	0	0	13	12	lo qockhol sheckhy otal qokeal sheckhdy al okedy qokedy qokal salcheol tar shedy	recorded
F83_P2_G4	F83_P2	f83r.13:4	f83r.14:3	f83r.14:3	shedy	f83r.14:2	qokeedy	1	1	10	8	s altedy sair qokedy qedy lchcphedy ldar qokchedy qokeedy shedy	recorded
F83_P2_G5	F83_P2	f83r.14:4	f83r.14:6	f83r.14:6	lchedy	NONE	NONE	0	0	3	2	qokshedy dal lchedy	recorded
F83_P2_G6	F83_P2	f83r.14:7	f83r.15:9	f83r.15:9	lchedy	NONE	NONE	0	0	13	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	recorded
F83_P2_G7	F83_P2	f83r.16:1	f83r.17:6	NONE	NONE	f83r.16:5	chedy	1	1	14	13	tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror dcheokedy lkeed shckhey ytaiin shechy schety	recorded
F83_P3_G1	F83_P3	f83r.18:1	f83r.18:4	f83r.18:4	shedy	NONE	NONE	0	0	4	3	pdalshdy shocphedy otor shedy	recorded
F83_P3_G2	F83_P3	f83r.18:5	f83r.19:6	f83r.19:6	shedy	NONE	NONE	0	0	11	10	opshedy otshdy qokedol shdy soldy sar shedaiin ockhey sain ched shedy	recorded
F83_P3_G3	F83_P3	f83r.19:7	f83r.19:9	f83r.19:9	shedy	NONE	NONE	0	0	3	2	qetal dal shedy	recorded
F83_P3_G4	F83_P3	f83r.19:10	f83r.19:11	f83r.19:11	lchedy	NONE	NONE	0	0	2	1	shey lchedy	recorded
F83_P3_G5	F83_P3	f83r.20:1	f83r.23:4	f83r.23:4	shedy	f83r.21:5,f83r.22:3,f83r.22:5	chedy,qokeedy,chedy	3	2	32	28	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin solkeedy qokedy otedy sol chedy lkedy qokchedy qokedy chckhdy sar schedair otchedy qokeedy chedain chedy qotedaiin otaiin otedy ldy tchedy qotedy qokal shedy	recorded
F83_P3_G6	F83_P3	f83r.23:5	f83r.24:6	f83r.24:6	shedy	f83r.23:9	chedy	1	1	11	9	qokedy shecthedy shecthy otor chedy soiiin checthy chety otaiin olsaly shedy	recorded
F83_P4_G1	F83_P4	f83r.25:1	f83r.26:5	f83r.26:5	shedy	f83r.25:1,f83r.25:5	qokeedy,chedy	2	2	11	8	qokeedy qolchey qokeey qokedy chedy otal otchey qokeey qoky tol shedy	recorded
F83_P4_G2	F83_P4	f83r.26:6	f83r.28:5	f83r.28:5	shedy	f83r.27:2,f83r.27:3	chedy,qokeedy	2	2	11	8	qokylddy dain chedy qokeedy shckhedy shckhedy saiin cheeky sheey qokedy shedy	recorded
F83_P4_G3	F83_P4	f83r.28:6	f83r.30:5	NONE	NONE	f83r.30:3	qokeedy	1	1	11	10	oldy salchedy cheey qody kesd oldy s okeedy qokeedy qoky saii	recorded
F83_P5_G1	F83_P5	f83r.31:1	f83r.32:3	f83r.32:3	lchedy	NONE	NONE	0	0	7	6	techedy qotchedy okeedy ldy cheol qokchedy lchedy	recorded
