component	concrete_root_lemma_de	shelf	atom_uses	previous_abstract_value_de	workshop_expansion_de	image_expansion_de	root_rule_de
Y	DIES	PRODUCTIVE_CONTRAST_CORE	997	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	Der Stamm bedeutet nur DIES; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
OK	ANSETZEN	PRODUCTIVE_CONTRAST_CORE	448	START	Arbeitsgang ansetzen	Bildplatz aktivieren	Der Stamm bedeutet nur ANSETZEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
E	KURZ	PRODUCTIVE_CONTRAST_CORE	429	KURZ	kurz oder direkt	erster Grad	Der Stamm bedeutet nur KURZ; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
DY	SCHLIESSEN	PRODUCTIVE_CONTRAST_CORE	368	ENDE	Arbeitsschritt schließen	Bildeintrag schließen	Der Stamm bedeutet nur SCHLIESSEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
O	AUSFÜHREN	PRODUCTIVE_CONTRAST_CORE	341	GANG	Arbeitsgang ausführen	Reihe aufrufen	Der Stamm bedeutet nur AUSFÜHREN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
OL	FORTSETZEN	PRODUCTIVE_CONTRAST_CORE	325	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	Der Stamm bedeutet nur FORTSETZEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
EE	LÄNGER	PRODUCTIVE_CONTRAST_CORE	264	LANG	länger oder gehalten	zweiter Grad	Der Stamm bedeutet nur LÄNGER; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
OT	DANACH	PRODUCTIVE_CONTRAST_CORE	239	NAECHST	danach oder nächster Posten	nächster Bildplatz	Der Stamm bedeutet nur DANACH; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
AL	ZIEL	PRODUCTIVE_CONTRAST_CORE	229	ZIEL	Ziel- oder Anschlussstelle	Zielplatz	Der Stamm bedeutet nur ZIEL; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CH	ENTNEHMEN	PRODUCTIVE_CONTRAST_CORE	222	AUSWAHL	bezeichneten Anteil entnehmen	Klasse oder Figur kennzeichnen	Der Stamm bedeutet nur ENTNEHMEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
D_ADDR	TEIL	FORMAL_ADDRESS_SIGN	222	UNTER	bezeichneter Teil	Unterplatz	Der Stamm bedeutet nur TEIL; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
