surface	card_class	composition	source_working_meaning_de	working_meaning_de	render_mode	source	scope_state	external_positions	external_pages
olpchedy	P	O_PREP+L_WOOD+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	fertiggestelltes Trockenpulver aus Holzdrogenansatz	EXTERNAL_NOMINAL_RESULT	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	2	1
dchey	P	D_MEASURE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	eine Dosis bis zur Mittelstufe trocknen und abschließen	abgemessene Trockendroge der Mittelstufe, abgeschlossen	INITIAL_ACTION_ELSE_NOMINAL	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	14	14
alched	P	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	Rohdroge I bis zur Mittelstufe trocknen und abschließen	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	EXTERNAL_NOMINAL_RESULT	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	1	1
qolsheedy	P	QOL_ADD+SH_MOIST+EE_END+DY_FINISHED	vollständig eingeweichten Drogenstoff zugeben und fertigstellen	vollständig eingeweichten und fertigen Drogenstoff zugeben	QOL_ACTION_SHEEDY_RESULT	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	1	1
qopchol	P	QO_COMMAND+P_POWDER+CH_DRY+OL_MATERIAL	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	ACTION_HOLD	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	4	4
oror	P	OR_PORTION+OR_PORTION	zwei Portionen	zwei Portionen	QUANTITY_ATTACHMENT	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	3	3
olam	P	O_PREP+L_WOOD+AM_UNIT_I	ein Maß Holzdroge im Ansatz	ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	OL_BOUNDARY_OPEN	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	4	4
dshees	P	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	eine Charge vollständig eingeweichter Droge abmessen	Dosis oder Charge vollständig eingeweichter Arzneispecies	NOMINAL_MEASURE_OR_CHARGE	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	1	1
chcphey	P	CH_DRY+CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum	EXTERNAL_NOMINAL_RESULT	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	2	2
shecphy	P	SH_MOIST+E_MIDDLE+CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe einweichen und abschließen	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	EXTERNAL_NOMINAL_RESULT	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	2	2
lchl	W	LEARNED_LCHL_WHOLE	getrocknetes Drogenholz	getrocknetes Drogenholz	LEARNED_EXACT_WHOLE	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	LEARNED_EXACT_WHOLE_TRANSFER	1	1
olkar	P	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	erste erhitzte Holzdrogenfraktion im Ansatz	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	OL_BOUNDARY_AND_READER_OPEN	GDT675:GDT674_EXACT_EXTERNAL_TRANSFER	ROLE_COMPOSED_EXACT_TRANSFER	16	11
