unit_id	section	page	group_count	bound_group_range	frozen_selected_section_reading	purpose_A_unit_role	purpose_B_unit_role	A_visual_fit_0_4	A_selected_section_fit_0_4	A_period_mechanism_support_0_4	A_book_coexistence_fit_0_4	A_production_fit_0_4	A_total_0_20	B_visual_fit_0_4	B_selected_section_fit_0_4	B_period_mechanism_support_0_4	B_book_coexistence_fit_0_4	B_production_fit_0_4	B_total_0_20	A_minus_B	unit_lead	strongest_discriminator	frozen_section_rival	frozen_section_contradiction	scoring_status
H1	HERBAL	f10r	14	H:E001-H:E014	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel; säubere und zerschneide ihn und führe ihn als denselben Arbeitsansatz. Gib die Stücke in ein Gefäß, gieße Quellwasser darüber und fange den ersten Auszug in einem Glas auf. Gebrauche davon das örtlich vorgeschriebene kleine Maß innerlich bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen. Nimm erneut vom frischen Auszug, erwärme ihn gelinde, führe ihn als denselben Ansatz fort und gebrauche ihn, sobald er bereit ist.	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	4	4	4	4	3	19	4	3	4	2	3	16	3	A	An explicit therapeutic indication would favor A; a nonmedical material endpoint would favor B.	Pflanzenmaterial-Los: Wurzel säubern, in Wasser mazerieren, Prüfportion buchen und Rest lagern; kein Arzneigebrauch nötig.	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
H2	HERBAL	f10r	24	H:E015-H:E038	Von den jungen Spitzen derselben unbenannten Pflanze nimm Blütenstände und Blätter, wenn sie sich eben öffnen. Zerstoße das Kraut, presse den Saft durch ein Tuch, fange die erste Fraktion auf, gib Olivenöl im örtlichen Maß hinzu und erwärme gelinde. Nimm vor voller Blüte eine zweite Handvoll der Spitzen, führe den ersten Ansatz weiter, nimm den vorherigen Posten hinzu und vereinige beide Fraktionen im gleichen Maß. Gib sie in ein glasiertes Gefäß, führe sie als einen Salbenposten, rühre bei kleinem Feuer bis eine weiche Salbe entsteht, bewahre sie bedeckt und lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	Illustrated simple-drug article: two harvest-state fractions composed as an external salve.	Seasonal specimen/material protocol: two harvest fractions combined and conserved.	4	4	4	4	3	19	4	3	4	2	3	16	3	A	A bodily application or disease target would favor A; a durable reference sample would favor B.	Zwei zeitlich getrennte Erntefraktionen werden gepresst, verglichen und als Materialproben konserviert; Salbe und Geschwür entfallen.	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
H3	HERBAL	f11r	17	H:E039-H:E055	Von der unbenannten Pflanze nimm im ersten Frühjahr Blüten und junge Blätter, koche sie in reinem Wein, wringe sie durch ein feines Tuch, lass den Auszug stehen, seihe nochmals und lass ihn beim verlangten klaren Zustand abkühlen. Behalte frische Blüten für eine zweite Arznei zurück. Vom ersten Auszug gib ein kleines Maß als Trank bei bedrücktem Gemüt und beschwerter Brust. Die zurückbehaltenen Blüten erwärme in Olivenöl bis zum Bereitschaftszustand und streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	Illustrated simple-drug article: wine extraction/internal administration plus a flower-oil preparation.	Natural-material sheet: two plant fractions preserved in different media.	4	4	4	4	3	19	4	3	4	2	3	16	3	A	Administration language would favor A; comparison or storage language without a patient would favor B.	Blüten- und Blattfraktionen werden extrahiert, geklärt und als Referenzproben gelagert; Trank, Gemüt, Brust und Augenöl entfallen.	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
H4	HERBAL	f55v	18	H:E056-H:E073	Von der unbenannten Pflanze setze einen ersten Posten aus einem vorgeschriebenen Maß zerstoßener breiter Blätter und Weißwein an; verschließe das Gefäß und lass es kühl stehen. Miss eine Portion ab, wringe sie durch Leinwand, lass sie klar absetzen und verwahre den Auszug. Wasche damit einmal oder nach örtlicher Vorschrift eine unreine äußere Wunde und beende diesen Gebrauch. Nimm anschließend ein örtliches Maß der zurückbehaltenen Blätter, lege sie an die bezeichnete Stelle, erwärme sie, führe sie als zweiten Ansatz, mische sie mit Honig und lege den warmen Umschlag frisch auf.	Illustrated simple-drug article: clarified leaf wash and a honey-bound poultice.	Natural-material sheet: clarified leaf liquid and an adhesive plant preparation.	4	4	4	3	3	18	4	3	4	2	3	16	2	A	A named body site would favor A; a craft/material destination would favor B.	Zwei Blattlose werden mazeriert, gewaschen, verglichen und gelagert; Wunde, Honig und Umschlag entfallen.	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
H5	HERBAL	f56r	27	H:E074-H:E100	Von der abgebildeten, unbenannten Pflanze sammle zu Beginn der Blüte das ganze oberirdische Kraut an einem feuchten Standort und nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter, lege sie kurz auf eine einzelne Warze oder ein Hühnerauge an der bezeichneten Hautstelle, nimm die Auflage wieder ab, wasche mit Wasser und wiederhole nur bei guter Verträglichkeit. Trockne die übrigen blühenden Stiele im Schatten, zerreibe und verwahre sie. Setze daraus mit mildem Wein einen schwachen, durch ein Tuch geseihten Auszug an, gib Honig hinzu, erwärme gelinde und gib ihn in kleinem Maß als Brusttrank bei trockenem Husten.	Illustrated simple-drug article: fresh topical material and a dried wine/honey extract.	Natural-material sheet: fresh-versus-dry plant handling and preservation.	4	4	4	3	3	18	4	3	4	2	3	16	2	A	A treatment course would favor A; a shelf-life or material-quality test would favor B.	Kopf-, Blatt- und Krautfraktionen werden als klebrige Probe, Trockenlos und schwacher Auszug geführt; Warze, Husten und Brusttrank entfallen.	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
B1	BIO	f81v	66	B:E101-B:E166	Ein gemeinsames Badefeld erhält ein lokales Regimen aus Bereitstellen, Bemessen, Temperieren, Baden/Waschen, Spülen, Absetzen und Abschluss. Die zwei Figurenreihen sind keine zeitliche Vorher-/Nachher-Folge.	One shared therapeutic bathing field with a local regimen, not a chronological two-row sequence.	One illustrated bath/hydraulic installation sheet with local operating annotations.	4	4	4	4	3	19	3	3	4	2	3	15	4	A	Patient indication and regimen duration favor A; construction/maintenance instructions favor B.	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
B2	BIO	f82r	62	B:E167-B:E228	Ein Stationskatalog führt nacheinander obere Paarbecken/Zylinder, eine mittlere Gerätefigur, einen ungelösten Linie-/Liegeposten, das untere Mehrfigurenfeld und dessen Randplätze. Jeder Wechsel setzt Stoff und Richtung zurück.	A local atlas of separate therapeutic bathing/application stations.	A modelbook of separate bathhouse, vessel, and conduit installations.	3	3	4	4	3	17	4	4	4	2	4	18	-1	B	Local ailments or prescribed exposure favor A; materials, dimensions, or repairs favor B.	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
B3	BIO	f83r	86	B:E229-B:E314	Drei getrennte Randstationen tragen kurze Bade-/Waschartikel; danach folgt ein eigentümerloser Zwischenbereich und erst nach erneutem Reset das tatsächlich durch einen Bogen gekoppelte Hauptpaar.	Several independent treatment stations plus one genuine locally linked arch pair.	Several independent technical station drawings plus one genuinely connected installation pair.	3	2	3	4	3	15	4	4	4	2	4	18	-3	B	Repeated patient-state outcomes favor A; explicit mechanical interfaces favor B.	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
B4	BIO	f83r	47	B:E315-B:E361	Das Hauptbogenpaar trägt lokale Wasch-/Auflagehandlungen; anschließend folgen getrennt die linke offene Fransenstation und die rechte S-Lauf-/Mehrarmstation. Zwischen links und rechts besteht keine Kante.	A main paired treatment station with disconnected left and right local stations.	A main apparatus pair with disconnected marginal installation studies.	3	3	3	4	3	16	4	4	4	2	4	18	-2	B	Therapeutic sequencing within the true pair favors A; component interaction favors B.	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
B5	BIO	f83r	11	B:E362-B:E372	Der linke offene Endposten trägt einen kurzen eigenständigen Wärme-, Maß- und Zielartikel; er reicht nicht zum rechten Apparat.	Independent left-tail therapeutic station article.	Independent left-tail technical station note.	2	2	3	3	3	13	3	4	3	2	4	16	-3	B	A bodily outcome favors A; a local assembly or service action favors B.	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	TRANSPARENT_ORDINAL_HISTORICAL_DIAGNOSTIC_NOT_STATISTICAL_EVIDENCE
