cross_relation_ordinal	focus_host_id	event_id	statement_id	physical_page	register	owner_id	surface	final_recipe	relation_root	relation_atom_position	relation_phrase_de	head_event_id	head_card_ordinal	head_root	head_atom_position	head_nominal_de	attachment_geometry	current_visible_actions	same_root_different_occurrence	voice_status_before_gdt581	guard	gdt581_voice_disposition
1	G407-A00052	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	AR	3	von der Ausgangszeile	G407-E0045	45	CH	1	Entnehmen	PREVIOUS_CARD_ACTION	SH	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
2	G407-A00552	G407-E0616	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	ydals	Y+AL+S	AL	2	zur Zielstelle	G407-E0613	3	K	1	Zuordnen	INHERITED_ACTION	S	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
3	G407-A00575	G407-E0643	G407-S032	f24v	HERBAL	F24V_WHOLE_PLANT	arsa	AR+S+A_ADDR	AR	1	vom Ausgangsmaterial	G407-E0642	2	CH	1	Entnehmen	PREVIOUS_CARD_ACTION	S	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
4	G407-A01284	G407-E1276	G407-S068	f72r	CELESTIAL	Tierkreis-Ringgruppe E	dalchdy	AL+CHD+DY	AL	1	zur Zielposition	G407-E1275	16	OK	1	Setzen	PREVIOUS_CARD_ACTION	CHD	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
5	G407-A02123	G407-E2021	G407-S235	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	alchdy	AL+CHD+DY	AL	1	zur Zielstation	G407-E2020	7	OK	1	Setzen	PREVIOUS_CARD_ACTION	CHD	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
6	G407-A02149	G407-E2047	G407-S244	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	dalshedy	AL+SH+E+DY	AL	1	zur Zielstation	G407-E2046	3	OK	1	Setzen	PREVIOUS_CARD_ACTION	SH	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
7	G407-A02233	G407-E2114	G407-S253	f76r	BIOLOGICAL	unbebilderter Textabschnitt A7	darchey	AR+CH+EE+Y	AR	1	von der Ausgangsstation	G407-E2110	6	OK	1	Setzen	INHERITED_ACTION	CH	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
8	G407-A02256	G407-E2132	G407-S254	f76r	BIOLOGICAL	unbebilderter Textabschnitt A8	dalshedy	AL+SH+E+DY	AL	1	zur Zielstation	G407-E2129	4	OK	1	Setzen	INHERITED_ACTION	SH	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
9	G407-A02319	G407-E2184	G407-S264	f76r	BIOLOGICAL	unbebilderter Textabschnitt A8	alshy	AL+SH+Y	AL	1	zur Zielstation	G407-E2183	2	CH	1	Entnehmen	PREVIOUS_CARD_ACTION	SH	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
10	G407-A02924	G407-E2723	G407-S396	f81r	BIOLOGICAL	F81R_UPPER_POOL	alched	AL+CHD	AL	1	zur Zielstation	G407-E2722	4	SH	2	Halten	PREVIOUS_CARD_ACTION	CHD	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
