delayed_cell_id	action_case_id	target_rank	expected_target_ordinal	expected_target_surface	expected_bridge_ordinals	expected_bridge_surfaces	decision	result_role	practical_reading_de	bridge_interpretation_de	decisive_reason_de	portable_default
D001	A004	2	8	or	7	ches	HOLD	POSSIBLE_PORTION_RESULT	abgemessene Drogenportion	Das trockene Drogenmaterial auf #7 trägt die Portion auf #8.	Portion und Abmessen sind kompatibel; Ansatz zu Drogenmaterial und die fehlende ausgeschriebene Messung bleiben offen.	NO
D002	A004	3	9	cheey	7|8	ches|or	STOP	BLOCKED_LATER_STATE	trockener Endgrad der Portion	#7 nennt trockenes Drogenmaterial und #8 eine Drogenportion.	Endgrad widerspricht der unmittelbar vorher geschriebenen Mittelstufe; die Handlung trocknet nicht.	NO
D003	A012	2	4	al	3	dair	HOLD	POSSIBLE_MATERIAL_RESULT	Rohstoff I des abgemessenen Anteils	#3 liefert den abgemessenen Anteil II als Mengenbrücke.	Aufbereiten kann einen Stoff ergeben; Arzneikompositum zu Rohstoff und die fehlende Mittelstufe bleiben offen.	NO
D004	A012	3	5	qokedy	3|4	dair|al	HOLD	POSSIBLE_STAGE_RESULT	aufbereiteter Stoff auf heißer Mittelstufe	#3-4 liefern Anteil und Rohstoffklasse vor dem Zustandswort.	Mittelstufe stimmt; Hitze wird von der Handlung nicht ausgeschrieben und Arzneikompositum bleibt ungesichert.	NO
D005	A014	2	4	shedy	3	aiin	STOP	BLOCKED_LATER_STATE	Menge III der mittleren Feuchtstufe	#3 liefert nur die Menge III.	Feucht ist weder Ergebnis des Nehmens noch mit der gekühlten Ansatzcharge ausreichend verbunden.	NO
D006	A014	3	5	oteed	3|4	aiin|shedy	HOLD	POSSIBLE_COOL_RESULT	entnommener vollständig gekühlter Auszug	#3 zählt die Charge; #4 schreibt einen feuchten Zwischenstand.	Kälte passt, aber feucht greift ein und vollständig abgezogen geht über Nehmen einer Mittelstufencharge hinaus.	NO
D007	A015	2	8	cheockhy	7	aiin	STOP	BLOCKED_MATERIAL_RESULT	genommene trockene Kompositportion	#7 kann die genommene Drogenportion als Menge III zählen.	Der Materialkopf wechselt von Droge zu Arzneikompositum; trocken und Gradanfang sind neu.	NO
D008	A015	3	9	olkeey	7|8	aiin|cheockhy	STOP	BLOCKED_MATERIAL_STATE_RESULT	vollständig erhitzter Holzansatz	#7-8 bilden bereits ein Mengen- und Kompositregister.	Holz und vollständiges Erhitzen werden durch Nehmen einer Drogenportion nicht erzeugt.	NO
D009	A017	2	3	char	2	cthoor	HOLD	POSSIBLE_DRY_RESULT	getrockneter Krautanteil I	#2 liefert eine Portion Krautansatz als glaubhaften Patienten.	Trocknung und Portion passen; die Mittelstufe fehlt und Krautansatz zu Drogenanteil bleibt nur kompatibel.	NO
D010	A017	3	4	chty	2|3	cthoor|char	STOP	BLOCKED_LATER_STATE	trocken-kalter Anfangsgrad	#2-3 liefern Krautansatz und trockenen Drogenanteil.	Kalt und Gradanfang widersprechen der geschriebenen Mittelstufe.	NO
D011	A028	2	3	cholches	2	ar	HOLD	POSSIBLE_TAKEN_MATERIAL	zweiter nachgetrockneter Drogenansatz auf Mittelstufe	#2 liefert den Drogenanteil I als Materialbrücke.	Der zweite Drogenanteil kann fortgeführt sein; Nachtrocknen und Mittelstufe sind aber keine Folge von Nehmen.	NO
D012	A028	3	4	okain	2|3	ar|cholches	STOP	BLOCKED_LATER_STATE	heißer Ansatz II	#2-3 liefern Anteil und nachgetrocknetes Material.	Hitze und Grad II werden ohne Erhitzung neu eingeführt.	NO
D013	A029	2	7	okol	6	dar	HOLD	POSSIBLE_HEAT_RESULT	leicht erhitzter Ansatzstoff	#6 liefert den weitergetragenen Anteil I.	Erhitzen zu heiß stimmt; Abmessen ist nicht lizenziert und leicht wird rechts nicht genau bewahrt.	NO
D014	A029	3	8	dchey	6|7	dar|okol	STOP	BLOCKED_LATER_RESULT	fertige abgemessene Mittelstufen-Trockenportion	#6-7 liefern Anteil und heißen Ansatzstoff.	Abmessen, Trocknen, Abschluss und Mittelstufe werden von leichtem Erhitzen nicht erklärt.	NO
D015	A038	2	4	keeaiin	3	chol	STOP	BLOCKED_LATER_STATE	vollständig erhitzter trockener Anteil III	#3 bewahrt nur den trockenen Zustand des genommenen Anteils.	Nehmen erzeugt weder vollständiges Erhitzen noch Stufe III.	NO
D016	A041	2	3	dchey	2	cheey	STOP	BLOCKED_LATER_RESULT	genommene fertige Trockenportion	#2 bewahrt den trockenen Zustand am Gradende.	Mittelstufe, Abmessen und Fertigstellung werden durch Nehmen nicht erzeugt.	NO
D017	A048	2	5	chcphey	4	qokaiin	STOP	BLOCKED_LATER_RESULT	zugegebene fertige Trocken-Kompositportion	#4 schreibt nur heiß, Grad III, aber keinen Materialträger.	Hinzunehmen erklärt weder Trocknung noch Abschluss des Arzneikompositums.	NO
D018	A059	2	9	olkar	8	ol	STOP	BLOCKED_MATERIAL_STATE_RESULT	Holzansatzanteil I nach Kühlung	#8 liefert nur einen Grundansatz.	Heißer Holzansatz widerspricht der geschriebenen Kühlung; Trocknung und Kühlstufe II fehlen.	NO
D019	A059	3	10	okain	8|9	ol|olkar	STOP	BLOCKED_TEMPERATURE_RESULT	Ansatz auf Stufe II	#8-9 liefern Ansatz und heißen Holzanteil.	Die Zahl II ist attraktiv, aber der Zielzustand ist heiß und damit das Gegenteil der Kühlung.	NO
D020	A063	2	8	okiin	7	kain	HOLD	POSSIBLE_DESTINATION_CHAIN	Drogenstoff in heißen Empfänger geben; erhitzte Zubereitung III	#7 kann den heißen Empfängerzustand liefern.	Die Zugabekette ist konkret; Form III und Erhitzen der Gesamtzubereitung werden aber nicht durch Zugabe erzeugt.	NO
D021	A063	3	9	ol	7|8	kain|okiin	STOP	BLOCKED_AFTER_EARLIER_RESULT	Grundansatz als Empfänger	#7-8 liefern bereits heißen Zustand und erhitzte Zubereitung.	Der Grundansatz kann Zielbehälter sein, erscheint aber erst nach einem bereits vollständigen Zustand und ist kein Ergebnis.	NO
D022	A064	2	6	qoal	5	cheey	STOP	BLOCKED_MATERIAL_RESULT	abgemessener Rohstoff I	#5 liefert nur einen trockenen Endzustand.	Der geschriebene Holzanteil und die Menge gehen verloren; die Rohstoffklasse schreibt keine Messung.	NO
D023	A064	3	7	qokeedy	5|6	cheey|qoal	STOP	BLOCKED_LATER_STATE	heißer Endzustand	#5-6 liefern Trockenstand und Rohstoffklasse I.	Hitze wird ohne Erhitzen eingeführt; Holz und Anteil I verschwinden.	NO
D024	A070	2	6	kchdy	5	chol	HOLD	POSSIBLE_HEAT_RESULT	trockenes Maß bis zum heiß-trockenen Anfang erhitzen	#5 liefert einen kompatiblen trockenen Patienten- oder Zwischenzustand.	Erhitzen stimmt; Maß und genauer Zielgrad sind nicht ausgeschrieben und Anfang wird erst rechts geliefert.	NO
D025	A070	3	7	chol	5|6	chol|kchdy	STOP	BLOCKED_AFTER_EARLIER_RESULT	weiterhin trocken	#5-6 schreiben bereits trocken und den heiß-trockenen Anfang.	Die Wiederholung ist nur ein Zustandswert nach dem früheren plausiblen Ergebnis, kein zweites konkretes Produkt.	NO
D026	A077	2	7	okeeeey	6	or	ADMIT_RESULT_BUNDLE	WRITTEN_MATERIAL_FINAL_HEAT_RESULT_BUNDLE	Die abgemessene Drogenportion auf Stufe III erhitzen. Ergebnis: Die Drogenportion ist vollständig bis zur letzten Heizstufe geführt.	#6 ist nicht übersprungen: or schreibt den Patienten Drogenportion; #7 schreibt Erhitzung, letzte Stufe und Abschluss.	M007 bindet den abgemessenen Drogenanteil bereits an #5; Materialträger, Operation und Stufe bilden zusammen das stärkste vollständige spätere Ergebnis.	NO
D027	A077	3	8	ofchedy	6|7	or|okeeeey	STOP	BLOCKED_AFTER_ADMITTED_RESULT	fertig getrocknete Blütenmasse	#6-7 bilden bereits das aufgenommene Material-Zustands-Ergebnisbündel.	Blüte und Trocknung wechseln den Stoff und die Operation; #8 darf C019 nicht nachträglich erweitern.	NO
D028	A082	2	8	cheol	7	okol	HOLD	POSSIBLE_ARGUMENT_CHAIN	trockenen Drogenstoff in heißen Ansatzstoff geben	#7 kann den heißen Empfänger und #8 den zugegebenen Drogenstoff schreiben.	Das ist eine konkrete Argumentkette, aber kein ausgeschriebenes verwandeltes Ergebnis; die Reihenfolge der beiden Nomina bleibt offen.	NO
