unit_order	unit_id	page	register	group_count	medical_or_iatromedical_working_reading	nonmedical_rival_title	nonmedical_rival_reading	medical_content_fit_0_to_5	nonmedical_content_fit_0_to_5	strongest_discriminator	shared_formal_architecture
1	H1	f10r	HERBAL_ARTICLE	14	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Wurzel-Ausziehartikel	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	4	3	innerer Gebrauch oder Körperbeschwerde wäre medizinisch; das Bild zeigt nur Pflanze und Restfläche	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
2	H2	f10r	HERBAL_ARTICLE	24	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Pflanzenleim- oder Schlichteartikel	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	4	3	Salbe und Schwellung gegen allgemeine Paste und Werkstückauftrag	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
3	H3	f11r	HERBAL_ARTICLE	17	Koche junge Blüten und Blätter in Wein, wringe sie durch Tuch, lasse den Auszug stehen und seihe ihn nochmals klar. Behalte Blüten zurück. Gebrauche vom klaren Auszug ein kleines Maß als Trank; erwärme die zurückbehaltenen Blüten in Öl und streiche die Zubereitung äußerlich an die bezeichnete Stelle.	Blütenfarbstoff- oder Duftartikel	Koche Blüten in Wein oder Auszugsmedium, wringe und seihe klar; behalte einen Teil zurück, gebrauche den klaren Auszug als Farbe oder Duftbasis und erwärme den Rest in Öl für eine zweite Beschichtung.	4	4	Trank/Augenanwendung gegen Farb-, Duft- oder Kosmetikprozess	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
4	H4	f55v	HERBAL_ARTICLE	18	Zerstoße breite Blätter, gib Wein hinzu und lasse den verschlossenen Ansatz kühl stehen. Wring eine Portion durch Leinwand und verwahre den klaren Auszug. Wasche damit die bezeichnete äußere Stelle. Erwärme zurückbehaltene Blätter mit Honig und lege sie frisch als warme Auflage an.	Blattwäsche und Schlichte	Lasse zerstoßene Blätter mit Auszugsmedium kühl stehen, wringe durch Leinwand, verwahre den klaren Waschposten und gebrauche ihn an Stoff oder Leder; erwärme den Blattrest mit Binder und lege ihn als Schlichte auf.	3	4	Wundwäsche/Auflage gegen Textil- oder Lederwäsche und Klebeschicht	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
5	H5	f56r	HERBAL_ARTICLE	27	Nimm frisches oberirdisches Kraut vom feuchten Standort und lege eine kleine zerstoßene Portion kurz an die bezeichnete Hautstelle; nimm sie ab und wasche nach. Trockne den übrigen blühenden Bestand im Schatten. Setze daraus mit mildem Wein einen Auszug an, seihe ihn, gib Honig hinzu und gebrauche ein kleines Maß als Brusttrank.	Klebriger Pflanzenrohstoff in zwei Werkstattgängen	Gebrauche das frische klebrige Kraut kurz an einem kleinen Werkstück und wasche nach; trockne den Rest, bereite einen gesiebten, mit Honig oder Binder versetzten Auszug und dosiere ihn als Vorratsprodukt.	3	4	Warze/Husten gegen ätzenden, klebenden oder konservierenden Werkstoff	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
6	B1	f81v	BIO_STATION_RECORD	66	Im gemeinsamen zweireihigen Becken werden Portion, Wärme und Zusatz örtlich eingestellt. Der Posten wird gemischt, zum bezeichneten Platz geführt, gewaschen oder gebadet, anschließend gespült, abgesetzt, geseiht und am lokalen Ablauf beendet.	Gemeinsames Wasch- und Färbebecken	Betreibe das zweireihige Becken mit Maß, Wärme, Zusatz, Umrühren, Spülen, Absetzen, Seihen und örtlichem Ablauf; die Figuren markieren Arbeitsplätze oder Benutzer, nicht Krankheiten.	5	4	therapeutisches Gemeinschaftsbad gegen gewöhnlichen Wasch-/Färbebetrieb	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
7	B2	f82r	BIO_STATION_RECORD	62	Arbeite fünf sichtbare Stationsgruppen nacheinander ab: obere Paarbecken, linkes Mittelgerät, ungelöster Mittelposten, unteres Mehrpersonenbecken und Randplätze. An jeder Station neu bemessen, temperieren, benetzen oder baden, abziehen und schließen; Stoff und Richtung werden beim Stationswechsel nicht mitgenommen.	Mehrstations-Badehaus oder Waschwerk	Bediene Paarbecken, Mittelgerät, unteren Sammelpool und Randplätze jeweils neu: füllen, temperieren, portionsweise gebrauchen, abziehen, nachwaschen und schließen.	5	4	Teilbäder und Körperstellen gegen allgemeine Becken- und Stationsbedienung	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
8	B3	f83r	BIO_STATION_RECORD	86	Bearbeite zuerst die drei Randgefäße einzeln: setzen und benetzen, dann füllen und waschen, dann klarziehen, spülen und ablassen. Der Zwischenbereich bleibt exemplarabhängig. Erst danach folgt das sichtbar gekoppelte Hauptpaar mit warmem Tuch, doppelter Spülung, Klärung und lokalem Abzug.	Gefäß-, Wasch- und Klärstationsregister	Arbeite die drei Randgefäße und das sichtbare Hauptpaar getrennt ab: setzen, füllen, mischen, klarziehen, waschen, ablassen und lokal schließen; der Zwischenposten bleibt ein Wartungsplatz.	4	4	Körperanwendung gegen lokale Flüssigkeits- und Gefäßwartung	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
9	B4	f83r	BIO_STATION_RECORD	47	Am gekoppelten Hauptpaar wird ein Tuch in temperierte Flüssigkeit getaucht, der Waschposten gefiltert und warm aufgelegt. Danach werden linke offene Station und rechter Mehrarmknoten getrennt bedient: bemessen, mischen, zweimal waschen, ablassen beziehungsweise warmes Wasser einfüllen und bereitstellen.	Tuchwäsche, Tränkung und Umlauf	Tauche Tuch in temperierte Flüssigkeit, filtere und spüle es; mische und bemesse am linken Posten, lasse ab, und fülle am rechten Mehrarmknoten warmes Wasser nach.	5	4	warme Wundauflage gegen Tuchwäsche oder textile Ausrüstung	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
10	B5	f83r	BIO_STATION_RECORD	11	Am linken offenen Endposten ziehe eine Portion ab, erwärme sie einmal, halte sie für die örtliche Dauer und führe sie unter gleichem Ansatz zum Ziel; bemesse und mische an der zweiten Öffnung.	Linker Bedienposten	Ziehe eine Portion am offenen Ende ab, erwärme und halte sie, führe sie zum Arbeitsziel, bemesse und mische sie an der zweiten Öffnung.	2	4	kein sichtbarer Körperanker; technischer Bediengang ist direkter	SAME_CARDS_SAME_CLAUSES_SAME_OWNERS
