edge_id	batch_id	source_row_id	page	physical_folio	locus	predecessor_ordinal	right_ordinal	predecessor_surface	right_surface	head_id	body	register_id	score_eligible	component_export_credit
G776-E0001	GDT776_H3_CONTROL	G776-C0001	f100r	f100	f100r.14	8	9	raiin	otal	H3	aiin	P|A|1	0	0
G776-E0002	GDT776_TARGET_MEDIAL	G776-T0001	f100v	f100	f100v.21	3	4	ol	choy	TARGET_OL	NONE	P|A|1	0	0
G776-E0003	GDT776_H4_CONTROL	G776-C0002	f100v	f100	f100v.21	5	6	ly	araroy	H4	y	P|A|1	0	0
G776-E0004	GDT776_H4_CONTROL	G776-C0003	f102r1	f102	f102r1.3	4	5	loiiin	oteeor	H4	oiiin	P|A|1	0	0
G776-E0005	GDT776_TARGET_MEDIAL	G776-T0002	f102v1	f102	f102v1.10	2	3	ol	ydaiin	TARGET_OL	NONE	P|A|1	0	0
G776-E0006	GDT776_TARGET_MEDIAL	G776-T0003	f102v1	f102	f102v1.8	2	3	ol	chey	TARGET_OL	NONE	P|A|1	0	0
G776-E0007	GDT776_TARGET_MEDIAL	G776-T0004	f102v2	f102	f102v2.20	9	10	ol	sheeoy	TARGET_OL	NONE	P|A|1	0	0
G776-E0008	GDT776_TARGET_MEDIAL	G776-T0005	f102v2	f102	f102v2.32	10	11	ol	daiin	TARGET_OL	NONE	P|A|1	0	0
G776-E0009	GDT776_H4_CONTROL	G776-C0004	f103r	f103	f103r.14	7	8	lol	s	H4	ol	S|B|3	0	0
G776-E0010	GDT776_H3_CONTROL	G776-C0005	f103r	f103	f103r.16	5	6	rar	okeey	H3	ar	S|B|3	0	0
G776-E0011	GDT776_H4_CONTROL	G776-C0006	f103r	f103	f103r.2	11	12	lkeey	sar	H4	keey	S|B|3	0	0
G776-E0012	GDT776_H4_CONTROL	G776-C0007	f103r	f103	f103r.23	3	4	lchedy	chckhy	H4	chedy	S|B|3	0	0
G776-E0013	GDT776_TARGET_MEDIAL	G776-T0006	f103r	f103	f103r.28	9	10	ol	cheey	TARGET_OL	NONE	S|B|3	0	0
G776-E0014	GDT776_H4_CONTROL	G776-C0008	f103r	f103	f103r.38	7	8	lokain	shedy	H4	okain	S|B|3	0	0
G776-E0015	GDT776_H4_CONTROL	G776-C0009	f103r	f103	f103r.39	3	4	lsheey	qotal	H4	sheey	S|B|3	0	0
G776-E0016	GDT776_H4_CONTROL	G776-C0010	f103r	f103	f103r.47	4	5	lchey	qokaly	H4	chey	S|B|3	0	0
G776-E0017	GDT776_H4_CONTROL	G776-C0011	f103r	f103	f103r.47	6	7	lcheedy	oloraiin	H4	cheedy	S|B|3	0	0
G776-E0018	GDT776_H4_CONTROL	G776-C0012	f103r	f103	f103r.49	2	3	lr	ain	H4	r	S|B|3	0	0
G776-E0019	GDT776_H4_CONTROL	G776-C0013	f103r	f103	f103r.5	6	7	lkar	sheeky	H4	kar	S|B|3	0	0
G776-E0020	GDT776_H4_CONTROL	G776-C0014	f103r	f103	f103r.52	9	10	lkaiin	otalsy	H4	kaiin	S|B|3	0	0
G776-E0021	GDT776_H4_CONTROL	G776-C0015	f103r	f103	f103r.9	6	7	lkaiin	shey	H4	kaiin	S|B|3	0	0
G776-E0022	GDT776_H4_CONTROL	G776-C0016	f103v	f103	f103v.10	8	9	lor	aiin	H4	or	S|B|3	0	0
G776-E0023	GDT776_H4_CONTROL	G776-C0017	f103v	f103	f103v.13	8	9	lr	ain	H4	r	S|B|3	0	0
G776-E0024	GDT776_H4_CONTROL	G776-C0018	f103v	f103	f103v.15	3	4	lcheey	lchdy	H4	cheey	S|B|3	0	0
G776-E0025	GDT776_H4_CONTROL	G776-C0019	f103v	f103	f103v.15	8	9	lcheody	tedy	H4	cheody	S|B|3	0	0
G776-E0026	GDT776_TARGET_MEDIAL	G776-T0007	f103v	f103	f103v.17	8	9	ol	char	TARGET_OL	NONE	S|B|3	0	0
G776-E0027	GDT776_H4_CONTROL	G776-C0020	f103v	f103	f103v.18	5	6	lchedy	chedy	H4	chedy	S|B|3	0	0
G776-E0028	GDT776_H4_CONTROL	G776-C0021	f103v	f103	f103v.19	3	4	lkeey	chalkar	H4	keey	S|B|3	0	0
G776-E0029	GDT776_H4_CONTROL	G776-C0022	f103v	f103	f103v.24	2	3	lchey	qokeey	H4	chey	S|B|3	0	0
G776-E0030	GDT776_H3_CONTROL	G776-C0023	f103v	f103	f103v.24	4	5	ror	aiin	H3	or	S|B|3	0	0
G776-E0031	GDT776_H4_CONTROL	G776-C0024	f103v	f103	f103v.26	5	6	lshedy	oteaiin	H4	shedy	S|B|3	0	0
G776-E0032	GDT776_H4_CONTROL	G776-C0025	f103v	f103	f103v.30	8	9	lchedy	fchedey	H4	chedy	S|B|3	0	0
G776-E0033	GDT776_H4_CONTROL	G776-C0026	f103v	f103	f103v.33	2	3	lkeey	qokain	H4	keey	S|B|3	0	0
G776-E0034	GDT776_TARGET_MEDIAL	G776-T0008	f103v	f103	f103v.34	3	4	ol	chey	TARGET_OL	NONE	S|B|3	0	0
G776-E0035	GDT776_TARGET_MEDIAL	G776-T0009	f103v	f103	f103v.37	3	4	ol	shey	TARGET_OL	NONE	S|B|3	0	0
G776-E0036	GDT776_TARGET_MEDIAL	G776-T0010	f103v	f103	f103v.38	4	5	ol	chey	TARGET_OL	NONE	S|B|3	0	0
G776-E0037	GDT776_TARGET_MEDIAL	G776-T0011	f103v	f103	f103v.40	5	6	ol	keey	TARGET_OL	NONE	S|B|3	0	0
G776-E0038	GDT776_H4_CONTROL	G776-C0027	f103v	f103	f103v.40	9	10	lchedy	rain	H4	chedy	S|B|3	0	0
G776-E0039	GDT776_H4_CONTROL	G776-C0028	f103v	f103	f103v.41	5	6	lshey	qoar	H4	shey	S|B|3	0	0
G776-E0040	GDT776_H3_CONTROL	G776-C0029	f103v	f103	f103v.42	4	5	rar	arol	H3	ar	S|B|3	0	0
G776-E0041	GDT776_TARGET_MEDIAL	G776-T0012	f103v	f103	f103v.45	2	3	ol	cheey	TARGET_OL	NONE	S|B|3	0	0
G776-E0042	GDT776_H4_CONTROL	G776-C0030	f103v	f103	f103v.45	4	5	lcheey	lkain	H4	cheey	S|B|3	0	0
G776-E0043	GDT776_H4_CONTROL	G776-C0031	f103v	f103	f103v.45	5	6	lkain	shckhy	H4	kain	S|B|3	0	0
G776-E0044	GDT776_TARGET_MEDIAL	G776-T0013	f103v	f103	f103v.9	10	11	ol	lkar	TARGET_OL	NONE	S|B|3	0	0
G776-E0045	GDT776_H4_CONTROL	G776-C0032	f104r	f104	f104r.12	5	6	lo	sar	H4	o	S|B|3	0	0
G776-E0046	GDT776_H4_CONTROL	G776-C0033	f104r	f104	f104r.13	5	6	lkain	okar	H4	kain	S|B|3	0	0
G776-E0047	GDT776_TARGET_MEDIAL	G776-T0014	f104r	f104	f104r.14	9	10	ol	oeeal	TARGET_OL	NONE	S|B|3	0	0
G776-E0048	GDT776_H3_CONTROL	G776-C0034	f104r	f104	f104r.20	6	7	rar	cheody	H3	ar	S|B|3	0	0
G776-E0049	GDT776_H3_CONTROL	G776-C0035	f104r	f104	f104r.22	3	4	rl	shed	H3	l	S|B|3	0	0
G776-E0050	GDT776_H4_CONTROL	G776-C0036	f104r	f104	f104r.23	6	7	lkain	chol	H4	kain	S|B|3	0	0
G776-E0051	GDT776_H3_CONTROL	G776-C0037	f104r	f104	f104r.25	8	9	raiin	otain	H3	aiin	S|B|3	0	0
G776-E0052	GDT776_H3_CONTROL	G776-C0038	f104r	f104	f104r.27	5	6	ral	cheodl	H3	al	S|B|3	0	0
G776-E0053	GDT776_H4_CONTROL	G776-C0039	f104r	f104	f104r.33	8	9	lkaiin	chey	H4	kaiin	S|B|3	0	0
G776-E0054	GDT776_H4_CONTROL	G776-C0040	f104r	f104	f104r.40	7	8	ly	oeear	H4	y	S|B|3	0	0
G776-E0055	GDT776_H4_CONTROL	G776-C0041	f104r	f104	f104r.41	6	7	lkaiin	yteedy	H4	kaiin	S|B|3	0	0
G776-E0056	GDT776_H4_CONTROL	G776-C0042	f104r	f104	f104r.5	9	10	lod	pchdair	H4	od	S|B|3	0	0
G776-E0057	GDT776_H4_CONTROL	G776-C0043	f104r	f104	f104r.6	4	5	lkar	cheeo	H4	kar	S|B|3	0	0
G776-E0058	GDT776_TARGET_MEDIAL	G776-T0015	f104v	f104	f104v.1	6	7	ol	ear	TARGET_OL	NONE	S|B|3	0	0
G776-E0059	GDT776_H4_CONTROL	G776-C0044	f104v	f104	f104v.13	8	9	lkaiin	cheetar	H4	kaiin	S|B|3	0	0
G776-E0060	GDT776_H4_CONTROL	G776-C0045	f104v	f104	f104v.18	4	5	lkar	ytaiin	H4	kar	S|B|3	0	0
G776-E0061	GDT776_H4_CONTROL	G776-C0046	f104v	f104	f104v.20	3	4	lcheedy	qokeey	H4	cheedy	S|B|3	0	0
G776-E0062	GDT776_H4_CONTROL	G776-C0047	f104v	f104	f104v.25	3	4	lchedy	qokedaiin	H4	chedy	S|B|3	0	0
G776-E0063	GDT776_TARGET_MEDIAL	G776-T0016	f104v	f104	f104v.25	10	11	ol	aiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0064	GDT776_H4_CONTROL	G776-C0048	f104v	f104	f104v.29	5	6	lol	kaiin	H4	ol	S|B|3	0	0
G776-E0065	GDT776_TARGET_MEDIAL	G776-T0017	f104v	f104	f104v.3	11	12	ol	dl	TARGET_OL	NONE	S|B|3	0	0
G776-E0066	GDT776_H4_CONTROL	G776-C0049	f104v	f104	f104v.39	6	7	lkeey	roiir	H4	keey	S|B|3	0	0
G776-E0067	GDT776_H3_CONTROL	G776-C0050	f104v	f104	f104v.39	7	8	roiir	shey	H3	oiir	S|B|3	0	0
G776-E0068	GDT776_H4_CONTROL	G776-C0051	f104v	f104	f104v.42	3	4	lchal	cheedy	H4	chal	S|B|3	0	0
G776-E0069	GDT776_TARGET_MEDIAL	G776-T0018	f104v	f104	f104v.9	7	8	ol	chedaiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0070	GDT776_TARGET_MEDIAL	G776-T0019	f105r	f105	f105r.15	2	3	ol	r	TARGET_OL	NONE	S|B|3	0	0
G776-E0071	GDT776_H4_CONTROL	G776-C0052	f105r	f105	f105r.15	7	8	lkaiin	okeeol	H4	kaiin	S|B|3	0	0
G776-E0072	GDT776_H4_CONTROL	G776-C0053	f105r	f105	f105r.19	6	7	laiin	okeeody	H4	aiin	S|B|3	0	0
G776-E0073	GDT776_H4_CONTROL	G776-C0054	f105r	f105	f105r.27	5	6	lal	cheesy	H4	al	S|B|3	0	0
G776-E0074	GDT776_H4_CONTROL	G776-C0055	f105r	f105	f105r.31	2	3	lchl	shx	H4	chl	S|B|3	0	0
G776-E0075	GDT776_H4_CONTROL	G776-C0056	f105r	f105	f105r.33	3	4	lkeey	teeolteedy	H4	keey	S|B|3	0	0
G776-E0076	GDT776_TARGET_MEDIAL	G776-T0020	f105r	f105	f105r.36	4	5	ol	chedy	TARGET_OL	NONE	S|B|3	0	0
G776-E0077	GDT776_TARGET_MEDIAL	G776-T0021	f105v	f105	f105v.11	3	4	ol	okaiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0078	GDT776_H4_CONTROL	G776-C0057	f105v	f105	f105v.37	5	6	lkaiin	chs	H4	kaiin	S|B|3	0	0
G776-E0079	GDT776_H4_CONTROL	G776-C0058	f105v	f105	f105v.7	2	3	lkaiin	otair	H4	kaiin	S|B|3	0	0
