joint_tuple_id	surface_family	common_visible_core	occurrences	records	pages	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	reading_type	local_expansion_examples_de	variation_note	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	paradigm_revision	revision_strength	revision_note	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_source	component_completion_strength	component_completion_note	direction_previous_segmentation	direction_previous_nucleus_de	direction_previous_gloss_de	direction_revision_source	direction_revision_strength	direction_revision_note	quantity_previous_segmentation	quantity_previous_nucleus_de	quantity_previous_gloss_de	quantity_revision_source	quantity_revision_strength	quantity_revision_note	state_endpoint_previous_segmentation	state_endpoint_previous_nucleus_de	state_endpoint_previous_gloss_de	state_endpoint_revision_family	state_endpoint_revision_strength	state_endpoint_revision_note	filtration_previous_segmentation	filtration_previous_nucleus_de	filtration_previous_gloss_de	filtration_revision_family	filtration_revision_strength	filtration_revision_note	application_previous_segmentation	application_previous_nucleus_de	application_previous_gloss_de	application_revision_family	application_revision_strength	application_revision_note	r3_previous_segmentation	r3_previous_nucleus_de	r3_previous_gloss_de	r3_revision_family	r3_revision_strength	r3_revision_note
00d8ebe3c68294eeac39	chdal	chdal	1	B5	f83r	CHD+AL_SITE	CHD=umsetzen; AL=Stelle	an der Stelle umsetzen	SELECTED_APPLICATION__AL_SITE	Anwendungsfassung: an der Stelle umsetzen	NONE; Revision: Einzelbeleg; die alte Lesung weiterrühren beziehungsweise mit voriger Mischung folgt nicht aus AL.; direction: No separate stir value is required.; application: The short site atom replaces the longer target-site gloss.	chdal=weiterrühren	weiterrühren	weiterrühren	CHED_PARADIGM	MEDIUM_STRUCTURE__LOW_MEANING	Einzelbeleg; die alte Lesung weiterrühren beziehungsweise mit voriger Mischung folgt nicht aus AL.				UNCHANGED	UNCHANGED	NOT_APPLICABLE	CHD+AL	CHD~CHED=umsetzen/in einen Arbeitsgang führen; NONE; AL=Stelle	an der Stelle umsetzen	DIRECTION_WORKSHOP	SELECTED_COMPOSITIONAL	No separate stir value is required.				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	CHD+AL_TARGET	CHD=umsetzen; AL=Zielstelle	an der Zielstelle umsetzen	AL_SITE	SELECTED_SINGLETON_COMPOSITION	The short site atom replaces the longer target-site gloss.	CHD+AL_SITE	CHD=umsetzen; AL=Stelle	an der Stelle umsetzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE
0275fbf14e07935b0a45	okeey|qokeey	okeey	7	B1|B2|B3|B4	f81v|f82r|f83r	OK+GRADE_2+Y_REFERENT	OK=ansetzen; EE=länger; Y=laufender Posten	länger halten	SELECTED_APPLICATION__CONTACT_GRID	Anwendungsfassung: länger halten	NONE; Revision: EE-Y-Zelle wiederholt in vier Records; completion: Y names the current referent; it does not itself mean open.; state/endpoint: Sustained open member across four Biological records.; application: Seven events across four records support sustained contact without fixing body versus apparatus.	ok=geben + eey=warm	geben + warm	Wärme geben	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE	EE-Y-Zelle wiederholt in vier Records	OK+EE+Y	E-Grad=SUSTAINED_CONTACT; Zustand=OPEN_ACTIVE	aktiven Ansatz anhaltend in Kontakt halten	Y_CHY	SELECTED_PRODUCTIVE	Y names the current referent; it does not itself mean open.				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+E_GRADE_2+Y_REFERENT	OK=in Arbeit setzen; EE=anhaltender Kontakt; Y=laufender Posten	den laufenden Posten anhaltend in Kontakt halten	OK_STATE_GRID	SELECTED_PRODUCTIVE	Sustained open member across four Biological records.				UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_2+Y_CURRENT_ITEM	OK=einsetzen; EE=anhaltend; Y=aktueller Posten	den laufenden Posten länger einwirken lassen	CONTACT_GRID	SELECTED_RECURRENT_GRID	Seven events across four records support sustained contact without fixing body versus apparatus.	OK+GRADE_2+Y_REFERENT	OK=ansetzen; EE=länger; Y=laufender Posten	länger halten	UNCHANGED	UNCHANGED	NOT_APPLICABLE
03626ca94cb17800d767	sheedy	sheedy	1	B3	f83r	SHED_REST+GRADE_2+DY_CLOSE	SHED=ruhen oder absetzen; EE=länger; Endkarte=Schluss	länger ruhen oder absetzen; Schluss	SELECTED_STATE_ENDPOINT__SHED_STATE_GRID	Zustandsfassung: länger ruhen oder absetzen; Schluss	NONE; Revision: ein Beleg zwischen okair und lchedy; completion: A one-event extension of the selected rest family.; state/endpoint: The sole longer grade precedes an outward transfer.	shee=waschen + dy=Ende	waschen + Ende	waschen; Ende	E_GRADE_PARADIGM	TRANSFER_PROVISIONAL	ein Beleg zwischen okair und lchedy	SH+EE+DY	E-Grad=SUSTAINED_HOLD; Zustand=CLOSED	länger halten oder einwirken lassen; Ende	HOLD_CORES	SELECTED_SINGLETON_GRADE	A one-event extension of the selected rest family.				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	SH_REST_FAMILY+E_GRADE_2+DY_TERMINAL	gelernte Ruhefamilie; längerer Grad; Schluss	länger ruhen oder nachwirken lassen; Schluss	SHED_STATE_GRID	SELECTED_SINGLETON_GRADE	The sole longer grade precedes an outward transfer.				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	SHED_REST+GRADE_2+DY_CLOSE	SHED=ruhen oder absetzen; EE=länger; Endkarte=Schluss	länger ruhen oder absetzen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE
04a3877f0fc81b7597c9	ldy	ldy	2	B2|B3	f82r|f83r	l=abziehen + dy=Ende	abziehen + Ende	abziehen; Ende	REUSABLE_MORPHEME_COMPOUND	Ziehe es ab und beende den Schritt	NONE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	l=abziehen + dy=Ende	abziehen + Ende	abziehen; Ende	UNCHANGED	UNCHANGED	NOT_APPLICABLE
07913ef9b1fb773cd325	okchedy|qokchedy	okchedy	2	B1|B3	f81v|f83r	OK+CHED+TERMINAL_Y / RENDERER_Q+OK+CHED+TERMINAL_Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; OK=in Gang setzen oder anwenden; Q ohne Semantik; OK=in Gang setzen oder anwenden; umhüllte DY-Abschlusskonstruktion	Ansatz umsetzen; Schluss	PARADIGM_CHD_CHED	Stammkonsistente Werkstattlektüre: Ansatz umsetzen; Schluss	NONE; Revision: Dieselbe exakte Karte erscheint auch als qokchedy; abkühlen ist nicht sichtbar von qokchdy=erhitzen abgrenzbar. / Gleiche exakte Karte wie okchedy; die E-Differenz gegen qokchdy trägt weder sicher warm noch kalt.	okche=abkühlen + dy=Ende	abkühlen + Ende	abkühlen; Ende	CHED_PARADIGM	MEDIUM	Dieselbe exakte Karte erscheint auch als qokchedy; abkühlen ist nicht sichtbar von qokchdy=erhitzen abgrenzbar. / Gleiche exakte Karte wie okchedy; die E-Differenz gegen qokchdy trägt weder sicher warm noch kalt.				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+CHED+TERMINAL_Y / RENDERER_Q+OK+CHED+TERMINAL_Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; OK=in Gang setzen oder anwenden; Q ohne Semantik; OK=in Gang setzen oder anwenden; umhüllte DY-Abschlusskonstruktion	Ansatz umsetzen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE
087a47b5423438cd6b6a	chokcheo	chokcheo	1	H5	f56r	CH_RENDERER+OK+CHEO_EXTRACT	OK=zugeben; CHEO=Auszug	Auszug zugeben	R3_MEDIUM_SUBSTANCE__CHEO_EXTRACT	R3-Mediumfassung: Auszug zugeben	NONE; Revision: milder Wein wird nur lokale Ausführung, nicht Kartenwert; direction: Water, oil, and wine remain possible local realizations; the dictionary uses the broader concrete carrier.; R3: H5 reuses an extract as input immediately before straining.	chokcheo=milder Wein	milder Wein	milder Wein	OK_PARADIGM	OPAQUE_NOMENCLATOR	milder Wein wird nur lokale Ausführung, nicht Kartenwert				UNCHANGED	UNCHANGED	NOT_APPLICABLE	OPAQUE_WHOLE_CARD	OK=in den laufenden Arbeitsgang setzen; CHEO_UNATTESTED	Hilfsmedium	CHEO_LDDY	SELECTED_PROVISIONAL_CORE	Water, oil, and wine remain possible local realizations; the dictionary uses the broader concrete carrier.				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	CH_RENDERER+OK+CHEO_EXTRACT_LIQUID	OK=in Arbeit setzen; CHEO=Auszugsflüssigkeit	Auszugsflüssigkeit zugeben	CHEO_EXTRACT	SELECTED_TWO_CARD_CORE	H5 reuses an extract as input immediately before straining.
08bd5ca0c2ad137a056d	okey|qokey	okey	2	B1|B2	f81v|f82r	OK+GRADE_1+Y_REFERENT	OK=ansetzen; E=kurz; Y=laufender Posten	kurz anlegen	SELECTED_APPLICATION__CONTACT_GRID	Anwendungsfassung: kurz anlegen	eine Bedeutung, mehrere lokale Anwendungen; Revision: E-Y-Zelle; nicht mehr als Stoffwort Wasser lesen; completion: Y names the current referent; nonclosure follows from the absent terminal construction.; state/endpoint: Brief open member; water is a possible local medium, not the card meaning.; application: Two owners support brief contact; Y supplies the current item.	ok=geben + ey=Wasser	geben + Wasser	Wasser zugeben	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE	E-Y-Zelle; nicht mehr als Stoffwort Wasser lesen	OK+E+Y	E-Grad=BRIEF_DIRECT_CONTACT; Zustand=OPEN_ACTIVE	aktiven Ansatz kurz anlegen oder benetzen	Y_CHY	SELECTED_PRODUCTIVE	Y names the current referent; nonclosure follows from the absent terminal construction.				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+E_GRADE_1+Y_REFERENT	OK=in Arbeit setzen; E=kurzer Kontakt; Y=laufender Posten	den laufenden Posten kurz anlegen oder benetzen	OK_STATE_GRID	SELECTED_PRODUCTIVE	Brief open member; water is a possible local medium, not the card meaning.				UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_1+Y_CURRENT_ITEM	OK=einsetzen; E=kurz; Y=aktueller Posten	den laufenden Posten kurz anlegen	CONTACT_GRID	SELECTED_RECURRENT_GRID	Two owners support brief contact; Y supplies the current item.	OK+GRADE_1+Y_REFERENT	OK=ansetzen; E=kurz; Y=laufender Posten	kurz anlegen	UNCHANGED	UNCHANGED	NOT_APPLICABLE
0ab57b7166de99db3a55	lchy	lchy	1	B2	f82r	LCH_WITHDRAW+Y_REFERENT	LCH=abziehen; Y=laufender Posten	den laufenden Posten abziehen	R3_MEDIUM_SUBSTANCE__WITHDRAW_NOT_PRODUCT	R3-Mediumfassung: den laufenden Posten abziehen	NONE; completion: One licensed local frame; the fluid interpretation comes from the surrounding process.; R3: The following SHEY supplies clear extract; liquid is local context, not part of LCHY.				UNCHANGED	UNCHANGED	NOT_APPLICABLE	lch=ablassen + y=Ansatz	ablassen + Ansatz	klare Flüssigkeit abziehen	Y_CHY	SELECTED_THIN	One licensed local frame; the fluid interpretation comes from the surrounding process.				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	LCH+Y_REFERENT	LCH=abziehen; Y=laufender Posten	den flüssigen Anteil des laufenden Postens abziehen	WITHDRAW_NOT_PRODUCT	SELECTED_SINGLETON_COMPOSITION	The following SHEY supplies clear extract; liquid is local context, not part of LCHY.
0bdc8b6db811b4e67a63	chary	chary	1	B3	f83r	chary=abkühlen	abkühlen	abkühlen	CONCRETE_MEMORIZED_WHOLE_WORD	Und lasse es abkühlen	NONE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	chary=abkühlen	abkühlen	abkühlen	UNCHANGED	UNCHANGED	NOT_APPLICABLE
0ec6a45e2950e8e7061d	chodaly	chodaly	1	H5	f56r	chodaly=Blütebeginn	Blütebeginn	Blütebeginn	CONCRETE_MEMORIZED_WHOLE_WORD	Nimm es zu Beginn der Blüte	NONE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE				UNCHANGED	UNCHANGED	NOT_APPLICABLE	chodaly=Blütebeginn	Blütebeginn	Blütebeginn	UNCHANGED	UNCHANGED	NOT_APPLICABLE
