rank	candidate_id	ledger_experiment	ledger_status	scope	provenance_traceable_human_source	author_visible_one_to_one_ownership	readable_contrasting_values	independent_physical_folios_ge_5	unique_current_locus_mapping	untouched_confirmation_available	gate_count	admissible	decisive_blocker	requested_observation	evidence_path
1	F68R2_SUN_RING_CLEARTEXT	F68CL001_public_sun_ring_cleartext_validation	PASS_INDEPENDENT_LIVE_SOURCE_RECONSTRUCTION	one text sequence inside the f68r2 Sun ring	1	1	0	0	1	1	4	0	Human sources cannot determine whether the ending is plain cleartext or ordinary Voynich script; ZL/RF and IT disagree materially.	A qualified full paleographic reading of the complete ring string, with script identity and uncertainty documented independently of a proposed Sun gloss.	results/f68r2_sun_ring_cleartext_validation.md
2	PUBLIC_ZODIAC_FIGURE_ATTRIBUTES	public_zodiac_label_attribute_capacity	STOP_UNSCORED_NO_TRANSFERABLE_EXPLICIT_BINARY_ATTRIBUTE	300 public zodiac label records; strongest barrel contrast confined to f70-f72 with all negatives on f72	1	0	1	0	1	1	4	0	Ownership is inferred from spacing/order and every usable opposing state is one-folio or one-example.	Explicit label-to-figure connectors or diplomatic owner mappings with both attribute states represented on at least five physical folios.	results/public_zodiac_label_attribute_capacity_report.md
3	S104_HERBAL_COMPONENT_RELATIONS	S104_component_relation_source_inventory	PASS_SOURCE_FROZEN_16_PAGE_7_FAMILY_PANEL	16 Herbal pages; seven human component-relation families; 11 exact-new edges	1	0	1	1	1	0	4	0	No author-visible component-to-text ownership; endpoints and relation family were already exposed.	A page-disjoint human diplomatic source giving singular author-visible component captions with explicit negative or contrasting values on at least five new folios.	ACTIVE_EXPERIMENT_LEDGER.tsv:S104_component_relation_source_inventory
4	SCP001_STAR_COLOUR_ROWS	SCP001_target_validation	PASS_18_CHECK_INDEPENDENT_FINAL_RECONSTRUCTION	120 red/yellow star-marker rows on nine pages and seven physical folios	1	0	1	1	1	0	4	0	Marker colour is an author-visible coordinate, not one-to-one evidence that the attached text spells the colour; the frozen target is consumed and nonconfirming.	A new folio-held panel whose author-visible captions explicitly name independently readable marker values rather than merely carrying coloured markers.	results/star_color_target_validation.md
5	COL001_F2R15_UNDERPAINT_NOTE	COL001_plain_colour_annotation_capacity	PROVISIONAL_RECORD_FUNCTION_STOP_LEXICAL_UNSCORED	one Voynich-script record f2r.15 under green paint; twelve other colour notes use plain alphabet	1	1	0	0	1	0	3	0	Only one Voynich-script under-paint note exists, so there is no readable contrasting value or held replication.	A second provenance-clean Voynich-script note under paint with an independently readable different colour, or the same complete phrase under another green-painted part on a new folio.	results/col001_plain_colour_annotation_capacity_report.md
6	F17R_F116V_MARGINALIA	post_IL017_permitted_anchor_route_audit	STOP_NO_UNUSED_AUTHORIAL_BRIDGE	partly readable plain-script marginalia adjacent to Voynich-script material	1	0	1	0	1	0	3	0	No explicit equivalence relation links any readable marginal word to a Voynich string, and the readings remain disputed.	Independently convergent paleographic readings plus an explicit authorial equivalence, correction, pointer, or repeated bilingual pairing.	ACTIVE_EXPERIMENT_LEDGER.tsv:post_IL017_permitted_anchor_route_audit
7	F1R_LATER_ALPHABET_TABLE	f57v_namenmantik_f1r_17_slot_claim_audit	STOP_FALSE_INTERPOLATED_SEVENTEEN_SLOT_BRIDGE	three later-hand 26-row columns: Latin a-z, Voynich-like glyphs, shifted Latin	1	0	1	0	1	0	3	0	The table is probably Marci-era later-reader marginalia and its glyph order does not match f57v or establish the main script's values.	A qualified complete row-by-row diplomatic reading plus independent evidence that the middle column encodes the main manuscript script rather than a later reader's exercise.	ACTIVE_EXPERIMENT_LEDGER.tsv:f57v_namenmantik_f1r_17_slot_claim_audit
8	F57V_HUMORAL_PHASE_LABELS	f57v_walters_w73_humoral_phase_replication_audit	PROVISIONAL_HARLEY_PHASE_INDEPENDENTLY_REPLICATED_BY_WALTERS_W73	one f57v four-person wheel; four figure-near labels and four radial titles; replicated historical Hot-Moist-Cold-Dry page phase	1	0	1	0	1	0	3	0	The historical phase fixes a diagram-role analogy, but the labels are spatially near figures without an author-drawn one-to-one value relation; all local binary patterns are geometry-confounded and exposed.	A complete readable homologue with the same four-person and two-label-register topology, preserved start/orientation, and explicit slot ownership, or an independent Voynich folio repeating the same owned four-role mapping.	ACTIVE_EXPERIMENT_LEDGER.tsv:f57v_walters_w73_humoral_phase_replication_audit
9	F69V_ORDERED_28_COORDINATE	F69M001_target_validation	FINAL_NONCONFIRMATION_FIXED_LATIN_MANSION_PREFIX_TOPOLOGY	28 inward radial labels with a fixed public cyclic coordinate on one physical folio	1	1	0	0	1	0	3	0	The coordinate is explicit but carries no readable authorial values; the fixed Agrippa mansion roster failed deeper topology and uniqueness gates.	A second independently fixed roster or a readable authorial slot legend that determines start, direction, and all 28 values without selecting a spelling roster post hoc.	results/f69m001_target_validation.md
10	STOLFI_EXACT_LOCAL_RELATIONS	direct_comment_repeat_coverage	PASS_SCORE_BLIND_FOUR_OUTCOMES_AUTHORIZED	1,192 exact/comment-indexed loci; 109 unhedged stronger attachment/enclosure/contact/wrap/grouping rows	1	0	0	1	1	0	3	0	These are modern human descriptions and proximity relations, not author-visible readable text-to-value assignments; repeated-role tests are already consumed.	Author-visible connectors or captions that replace modern inferred proximity with singular ownership and readable varying values on new folios.	results/existing_human_exact_locus_annotations.tsv
11	F67R_F68R_LABELLED_HOMOLOGUE	f67r_f68r_historical_homologue_search	STOP_NO_EXACT_LABELLED_SLOT_HOMOLOGUE_FOUND	f67r1, f67r2, f68r1, f68r2, and f68r3 special-circle panels	0	0	0	0	1	1	2	0	No thirteenth-to-fifteenth-century readable witness matches any full panel slot-for-slot; known analogues are topology-mismatched.	A newly catalogued complete readable homologue fixing text ownership, register cardinalities, start, direction, and slot correspondence for one full panel.	ACTIVE_EXPERIMENT_LEDGER.tsv:f67r_f68r_historical_homologue_search
