rank	strict_complete	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	working_translation_de
1	1	f20v	f20v.10	H	A	1	7	7	4	0	0	0	1.000000	7	7	1	1	shokaiin chocthy chol daiin chy chor ety	feucht-heißer Ansatz, Grad III | trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | trocken, Grundform | Pflanzen-/Reproduktionsteil | gekühlt	V13:TARGET_SURFACE_DEFAULT | V13:DRY_CTH_PREPARATION | V13:DRY_OL_FORM | V13:CONTEXTUAL_VALUE_SERIES | V13:TARGET_SURFACE_DEFAULT | V13:PART_OR_FORM | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	NONE	NONE	feucht-heißer Ansatz, Grad III; trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung; trocken; nominal trockenes Gut/Material; Qualitätsgrad III; trocken, Grundform; Pflanzen-/Reproduktionsteil; gekühlt
2	1	f4r	f4r.3	H	A	1	7	7	4	0	0	0	1.000000	7	7	1	1	otchol chol chy chaiin qotaiin daiin shain	kalt-trockener Zubereitungsstoff | trocken; nominal trockenes Gut/Material | trocken, Grundform | trocken, Grad III | kalt, Grad III | Grad-/Maßwert III | feucht, Grad II	GDT638:ROUND_06 | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT | V13:QUALITY_DEGREE_SERIES | V13:TARGET_SURFACE_DEFAULT | V13:CONTEXTUAL_VALUE_SERIES | V13:QUALITY_DEGREE_SERIES	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	NONE	NONE	kalt-trockener Zubereitungsstoff; trocken; nominal trockenes Gut/Material; trocken, Grundform; trocken, Grad III; kalt, Grad III; Grad-/Maßwert III; feucht, Grad II
3	1	f83r	f83r.36	B	B	2	6	6	0	0	0	0	1.000000	6	6	1	1	sor aiin shy shey lshedy qoky	Samenportion | Menge III | feucht, Grundform | feucht, attributiv gebunden | eingeweichtes Drogenholz | heiße Grundform	V13:SCOPED_CONCRETE_HEAD_FORM | V13:TARGET_SURFACE_DEFAULT | GDT639:ROUND_08 | V13:TARGET_SURFACE_DEFAULT | V13:SCOPED_CONCRETE_HEAD_FORM | GDT638:ROUND_13	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	Samenportion; Menge III; feucht, Grundform; feucht, attributiv gebunden; eingeweichtes Drogenholz; heiße Grundform
4	1	f106v	f106v.8	S	B	3	5	5	1	0	0	0	1.000000	5	5	1	1	oraiin cheo rol aiin otaiin	Portion III | trocken angesetzte Zubereitung | Wurzelstoff | Menge III | kalt im Zubereitungsrahmen, Grad III	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | V13:SCOPED_CONCRETE_HEAD_FORM | V13:TARGET_SURFACE_DEFAULT | V13:QUALITY_DEGREE_SERIES	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED	NONE	NONE	Portion III; trocken angesetzte Zubereitung; Wurzelstoff; Menge III; kalt im Zubereitungsrahmen, Grad III
5	1	f15v	f15v.10	H	A	1	5	5	1	0	0	0	1.000000	5	5	1	1	sor chor cthoiin cthy qokaiin	Samenportion | Pflanzen-/Reproduktionsteil | Blatt-/Krautzubereitung, Form III | CTH-Drogenmaterial | heiß, Grad III	V13:SCOPED_CONCRETE_HEAD_FORM | V13:PART_OR_FORM | GDT638:ROUND_01 | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	Samenportion; Pflanzen-/Reproduktionsteil; Blatt-/Krautzubereitung, Form III; CTH-Drogenmaterial; heiß, Grad III
6	1	f17r	f17r.11	H	A	1	5	5	2	0	0	0	1.000000	5	5	1	1	otchol cthar okaiin chol daiiin	kalt-trockener Zubereitungsstoff | CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I | heiß, Grad III, im Ansatzrahmen | trocken; nominal trockenes Gut/Material | Qualitätsgrad IV	GDT638:ROUND_06 | GDT639:ROUND_04 | V13:TARGET_SURFACE_DEFAULT | V13:DRY_OL_FORM | V13:CONTEXTUAL_VALUE_SERIES	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	NONE	NONE	kalt-trockener Zubereitungsstoff; CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I; heiß, Grad III, im Ansatzrahmen; trocken; nominal trockenes Gut/Material; Qualitätsgrad IV
7	1	f22v	f22v.15	H	A	1	5	5	1	0	0	0	1.000000	5	5	1	1	sho cthy chocthy qokchy dory	feuchter Ansatz | CTH-Drogenmaterial | trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung | heiß-trocken | abgemessene Portion	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | V13:DRY_CTH_PREPARATION | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	feuchter Ansatz; CTH-Drogenmaterial; trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung; heiß-trocken; abgemessene Portion
8	1	f49r	f49r.12	H	A	1	5	5	2	0	0	0	1.000000	5	5	1	1	podaiin cheo kcho daiin chcthy	Pulverzubereitung, Dosis III | trocken angesetzte Zubereitung | Zubereitung: heiß und trocken | Grad-/Maßwert III | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	V13:SCOPED_RESIDUAL_HEAD_FORM | V13:TARGET_SURFACE_DEFAULT | GDT638:ROUND_07 | V13:CONTEXTUAL_VALUE_SERIES | V13:DRY_CTH_MATERIAL	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	NONE	NONE	Pulverzubereitung, Dosis III; trocken angesetzte Zubereitung; Zubereitung: heiß und trocken; Grad-/Maßwert III; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut
9	1	f56v	f56v.15	H	A	1	5	5	3	0	0	0	1.000000	5	5	1	1	otchol chol chol daiin chotaiin	kalt-trockener Zubereitungsstoff | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | trockene Zubereitung: kalt, Grad III	GDT638:ROUND_06 | V13:DRY_OL_FORM | V13:DRY_OL_FORM | V13:CONTEXTUAL_VALUE_SERIES | GDT639:ROUND_03	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	NONE	NONE	kalt-trockener Zubereitungsstoff; trocken; nominal trockenes Gut/Material; trocken; nominal trockenes Gut/Material; Qualitätsgrad III; trockene Zubereitung: kalt, Grad III
10	1	f10r	f10r.5	H	A	1	4	4	1	0	0	0	1.000000	4	4	1	1	qokchy qotchol chol cthy	heiß-trocken | Material: kalt und trocken | trocken; nominal trockenes Gut/Material | CTH-Drogenmaterial	V13:TARGET_SURFACE_DEFAULT | GDT638:ROUND_05 | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	NONE	NONE	heiß-trocken; Material: kalt und trocken; trocken; nominal trockenes Gut/Material; CTH-Drogenmaterial
11	1	f15v	f15v.12	H	A	1	4	4	3	0	0	0	1.000000	4	4	1	1	daiin cthor chol chor	Grad-/Maßwert III | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | trocken; nominal trockenes Gut/Material | Pflanzen-/Reproduktionsteil	V13:CONTEXTUAL_VALUE_SERIES | GDT638:ROUND_04 | V13:DRY_OL_FORM | V13:PART_OR_FORM	KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	NONE	NONE	Grad-/Maßwert III; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; trocken; nominal trockenes Gut/Material; Pflanzen-/Reproduktionsteil
12	1	f28v	f28v.3	H	A	1	4	4	2	0	0	0	1.000000	4	4	1	1	chor chol chy choiin	Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | trocken, Grundform | trockene Zubereitungsform III	V13:PART_OR_FORM | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT | GDT638:ROUND_02	KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	Pflanzen-/Reproduktionsteil; trocken; nominal trockenes Gut/Material; trocken, Grundform; trockene Zubereitungsform III
