event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	whole_plant_owner	owner_status	owner_confidence	exact_literal_card_formal_exemplar_layer	v69_support_class	concrete_german_meaning_in_context	meaning_in_context_confidence	strongest_alternative	strongest_contradiction	unsupported_nouns	image_geometry_guard	terminal_status	semantic_ceiling
1	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:65f320e75510b2f38182] > [CONTEXT_EXEMPLAR:PLANT_PART]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel.	0.36	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Wurzelteil.	Wurzelteil	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
2	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dedc383b600397a301ee] > [CONTEXT_EXEMPLAR:ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Säubere ihn.	0.32	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Reinigung.	Reinigung	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
3	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:4d4559019a961b834aa1] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Führe ihn als denselben Arbeitsansatz weiter.	0.34	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	Arbeitsansatz	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
4	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:80ebbbbf238eee9f0aef] > [CONTEXT_EXEMPLAR:ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Zerschneide ihn.	0.32	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerschneiden.	Zerschneiden	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
5	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:df1098831679a8ad1b39] > [CONTEXT_EXEMPLAR:CONTAINER_ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Gib die Stücke in ein Gefäß.	0.25	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß.	Gefäß	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
6	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:12efe866f335461823a6] > [CONTEXT_EXEMPLAR:MEDIUM]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Gieße Quellwasser darüber.	0.24	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Quellwasser.	Quellwasser	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
7	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:62ff059766b21c7de083] > [CONTEXT_EXEMPLAR:PREPARATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Fange den ersten Auszug in einem Glas auf.	0.29	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, Glas.	Auszug|Glas	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
8	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:276a7c2d74d1143446f4] > [CARD:ANWENDEN?] > [CONTEXT_EXEMPLAR:USE]	EXACT_WORKING_MNEMONIC	Gebrauche diesen Auszug innerlich.	0.46	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	Auszug|innerlicher Gebrauch	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
9	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	Nimm davon das örtlich vorgeschriebene kleine Maß.	0.46	Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	Dosis	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
10	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:a6939862e33ece5a0483] > [CONTEXT_EXEMPLAR:INDICATION_AND_STORAGE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	0.18	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leibschmerz, Vorratsgefäß.	Leibschmerz|Vorratsgefäß	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
