event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	atomic_card_value_de	product_or_job	complete_workshop_expansion_de	visible_owner	terminal_status
1	H1-S001	H1	f10r	dchey	MC071	Grundteil	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
2	H1-S001	H1	f10r	cthoor	MC158	Vorbereitung	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
3	H1-S001	H1	f10r	char	MC055	davon	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
4	H1-S001	H1	f10r	chty	MC086	Anteil	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
5	H1-S001	H1	f10r	os	MC159	Aufnahmegefäß	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
6	H1-S001	H1	f10r	chair	MC014	Zuguss	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
7	H1-S001	H1	f10r	otytchol	MC069	Folgeteil	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
8	H1-S001	H1	f10r	oky	MC026	einsetzen	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
9	H1-S001	H1	f10r	daiin	MC039	Sollmaß	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
10	H1-S001	H1	f10r	etyd	MC108	Kurzteil	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
11	H1-S002	H1	f10r	qokchy	MC103	weiterbearbeiten	J1	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
12	H1-S002	H1	f10r	qotchol	MC163	Weitergang	J1	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
