event_id	record	statement_id	surface	joint_tuple_id	preceding_value_de	following_value_de	portable_value_de	local_expansion_de	referent_behavior
E020	H2	H2-S001	dy	b921a237be883a820352	abpressen	dieser Arbeitsposten	dies	dieser eine / dieser andere Posten	ENUMERATES_ANONYMOUS_SPLIT_ITEMS
E021	H2	H2-S001	chy	b921a237be883a820352	dieser Arbeitsposten	Sollmaß	dies	dieser eine / dieser andere Posten	ENUMERATES_ANONYMOUS_SPLIT_ITEMS
E023	H2	H2-S001	shy	b921a237be883a820352	Sollmaß	Aussageende	dies	dieser eine / dieser andere Posten	ENUMERATES_ANONYMOUS_SPLIT_ITEMS
E035	H2	H2-S003	chy	b921a237be883a820352	Ansatz	weiche Zielstufe	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E037	H2	H2-S003	dy	b921a237be883a820352	weiche Zielstufe	Geschwür	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E048	H3	H3-S003	chy	b921a237be883a820352	Fortsetzungsposten	Trank	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E050	H3	H3-S003	dy	b921a237be883a820352	Trank	Sollmaß	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E055	H3	H3-S004	dy	b921a237be883a820352	bereit	Aussageende	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E072	H4	H4-S004	y	b921a237be883a820352	Ansatz	Ansatzportion	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E132	B1	B1-S008	chey	b921a237be883a820352	Aussagebeginn	fortsetzen	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E170	B2	B2-S003	dy	b921a237be883a820352	eine Portion zugeben	länger ansetzen; Schluss	dies	diese Portion	INHERITS_JUST_ADDED_PORTION
E208	B2	B2-S012	chey	b921a237be883a820352	Sollmaß	vollständig ansetzen; Schluss	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E232	B3	B3-S003	chey	b921a237be883a820352	Aussagebeginn	Sollmaß	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E234	B3	B3-S003	chey	b921a237be883a820352	Sollmaß	hinausführen; Schluss	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E273	B3	B3-S021	sy	b921a237be883a820352	Stelle	Sollmaß	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E277	B3	B3-S021	chey	b921a237be883a820352	temperiert	Stelle	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E349	B4	B4-S014	chey	b921a237be883a820352	Ansatz	über der Stelle	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
E380	B6	B6-S001	chey	b921a237be883a820352	Tuch	bezeichnete Stelle	dies	dies / dieser Posten	INHERITS_OR_RECALLS_LOCAL_ITEM
