family	surface	card_type	occurrences	lines	pages	working_default_de	composition	claim_scope
ACTION	teolshy	PRODUCTIVE_COMPOUND	1	1	1	Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen	T_COLD+E_MIDDLE+OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	ycheedy	PRODUCTIVE_COMPOUND	7	7	7	trockne hiervon vollständig und stelle es fertig	Y_REFERENCE+CH_DRY+EE_END+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
ACTION	chold	PRODUCTIVE_COMPOUND	1	1	1	getrockneten Drogenstoff abschließen	CH_DRY+OL_MATERIAL+D_TERM_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	koshet	PRODUCTIVE_COMPOUND	1	1	1	erhitzten Ansatz bis zur Mittelstufe einweichen und abkühlen	K_HOT+O_PREP+SH_MOIST+E_MIDDLE+T_COLD	exact whole; composition predicts relatives only as a future explicit card
ACTION	chod	PRODUCTIVE_COMPOUND	8	8	8	Trockenansatz abschließen	CH_DRY+O_PREP+D_TERM_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	otchyd	PRODUCTIVE_COMPOUND	2	2	2	kalten Ansatz trocknen und den Posten abschließen	O_PREP+T_COLD+CH_DRY+YD_POST_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	qotcho	PRODUCTIVE_COMPOUND	9	9	9	kühle, trockne und setze an	QO_COMMAND+T_COLD+CH_DRY+O_PREP	exact whole; composition predicts relatives only as a future explicit card
ACTION	qokchaiin	PRODUCTIVE_COMPOUND	2	2	2	erhitze drei Teile getrocknete Droge	QO_COMMAND+K_HOT+CH_DRY+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
ACTION	tody	PRODUCTIVE_COMPOUND	9	9	9	kalten Ansatz fertigstellen	T_COLD+O_PREP+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
ACTION	chkchy	PRODUCTIVE_COMPOUND	6	6	5	trocknen, erhitzen, erneut trocknen und abschließen	CH_DRY+K_HOT+CH_DRY+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	qod	CONTEXT_SCOPED_SHORT_FORM	8	8	8	die Zubereitung abschließen	QO_COMMAND+D_TERM_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	ykey	PRODUCTIVE_COMPOUND	5	5	5	erhitze hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+K_HOT+E_MIDDLE+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	olkaly	PRODUCTIVE_COMPOUND	1	1	1	Drogenstoff mit Rohdroge I leicht erhitzen	OL_MATERIAL+K_HOT+AL_RAW_I+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	ychos	PRODUCTIVE_COMPOUND	3	3	3	trockne hiervon eine Ansatzcharge	Y_REFERENCE+CH_DRY+O_PREP+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
ACTION	qolchey	PRODUCTIVE_COMPOUND	9	9	6	gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab	QOL_ADD+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	keeal	PRODUCTIVE_COMPOUND	1	1	1	Rohdroge I vollständig erhitzen	K_HOT+EE_END+AL_RAW_I	exact whole; composition predicts relatives only as a future explicit card
ACTION	qokoin	PRODUCTIVE_COMPOUND	1	1	1	erhitze einen Ansatz in Zubereitungsform II	QO_COMMAND+K_HOT+O_PREP+IN_FORM_II	exact whole; composition predicts relatives only as a future explicit card
ACTION	qcthdys	PRODUCTIVE_COMPOUND	1	1	1	stelle eine Charge Krautdroge fertig	QO_COMMAND+CTH_HERB+DY_FINISHED+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
ACTION	otechd	PRODUCTIVE_COMPOUND	1	1	1	Ansatz abkühlen, bis zur Mittelstufe trocknen und abschließen	O_PREP+T_COLD+E_MIDDLE+CH_DRY+D_TERM_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	chotey	PRODUCTIVE_COMPOUND	3	3	3	Trockenansatz bis zur Mittelstufe abkühlen und abschließen	CH_DRY+O_PREP+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	olkeeoldy	PRODUCTIVE_COMPOUND	1	1	1	Drogenstoff vollständig erhitzen und als Auszug fertigstellen	OL_MATERIAL+K_HOT+EE_END+OL_MATERIAL+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
ACTION	ksheody	PRODUCTIVE_COMPOUND	4	4	4	Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen	K_HOT+SH_MOIST+E_MIDDLE+O_PREP+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
COLD	oteeey	PRODUCTIVE_COMPOUND	7	7	6	Ansatz bis zur letzten Stufe abkühlen und abschließen	O_PREP+T_COLD+EEE_LONG_OR_FINAL+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
COLD	ytoiin	PRODUCTIVE_COMPOUND	4	4	4	kühle hiervon einen Ansatz in Zubereitungsform III	Y_REFERENCE+T_COLD+O_PREP+IIN_FORM_III	exact whole; composition predicts relatives only as a future explicit card
COLD	talchos	PRODUCTIVE_COMPOUND	1	1	1	Charge kalt getrockneten Rohdrogenansatzes I	T_COLD+AL_RAW_I+CH_DRY+O_PREP+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
COLD	teols	PRODUCTIVE_COMPOUND	1	1	1	eine Charge Drogenstoff bis zur Mittelstufe abkühlen	T_COLD+E_MIDDLE+OL_MATERIAL+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
COMPOSITE	cheeckhody	PRODUCTIVE_COMPOUND	1	1	1	Arzneikompositum vollständig trocknen, ansetzen und fertigstellen	CH_DRY+EE_END+CKH_COMPOSITE+O_PREP+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
COMPOSITE	lcheckhy	PRODUCTIVE_COMPOUND	3	3	2	Holzdroge bis zur Mittelstufe trocknen, als Kompositum bereiten und abschließen	L_WOOD+CH_DRY+E_MIDDLE+CKH_COMPOSITE+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
DRY	ocheain	PRODUCTIVE_COMPOUND	1	1	1	zwei Teile Ansatz bis zur Mittelstufe trocknen	O_PREP+CH_DRY+E_MIDDLE+AIN_II	exact whole; composition predicts relatives only as a future explicit card
DRY	cheeol	PRODUCTIVE_COMPOUND	9	9	9	vollständig getrockneter Drogenstoff	CH_DRY+EE_END+OL_MATERIAL	exact whole; composition predicts relatives only as a future explicit card
FRACTION	okairy	PRODUCTIVE_COMPOUND	1	1	1	zweite Fraktion des erhitzten Ansatzes abschließen	O_PREP+K_HOT+AIR_FRACTION_II+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
FRACTION	cheary	PRODUCTIVE_COMPOUND	1	1	1	erste Fraktion bis zur Mittelstufe trocknen und abschließen	CH_DRY+E_MIDDLE+AR_FRACTION_I+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
FRACTION	loar	PRODUCTIVE_COMPOUND	1	1	1	erste Fraktion eines Holzdrogenansatzes	L_WOOD+O_PREP+AR_FRACTION_I	exact whole; composition predicts relatives only as a future explicit card
HERB	chcthor	PRODUCTIVE_COMPOUND	1	1	1	eine Portion getrocknete Krautdroge	CH_DRY+CTH_HERB+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
HERB	cths	PRODUCTIVE_COMPOUND	1	1	1	eine Charge Krautdroge	CTH_HERB+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
HOT_PREP	okees	PRODUCTIVE_COMPOUND	9	9	7	Charge vollständig erhitzten Ansatzes	O_PREP+K_HOT+EE_END+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
MEASURE	aeky	PRODUCTIVE_COMPOUND	1	1	1	einen Teil bis zur Mittelstufe erhitzen und abschließen	A_PART_OR_LINK+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
MEASURE	cheoraiin	PRODUCTIVE_COMPOUND	3	3	3	drei Portionen bis zur Mittelstufe getrockneter Droge	CH_DRY+E_MIDDLE+OR_PORTION+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
MEASURE	shedain	PRODUCTIVE_COMPOUND	12	12	9	zwei Dosen bis zur Mittelstufe eingeweichter Droge	SH_MOIST+E_MIDDLE+D_MEASURE+AIN_II	exact whole; composition predicts relatives only as a future explicit card
MEASURE	pchodain	PRODUCTIVE_COMPOUND	3	3	2	zwei Dosen getrockneten Pulveransatzes abmessen	P_POWDER+CH_DRY+O_PREP+D_MEASURE+AIN_II	exact whole; composition predicts relatives only as a future explicit card
MEASURE	ykeedan	PRODUCTIVE_COMPOUND	1	1	1	erhitze hiervon vollständig und miss eine Dosis I ab	Y_REFERENCE+K_HOT+EE_END+D_MEASURE+AN_I	exact whole; composition predicts relatives only as a future explicit card
MEASURE	olchedaiin	PRODUCTIVE_COMPOUND	1	1	1	drei Dosen bis zur Mittelstufe getrockneten Drogenstoffs	OL_MATERIAL+CH_DRY+E_MIDDLE+D_MEASURE+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
MEASURE	keaiin	PRODUCTIVE_COMPOUND	1	1	1	drei Teile bis zur Mittelstufe erhitzter Droge	K_HOT+E_MIDDLE+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dolcheey	PRODUCTIVE_COMPOUND	1	1	1	Drogenstoff abmessen, vollständig trocknen und abschließen	D_MEASURE+OL_MATERIAL+CH_DRY+EE_END+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
MEASURE	okeor	PRODUCTIVE_COMPOUND	15	15	12	eine Portion Ansatz bis zur Mittelstufe erhitzen	O_PREP+K_HOT+E_MIDDLE+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
MEASURE	doty	PRODUCTIVE_COMPOUND	1	1	1	einen Ansatz abmessen, abkühlen und abschließen	D_MEASURE+O_PREP+T_COLD+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
MEASURE	okoeor	PRODUCTIVE_COMPOUND	1	1	1	eine Portion erhitzten Ansatzes erneut bis zur Mittelstufe bereiten	O_PREP+K_HOT+O_PREP+E_MIDDLE+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
MEASURE	eaiin	LEARNED_WHOLE	1	1	1	drei Teile auf Mittelstufe	LEARNED_EAIIN_WHOLE	exact whole; composition predicts relatives only as a future explicit card
