surface	working_meaning_de	composition	strongest_rival_de	family
ctharal	erste Kraut- oder Blattfraktion aus Rohdroge I	CTH_HERB+AR_FRACTION_I+AL_RAW_I	Rohdroge I aus einer ersten Pflanzenfraktion	FRACTION
kochor	erhitzter Pflanzenteil im Ansatz	K_HOT+O_PREP+CHOR_PLANT_PART	erhitze den Pflanzenteil im Ansatz	PLANT_PART
olkeeshy	Holzdrogenansatz vollständig erhitzen und leicht anfeuchten	O_PREP+L_WOOD+K_HOT+EE_END+SH_MOIST+Y_START_OR_CLOSE	vollständig erhitzter und leicht angefeuchteter Holzdrogenansatz	ACTION
olan	Holzdrogenansatz der Stufe I	O_PREP+L_WOOD+AN_I	ein Teil Holzdrogenansatz	WOOD
oteaiin	Kaltansatz nach mittlerer Behandlung auf Stufe III	O_PREP+T_COLD+E_MIDDLE+AIIN_III	drei Teile eines Kaltansatzes der Mittelstufe	COLD
otealshey	Rohstoff-I-Ansatz kalt vorbehandeln und bis zur Mittelstufe einweichen	O_PREP+T_COLD+E_MIDDLE+AL_RAW_I+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	kalt vorbehandelter und mittelfeuchter Rohstoff-I-Ansatz	ACTION
otaly	Rohstoff-I-Ansatz leicht kühlen und abschließen	O_PREP+T_COLD+AL_RAW_I+Y_START_OR_CLOSE	kalter Rohstoff-I-Ansatz in Grundform	ACTION
otolkeechdy	kalten Ansatzstoff vollständig erhitzen, trocknen und abschließen	O_PREP+T_COLD+OL_MATERIAL+K_HOT+EE_END+CH_DRY+DY_FINISHED	fertig heiß getrockneter Kaltansatzstoff	ACTION
eeeodaiin	drei Dosen eines lang behandelten Ansatzes	LEARNED_EEEODAIIN_WHOLE	Ansatz der letzten Stufe in Dosis III	MEASURE
alol	Drogenstoff aus Rohdroge I	AL_RAW_I+OL_MATERIAL	Rohdroge I im Grundansatz	PREPARATION
lkshedy	Holzdroge erhitzen, bis zur Mittelstufe einweichen und abschließen	L_WOOD+K_HOT+SH_MOIST+E_MIDDLE+DY_FINISHED	fertig erhitzte und eingeweichte Holzdroge	ACTION
raraiin	drei Teile der ersten Wurzelfraktion	R_ROOT+AR_FRACTION_I+AIIN_III	erste Wurzelfraktion in Sortierklasse III	FRACTION
cheodar	die erste Fraktion des mitteltrockenen Ansatzes abmessen	CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AR_FRACTION_I	erste Trockenansatzfraktion der Mittelstufe	ACTION
keam	ein Maß bis zur Mittelstufe erhitzter Droge	K_HOT+E_MIDDLE+AM_UNIT_I	erhitze ein Maß Droge bis zur Mittelstufe	MEASURE
dalchd	Rohdroge I abmessen, trocknen und abschließen	D_MEASURE+AL_RAW_I+CH_DRY+D_TERM_CLOSE	abgemessene und fertig getrocknete Rohdroge I	ACTION
