candidate	shol	paragraph	grammar	model	timing	target	form	location	kind	C_object	N_object	C_status	N_status	C_before	N_before	C_after	N_after	role	constraint_status_change	row_status
P	Q	f22v|f22v.6-f22v.16	B	D	O	f22v.15:3	chocthy	f22v.15:4	ACTION	f22v.8:2	f22v.15:3	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""CONSTITUTION:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry""}"	DIRECT_USE	False	recorded
P	Q	f22v|f22v.6-f22v.16	B	D	O	f22v.15:3	chocthy	f22v.15:3	BARE_NOMINAL		f22v.15:3	ABSENT	INITIAL_CONSTRAINT		{}		"{""CONSTITUTION:moisture"":""dry""}"	OTHER_USE_OR_DISPLACED	True	recorded
P	Q	f22v|f22v.6-f22v.16	B	D	I	f22v.15:3	chocthy	f22v.15:4	ACTION	f22v.8:2	f22v.15:3	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""CONSTITUTION:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry""}"	DIRECT_USE	False	recorded
P	Q	f22v|f22v.6-f22v.16	B	D	I	f22v.15:3	chocthy	f22v.15:3	BARE_NOMINAL		f22v.15:3	ABSENT	INITIAL_CONSTRAINT		{}		"{""CONSTITUTION:moisture"":""dry""}"	OTHER_USE_OR_DISPLACED	True	recorded
P	Q	f22v|f22v.6-f22v.16	B	H	O	f22v.15:3	chocthy	f22v.15:4	ACTION	f22v.8:2	f22v.15:3	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""CONSTITUTION:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry""}"	DIRECT_USE	False	recorded
P	Q	f22v|f22v.6-f22v.16	B	H	O	f22v.15:3	chocthy	f22v.15:3	BARE_NOMINAL		f22v.15:3	ABSENT	INITIAL_CONSTRAINT		{}		"{""CONSTITUTION:moisture"":""dry""}"	OTHER_USE_OR_DISPLACED	True	recorded
P	Q	f22v|f22v.6-f22v.16	B	H	I	f22v.15:3	chocthy	f22v.15:4	ACTION	f22v.8:2	f22v.15:3	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""CONSTITUTION:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry""}"	DIRECT_USE	False	recorded
P	Q	f22v|f22v.6-f22v.16	B	H	I	f22v.15:3	chocthy	f22v.15:3	BARE_NOMINAL		f22v.15:3	ABSENT	INITIAL_CONSTRAINT		{}		"{""CONSTITUTION:moisture"":""dry""}"	OTHER_USE_OR_DISPLACED	True	recorded
P	Q	f22v|f22v.6-f22v.16	J	D	O	f22v.15:3	chocthy	f22v.15:4	ACTION	f22v.8:2	f22v.15:3	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""CONSTITUTION:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry""}"	DIRECT_USE	False	recorded
P	Q	f22v|f22v.6-f22v.16	J	D	O	f22v.15:3	chocthy	f22v.15:3	BARE_NOMINAL		f22v.15:3	ABSENT	INITIAL_CONSTRAINT		{}		"{""CONSTITUTION:moisture"":""dry""}"	OTHER_USE_OR_DISPLACED	True	recorded
P	Q	f22v|f22v.6-f22v.16	J	D	I	f22v.15:3	chocthy	f22v.15:4	ACTION	f22v.8:2	f22v.15:3	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""CONSTITUTION:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry""}"	DIRECT_USE	False	recorded
P	Q	f22v|f22v.6-f22v.16	J	D	I	f22v.15:3	chocthy	f22v.15:3	BARE_NOMINAL		f22v.15:3	ABSENT	INITIAL_CONSTRAINT		{}		"{""CONSTITUTION:moisture"":""dry""}"	OTHER_USE_OR_DISPLACED	True	recorded
P	Q	f22v|f22v.6-f22v.16	J	H	O	f22v.15:3	chocthy	f22v.15:4	ACTION	f22v.8:2	f22v.15:3	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""CONSTITUTION:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry""}"	DIRECT_USE	False	recorded
P	Q	f22v|f22v.6-f22v.16	J	H	O	f22v.15:3	chocthy	f22v.15:3	BARE_NOMINAL		f22v.15:3	ABSENT	INITIAL_CONSTRAINT		{}		"{""CONSTITUTION:moisture"":""dry""}"	OTHER_USE_OR_DISPLACED	True	recorded
