latent_item	occurrences	interpretation
so	850	ANONYMOUS_OR_LITERAL_EXPLORATORY
en	663	ANONYMOUS_OR_LITERAL_EXPLORATORY
die	649	ANONYMOUS_OR_LITERAL_EXPLORATORY
vrin	589	ANONYMOUS_OR_LITERAL_EXPLORATORY
din	568	ANONYMOUS_OR_LITERAL_EXPLORATORY
e	559	ANONYMOUS_OR_LITERAL_EXPLORATORY
win	519	ANONYMOUS_OR_LITERAL_EXPLORATORY
o	514	ANONYMOUS_OR_LITERAL_EXPLORATORY
den	504	ANONYMOUS_OR_LITERAL_EXPLORATORY
wie	494	ANONYMOUS_OR_LITERAL_EXPLORATORY
n	474	ANONYMOUS_OR_LITERAL_EXPLORATORY
vrie	472	ANONYMOUS_OR_LITERAL_EXPLORATORY
at	419	ANONYMOUS_OR_LITERAL_EXPLORATORY
erie	401	ANONYMOUS_OR_LITERAL_EXPLORATORY
et	397	ANONYMOUS_OR_LITERAL_EXPLORATORY
z	357	ANONYMOUS_OR_LITERAL_EXPLORATORY
sat	343	ANONYMOUS_OR_LITERAL_EXPLORATORY
elin	329	ANONYMOUS_OR_LITERAL_EXPLORATORY
saht	325	ANONYMOUS_OR_LITERAL_EXPLORATORY
vraht	300	ANONYMOUS_OR_LITERAL_EXPLORATORY
erin	298	ANONYMOUS_OR_LITERAL_EXPLORATORY
elie	293	ANONYMOUS_OR_LITERAL_EXPLORATORY
dien	285	ANONYMOUS_OR_LITERAL_EXPLORATORY
de	280	ANONYMOUS_OR_LITERAL_EXPLORATORY
vro	265	ANONYMOUS_OR_LITERAL_EXPLORATORY
an	264	ANONYMOUS_OR_LITERAL_EXPLORATORY
ero	262	ANONYMOUS_OR_LITERAL_EXPLORATORY
wen	245	ANONYMOUS_OR_LITERAL_EXPLORATORY
san	244	ANONYMOUS_OR_LITERAL_EXPLORATORY
we	232	ANONYMOUS_OR_LITERAL_EXPLORATORY
det	213	ANONYMOUS_OR_LITERAL_EXPLORATORY
aht	201	ANONYMOUS_OR_LITERAL_EXPLORATORY
vran	199	ANONYMOUS_OR_LITERAL_EXPLORATORY
erien	194	ANONYMOUS_OR_LITERAL_EXPLORATORY
elo	194	ANONYMOUS_OR_LITERAL_EXPLORATORY
erat	184	ANONYMOUS_OR_LITERAL_EXPLORATORY
eraht	181	ANONYMOUS_OR_LITERAL_EXPLORATORY
elat	181	ANONYMOUS_OR_LITERAL_EXPLORATORY
dn	178	ANONYMOUS_OR_LITERAL_EXPLORATORY
wien	176	ANONYMOUS_OR_LITERAL_EXPLORATORY
t	172	ANONYMOUS_OR_LITERAL_EXPLORATORY
eran	171	ANONYMOUS_OR_LITERAL_EXPLORATORY
