family	surface	composition	predicted_reading_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	planned_status	final_status
QUALITY_NEUTRAL_CKH_GRID	ckhy	CKH_LEARNED+y	Arzneikompositum am Gradanfang	34	32	25	25	TARGET	ACCEPTED_V29
QUALITY_NEUTRAL_CKH_GRID	ckhey	CKH_LEARNED+e+y	Arzneikompositum in der Gradmitte	22	16	20	20	TARGET	ACCEPTED_V29
QUALITY_NEUTRAL_CKH_GRID	ckheey	CKH_LEARNED+ee+y	Arzneikompositum am Gradende	8	8	8	8	TARGET	ACCEPTED_V29
QUALITY_NEUTRAL_CKH_GRID	ckhdy	CKH_LEARNED+d+y	Arzneikompositum am Gradanfang, abgeschlossen	4	4	1	1	TARGET	ACCEPTED_V29
QUALITY_NEUTRAL_CKH_GRID	ckhedy	CKH_LEARNED+e+d+y	Arzneikompositum in der Gradmitte, abgeschlossen	2	2	1	1	TARGET	ACCEPTED_V29
O_PREP_CKH_GRID	ockhy	O_PREP+CKH_LEARNED+y	Ansatz eines Arzneikompositums am Gradanfang	6	6	6	6	TARGET	ACCEPTED_V29
O_PREP_CKH_GRID	ockhey	O_PREP+CKH_LEARNED+e+y	Ansatz eines Arzneikompositums in der Gradmitte	7	7	5	5	TARGET	ACCEPTED_V29
O_PREP_CKH_GRID	ockhedy	O_PREP+CKH_LEARNED+e+d+y	Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen	5	5	3	3	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	chockhy	ch+O_PREP+CKH_LEARNED+y	Arzneikompositum im Trockenansatz am Gradanfang	18	18	18	18	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	chockhey	ch+O_PREP+CKH_LEARNED+e+y	Arzneikompositum im Trockenansatz in der Gradmitte	4	4	3	3	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	chockhedy	ch+O_PREP+CKH_LEARNED+e+d+y	Arzneikompositum im Trockenansatz in der Gradmitte, abgeschlossen	1	1	1	1	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	cheockhy	ch+E_ATTR+O_PREP+CKH_LEARNED+y	trocken angesetztes Arzneikompositum am Gradanfang	8	7	7	7	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	cheockhey	ch+E_ATTR+O_PREP+CKH_LEARNED+e+y	trocken angesetztes Arzneikompositum in der Gradmitte	1	1	1	1	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	shockhy	sh+O_PREP+CKH_LEARNED+y	Arzneikompositum im Feuchtansatz am Gradanfang	4	4	4	4	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	shockhey	sh+O_PREP+CKH_LEARNED+e+y	Arzneikompositum im Feuchtansatz in der Gradmitte	3	3	3	3	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	sheockhy	sh+E_ATTR+O_PREP+CKH_LEARNED+y	feucht angesetztes Arzneikompositum am Gradanfang	2	2	2	2	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_CKH_GRID	sheockhey	sh+E_ATTR+O_PREP+CKH_LEARNED+e+y	feucht angesetztes Arzneikompositum in der Gradmitte	2	2	1	2	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	chokey	ch+O_PREP+K_HEISS+e+y	heiß-trockener Ansatz in der Gradmitte	4	4	4	4	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	chokeey	ch+O_PREP+K_HEISS+ee+y	heiß-trockener Ansatz am Gradende	10	9	9	9	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	chokedy	ch+O_PREP+K_HEISS+e+d+y	heiß-trockener Ansatz in der Gradmitte, abgeschlossen	4	3	2	2	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	chokeedy	ch+O_PREP+K_HEISS+ee+d+y	heiß-trockener Ansatz am Gradende, abgeschlossen	2	2	2	2	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	cheoky	ch+E_ATTR+O_PREP+K_HEISS+y	trocken angesetzte heiße Zubereitung am Gradanfang	6	6	6	6	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	cheokey	ch+E_ATTR+O_PREP+K_HEISS+e+y	trocken angesetzte heiße Zubereitung in der Gradmitte	2	2	2	2	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	cheokeey	ch+E_ATTR+O_PREP+K_HEISS+ee+y	trocken angesetzte heiße Zubereitung am Gradende	4	4	4	4	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	cheokedy	ch+E_ATTR+O_PREP+K_HEISS+e+d+y	trocken angesetzte heiße Zubereitung in der Gradmitte, abgeschlossen	2	2	1	1	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	shoky	sh+O_PREP+K_HEISS+y	heiß-feuchter Ansatz am Gradanfang	6	6	6	6	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	shokey	sh+O_PREP+K_HEISS+e+y	heiß-feuchter Ansatz in der Gradmitte	3	3	2	2	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	shokeey	sh+O_PREP+K_HEISS+ee+y	heiß-feuchter Ansatz am Gradende	2	2	1	2	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	sheoky	sh+E_ATTR+O_PREP+K_HEISS+y	feucht angesetzte heiße Zubereitung am Gradanfang	7	7	5	5	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	sheokey	sh+E_ATTR+O_PREP+K_HEISS+e+y	feucht angesetzte heiße Zubereitung in der Gradmitte	2	2	2	2	TARGET	ACCEPTED_V29
QUALIFIED_O_PREP_K_GRID	sheokeedy	sh+E_ATTR+O_PREP+K_HEISS+ee+d+y	feucht angesetzte heiße Zubereitung am Gradende, abgeschlossen	1	1	1	1	TARGET	ACCEPTED_V29
O_PREP_MATERIA_AL_GRID	opal	O_PREP+[PAL_LEARNED]	Ansatz aus Pulverrohstoff, Form I	6	5	6	6	TARGET	ACCEPTED_V29
O_PREP_MATERIA_AL_GRID	osal	O_PREP+[SAL_LEARNED]	Ansatz aus Saatrohstoff, Form I	3	3	2	2	TARGET	ACCEPTED_V29
O_PREP_MATERIA_AL_GRID	oral	O_PREP+[RAL_LEARNED]	Ansatz aus Wurzelrohstoff, Form I	10	10	6	7	TARGET	ACCEPTED_V29
O_PREP_MATERIA_AL_GRID	olal	O_PREP+[LAL_LEARNED]	Ansatz aus Holzrohstoff, Form I	5	5	5	5	TARGET	ACCEPTED_V29
