record	at	word	reading	row_status
f17r	f17r.4:1	tcho	⟦tcho⟧	recorded
f17r	f17r.4:2	shol	Frucht [BASE; SG]	recorded
f17r	f17r.4:3	qokol	⟦qokol⟧	recorded
f17r	f17r.4:4	qor	⟦qor⟧	recorded
f17r	f17r.4:5	olaiin	⟦olaiin⟧	recorded
f17r	f17r.4:6	opydg	⟦opydg⟧	recorded
f17r	f17r.4:7	som	⟦som⟧	recorded
f17r	f17r.4:8	ypchy	⟦ypchy⟧	recorded
f17r	f17r.4:9	ypaim	⟦ypaim⟧	recorded
f17r	f17r.5:1	ychekchy	⟦ychekchy⟧	recorded
f17r	f17r.5:2	cthy	Kraut [OBJECT; SG]	recorded
f17r	f17r.5:3	chor	Blüte [OBJECT; SG]	recorded
f17r	f17r.5:4	shor	Frucht [OBJECT; SG]	recorded
f17r	f17r.5:5	cphor	⟦cphor⟧	recorded
f17r	f17r.5:6	cphaldy	⟦cphaldy⟧	recorded
f17r	f17r.5:7	dair	⟦dair⟧	recorded
f17r	f17r.5:8	cthey	⟦cthey⟧	recorded
f17r	f17r.5:9	qody	⟦qody⟧	recorded
f17r	f17r.6:1	tsho	⟦tsho⟧	recorded
f17r	f17r.6:2	qof	⟦qof⟧	recorded
f17r	f17r.6:3	cho	⟦cho⟧	recorded
f17r	f17r.6:4	qokcheor	⟦qokcheor⟧	recorded
f17r	f17r.6:5	cheteg	⟦cheteg⟧	recorded
f21r	f21r.8:1	fcho	⟦fcho⟧	recorded
f21r	f21r.8:2	kshy	⟦kshy⟧	recorded
f21r	f21r.8:3	otor	⟦otor⟧	recorded
f21r	f21r.8:4	sheol	⟦sheol⟧	recorded
f21r	f21r.8:5	ocphal	⟦ocphal⟧	recorded
f21r	f21r.8:6	opsheas	⟦opsheas⟧	recorded
f21r	f21r.8:7	cthodaiin	⟦cthodaiin⟧	recorded
f21r	f21r.8:8	oty	⟦oty⟧	recorded
f21r	f21r.9:1	okaiin	⟦okaiin⟧	recorded
f21r	f21r.9:2	sho	vermische Kraut [Bezug=f21r.9:8; MATCH]	recorded
f21r	f21r.9:3	tshaiin	⟦tshaiin⟧	recorded
f21r	f21r.9:4	chkaiin	⟦chkaiin⟧	recorded
f21r	f21r.9:5	sh	⟦sh⟧	recorded
f21r	f21r.9:6	cthey	⟦cthey⟧	recorded
f21r	f21r.9:7	cthody	⟦cthody⟧	recorded
f21r	f21r.9:8	cthy	Kraut [OBJECT; SG]	recorded
f21r	f21r.9:9	s	⟦s⟧	recorded
f21r	f21r.10:1	totchy	⟦totchy⟧	recorded
f21r	f21r.10:2	keor	Öl [OBJECT; SG]	recorded
f21r	f21r.10:3	chy	⟦chy⟧	recorded
f21r	f21r.10:4	ky	⟦ky⟧	recorded
f21r	f21r.10:5	qotaiin	⟦qotaiin⟧	recorded
f21r	f21r.10:6	qotchol	⟦qotchol⟧	recorded
f21r	f21r.10:7	ty	⟦ty⟧	recorded
f21r	f21r.10:8	ctheey	⟦ctheey⟧	recorded
f21r	f21r.10:9	otaiin	⟦otaiin⟧	recorded
f21r	f21r.11:1	shol	Frucht [BASE; SG]	recorded
f21r	f21r.11:2	chol	Blüte [BASE; SG]	recorded
f21r	f21r.11:3	shol	Frucht [BASE; SG]	recorded
f21r	f21r.11:4	tchol	⟦tchol⟧	recorded
f21r	f21r.11:5	chcthy	⟦chcthy⟧	recorded
f21r	f21r.11:6	otyky	⟦otyky⟧	recorded
f21r	f21r.11:7	shey	⟦shey⟧	recorded
f21r	f21r.11:8	yteol	⟦yteol⟧	recorded
f21r	f21r.11:9	shody	⟦shody⟧	recorded
f21r	f21r.12:1	ykeey	⟦ykeey⟧	recorded
f21r	f21r.12:2	chor	Blüte [OBJECT; SG]	recorded
f21r	f21r.12:3	sheey	⟦sheey⟧	recorded
f21r	f21r.12:4	ysheol	⟦ysheol⟧	recorded
f21r	f21r.12:5	chor	Blüte [OBJECT; SG]	recorded
f21r	f21r.12:6	chol	Blüte [BASE; SG]	recorded
f21r	f21r.12:7	daiin	bereite Blüte [Bezug=f21r.12:6; FORM_CONFLICT]	recorded
f21r	f21r.12:8	chkaiin	⟦chkaiin⟧	recorded
f32v	f32v.7:1	ksho	⟦ksho⟧	recorded
f32v	f32v.7:2	cphos	⟦cphos⟧	recorded
f32v	f32v.7:3	she	⟦she⟧	recorded
f32v	f32v.7:4	sheaiin	⟦sheaiin⟧	recorded
f32v	f32v.7:5	otshcho	⟦otshcho⟧	recorded
f32v	f32v.7:6	r	⟦r⟧	recorded
f32v	f32v.7:7	dain	⟦dain⟧	recorded
f32v	f32v.7:8	shckhy	⟦shckhy⟧	recorded
f32v	f32v.7:9	s	⟦s⟧	recorded
f32v	f32v.7:10	odan	⟦odan⟧	recorded
f32v	f32v.8:1	otchol	⟦otchol⟧	recorded
f32v	f32v.8:2	daiin	bereite ? [Bezug=; MISSING]	recorded
f32v	f32v.8:3	daiin	bereite ? [Bezug=; MISSING]	recorded
f32v	f32v.8:4	ctho	Kraut [BASE; SG]	recorded
f32v	f32v.8:5	daiin	bereite Kraut [Bezug=f32v.8:4; FORM_CONFLICT]	recorded
f32v	f32v.8:6	qotaiin	⟦qotaiin⟧	recorded
f32v	f32v.8:7	otchy	⟦otchy⟧	recorded
f32v	f32v.8:8	d	⟦d⟧	recorded
f32v	f32v.8:9	shan	⟦shan⟧	recorded
f32v	f32v.9:1	qotchy	zerkleinere ? [Bezug=; MISSING]	recorded
f32v	f32v.9:2	cfhy	⟦cfhy⟧	recorded
f32v	f32v.9:3	skey	⟦skey⟧	recorded
f32v	f32v.9:4	chocthy	⟦chocthy⟧	recorded
f32v	f32v.9:5	daiin	bereite ? [Bezug=; MISSING]	recorded
f32v	f32v.9:6	cthaiin	Kraut [BASE; PL]	recorded
f32v	f32v.9:7	daiin	bereite mehrere Kraut-Einheiten [Bezug=f32v.9:6; FORM_CONFLICT]	recorded
f32v	f32v.10:1	sho	vermische Öl [Bezug=f32v.10:2; FORM_CONFLICT]	recorded
f32v	f32v.10:2	keol	Öl [BASE; SG]	recorded
f32v	f32v.10:3	chor	Blüte [OBJECT; SG]	recorded
f32v	f32v.10:4	chol	Blüte [BASE; SG]	recorded
f32v	f32v.10:5	daiin	bereite Blüte [Bezug=f32v.10:4; FORM_CONFLICT]	recorded
f32v	f32v.10:6	cpho	⟦cpho⟧	recorded
f32v	f32v.10:7	l	⟦l⟧	recorded
f32v	f32v.10:8	cthol	⟦cthol⟧	recorded
f32v	f32v.10:9	da	⟦da⟧	recorded
f32v	f32v.10:10	ar	⟦ar⟧	recorded
f32v	f32v.11:1	ol	⟦ol⟧	recorded
f32v	f32v.11:2	sho	vermische ? [Bezug=; MISSING]	recorded
f32v	f32v.11:3	chy	⟦chy⟧	recorded
f29v	f29v.1:1	kooiin	⟦kooiin⟧	recorded
f29v	f29v.1:2	shor	Frucht [OBJECT; SG]	recorded
f29v	f29v.1:3	chetchy	⟦chetchy⟧	recorded
f29v	f29v.1:4	ol	⟦ol⟧	recorded
f29v	f29v.1:5	ls	⟦ls⟧	recorded
f29v	f29v.1:6	shytchy	⟦shytchy⟧	recorded
f29v	f29v.1:7	cthy	Kraut [OBJECT; SG]	recorded
f29v	f29v.1:8	shy	⟦shy⟧	recorded
f29v	f29v.1:9	cho	⟦cho⟧	recorded
f29v	f29v.1:10	shy	⟦shy⟧	recorded
f29v	f29v.1:11	daiin	bereite Kraut [Bezug=f29v.1:7; MATCH]	recorded
f29v	f29v.2:1	qotcheaiin	⟦qotcheaiin⟧	recorded
f29v	f29v.2:2	s	⟦s⟧	recorded
f29v	f29v.2:3	chol	Blüte [BASE; SG]	recorded
f29v	f29v.2:4	chol	Blüte [BASE; SG]	recorded
f29v	f29v.2:5	cthy	Kraut [OBJECT; SG]	recorded
f29v	f29v.2:6	chey	⟦chey⟧	recorded
f29v	f29v.2:7	cthold	⟦cthold⟧	recorded
f29v	f29v.2:8	ytchor	⟦ytchor⟧	recorded
f29v	f29v.2:9	dary	⟦dary⟧	recorded
f29v	f29v.3:1	chol	Blüte [BASE; SG]	recorded
f29v	f29v.3:2	chol	Blüte [BASE; SG]	recorded
f29v	f29v.3:3	kor	⟦kor⟧	recorded
