passage_check_ordinal	statement_id	physical_page	register	owner_id	event_count	surface_sequence	gdt581_structural_reading_de	gdt582_concrete_reading_de	manual_house_sense_disposition	manual_note	guard
1	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	10	odar shol cphoy oydar sh s cfhoaiin shodary yshey shody	Von der Ausgangszeile; als Ausführung; an der D-Stelle. Weiter: halte fest. Entnimm den laufenden Eintrag und setze ihn ein; als Ausführung. Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der D-Stelle. Halte denselben laufenden Eintrag fest. Wähle denselben laufenden Eintrag. Entnimm den Kennwert; als Ausführung; bei der f-Kennmarke. Halte den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung; an der D-Stelle. Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; auf Grad I. Halte denselben laufenden Eintrag fest; als Ausführung; schließe den Schritt.	im Besitzerrahmen [OWNER:F1R_TEXT_BLOCK_B]: in Arbeitsform, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen; im Steuerrahmen [CONTROL:G407-E0048@2:OL]: weiter im selben Arbeitsgang. Entnimm; Bringe ein: in Arbeitsform, Arbeitsgut. beim Einbringen [ACTION:G407-E0049@2:P]: in Arbeitsform, Arbeitsgut, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen. Sondere aus. Entnimm: in Feinform, in Arbeitsform, Flüssigkeitsmaß. Lass ruhen: in Arbeitsform, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß, Arbeitsgut. Lass ruhen: Arbeitsgut, auf Grad I, Arbeitsgut. Lass ruhen: in Arbeitsform; im Steuerrahmen [CONTROL:G407-E0056@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
2	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	12	okchoy otchol chocthy os chy dain chor kos daiin shos cfhol shody	Trage den laufenden Eintrag ein und entnimm ihn; als Ausführung. Danach: entnimm denselben laufenden Eintrag; führe den Gang weiter. Entnimm den laufenden Eintrag, entnimm ihn und lege ihn fest; als Ausführung. Im laufenden Gang lege denselben laufenden Eintrag fest; wie zuvor. Im laufenden Gang lege den laufenden Eintrag fest. Im laufenden Gang lege den Teilwert fest. Entnimm die Eintragseinheit. Ordne dieselbe Eintragseinheit zu und wähle sie; als Ausführung. Im laufenden Gang wähle den Kennwert. Halte denselben Kennwert fest und wähle ihn; als Ausführung. Weiter: entnimm denselben Kennwert; bei der f-Kennmarke. Halte denselben Kennwert fest; als Ausführung; schließe den Schritt.	Setze an; Entnimm: in Arbeitsform, Arbeitsgut. im Steuerrahmen [CONTROL:G407-E0058@1:OT]: danach / neuer Arbeitsgang; Entnimm; im Steuerrahmen [CONTROL:G407-E0058@3:OL]: weiter im selben Arbeitsgang. Entnimm: in Arbeitsform; Entnimm; Stelle ein oder temperiere: Arbeitsgut. im Rahmen [G407-E0059@4:T]: mit Vorbezug. beim Einstellen oder Temperieren [ACTION:G407-E0059@4:T]: Arbeitsgut. beim Einstellen oder Temperieren [ACTION:G407-E0059@4:T]: Portion. Entnimm: Ansatz. Gib zu: in Arbeitsform; Sondere aus. beim Auswählen oder Aussondern [ACTION:G407-E0064@3:S]: Flüssigkeitsmaß. Lass ruhen: in Arbeitsform; Sondere aus. Entnimm: in Feinform; im Steuerrahmen [CONTROL:G407-E0067@3:OL]: weiter im selben Arbeitsgang. Lass ruhen: in Arbeitsform; im Steuerrahmen [CONTROL:G407-E0068@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
3	G515-S042	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	22	tocpheey dol kchody qokeody qokshy qopaiin dairykodas okyd dsholdaiir dalky shky qoky shekair choty dar okeey shdy ykol qo cheky shcthy dalalshedy	Lege den laufenden Eintrag fest, entnimm ihn und setze ihn ein; zur Ausführung und auf Grad II. Weiter im laufenden Gang: setze denselben laufenden Eintrag ein; an der D-Stelle. Ordne den laufenden Eintrag zu und entnimm ihn; zur Ausführung; an der D-Stelle. Trage den laufenden Eintrag ein; auf Grad I und zur Ausführung; an der D-Stelle. Trage den laufenden Eintrag ein und halte ihn fest. Setze den Kennwert ein; mit Beginnmarker und zur Ausführung. Ordne den laufenden Eintrag zu und wähle ihn; entlang der Lesebahn; zur Ausführung und auf der zweiten Stufe; an der D-Stelle. Trage den laufenden Eintrag ein; an der D-Stelle. Weiter: halte denselben laufenden Eintrag fest und kennzeichne ihn; an der D-Stelle; auf der zweiten Stufe und auf der bezeichneten Stufe. Bezug auf das vorangehende Festhalten [G515-E0366@2:SH]: zur Zielspalte [G515-A00341:G515-E0367@1:AL#1]. Lokales Zuordnen [G515-E0367@2:K]: den laufenden Eintrag [G515-A00342:G515-E0367@3:Y#1]. Halte den laufenden Eintrag fest und ordne ihn zu. Trage den laufenden Eintrag ein. Halte denselben laufenden Eintrag fest und ordne ihn zu; entlang der Lesebahn; auf Grad I. Danach: entnimm den laufenden Eintrag. Im laufenden Satz entnimm denselben laufenden Eintrag; von der Ausgangszeile; an der D-Stelle. Trage den laufenden Eintrag ein; auf Grad II. Halte den laufenden Eintrag fest; an der D-Stelle. Weiter: ordne den laufenden Eintrag zu. Im laufenden Satz ordne denselben laufenden Eintrag zu; zur Ausführung. Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad I. Halte den laufenden Eintrag fest, entnimm ihn und lege ihn fest. Beim vorangehenden Festlegen: zur Zielspalte; dieselbe Zielangabe nochmals. Halte denselben laufenden Eintrag fest; auf Grad I; schließe den Schritt.	Stelle ein oder temperiere: in Arbeitsform; Entnimm; Bringe ein: auf Grad II, Arbeitsgut. im Steuerrahmen [CONTROL:G515-E0359:STATE_CARD]: an der Arbeitsstelle; im Steuerrahmen [CONTROL:G515-E0359@2:OL]: weiter im selben Arbeitsgang. Gib zu; Entnimm: in Arbeitsform, an der Arbeitsstelle, Arbeitsgut. Setze an: auf Grad I, in Arbeitsform, an der Arbeitsstelle, Arbeitsgut. Setze an; Lass ruhen: Arbeitsgut. Bringe ein: als Neuansatz, in Arbeitsform, Flüssigkeitsmaß. Gib zu: an der Arbeitsstelle, entlang des Arbeitswegs, Arbeitsgut, in Arbeitsform; Sondere aus: im zweiten Durchgang. Setze an: Arbeitsgut, an der Arbeitsstelle. Lass ruhen: an der Arbeitsstelle, im zweiten Durchgang; im Steuerrahmen [CONTROL:G515-E0366@3:OL]: weiter im selben Arbeitsgang; Kennzeichne oder prüfe: auf der bezeichneten Stufe. beim Ruhenlassen [ACTION:G515-E0366@2:SH]: zur Zielstelle oder ins Zielgefäß; Gib zu: Arbeitsgut. Lass ruhen; Gib zu: Arbeitsgut. Setze an: Arbeitsgut. Lass ruhen: auf Grad I; Gib zu: entlang des Arbeitswegs. Entnimm: Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0371@2:OT]: danach / neuer Arbeitsgang. beim Entnehmen [ACTION:G515-E0371@1:CH]: an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Setze an: auf Grad II, Arbeitsgut. Lass ruhen: an der Arbeitsstelle, Arbeitsgut. Gib zu: Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0375@3:OL]: weiter im selben Arbeitsgang. im Rahmen [G515-E0375@2:K]: in Arbeitsform. Entnimm; Gib zu: auf Grad I, Arbeitsgut. Lass ruhen; Entnimm; Stelle ein oder temperiere: Arbeitsgut. beim Einstellen oder Temperieren [ACTION:G515-E0378@3:T]: zur Zielstelle oder ins Zielgefäß, zur Zielstelle oder ins Zielgefäß; Lass ruhen: auf Grad I; im Steuerrahmen [CONTROL:G515-E0379@5:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
4	G515-S043	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	15	cheta r sheod shokaiir chy dard shor sheodal sholdy qokchedy qopchy qoty chedaiir chees kardy	Entnimm und lege fest; auf Grad I; an der A-Stelle. Kennzeichne. Halte fest; auf Grad I und zur Ausführung; an der D-Stelle. Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe. Bezug auf das vorangehende Eintragen [G515-E0383@2:OK]: den laufenden Eintrag [G515-A00361:G515-E0384@1:Y#1]. Bezug auf das fortgeführte Kennzeichnen [G515-E0383@4:R]: an der D-Stelle im äußeren Zweig [RUNNING:G515-E0385@1:D_ADDR]. Bezug auf das fortgeführte Eintragen [G515-E0383@2:OK]: von der Ausgangszeile [G515-A00362:G515-E0385@2:AR#1]. Bezug auf das fortgeführte Kennzeichnen [G515-E0383@4:R]: an der D-Stelle im inneren Zweig [RUNNING:G515-E0385@3:D_ADDR]. Halte die Eintragseinheit fest. Halte dieselbe Eintragseinheit fest; zur Zielspalte; auf Grad I und zur Ausführung. Weiter: halte den laufenden Eintrag fest; an der D-Stelle. Trage den laufenden Eintrag ein und bearbeite ihn. Setze den laufenden Eintrag ein; zur Ausführung. Danach im laufenden Gang: setze den laufenden Eintrag ein. Bearbeite denselben laufenden Eintrag und kennzeichne ihn; auf der bezeichneten Stufe. Halte denselben laufenden Eintrag fest; auf Grad II; an der S-Stelle. Ordne denselben laufenden Eintrag zu; von der Ausgangszeile; schließe den Schritt.	Entnimm: auf Grad I; Stelle ein oder temperiere: an der Hauptstelle. Kennzeichne oder prüfe. Lass ruhen: auf Grad I, in Arbeitsform, an der Arbeitsstelle. Lass ruhen; Setze an: auf der bezeichneten Stufe; Kennzeichne oder prüfe. beim Ansetzen [ACTION:G515-E0383@2:OK]: Arbeitsgut. beim Kennzeichnen oder Prüfen [ACTION:G515-E0383@4:R]: an der Arbeitsstelle, an der Arbeitsstelle; beim Ansetzen [ACTION:G515-E0383@2:OK]: von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen: Ansatz. Lass ruhen: auf Grad I, in Arbeitsform, zur Zielstelle oder ins Zielgefäß. Lass ruhen: an der Arbeitsstelle, Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0388@2:OL]: weiter im selben Arbeitsgang. Setze an; Bearbeite: Arbeitsgut. Bringe ein: in Arbeitsform, Arbeitsgut. im Steuerrahmen [CONTROL:G515-E0391@1:OT]: danach / neuer Arbeitsgang; beim Einbringen [ACTION:G515-E0390@2:P]: Arbeitsgut. Bearbeite: auf der bezeichneten Stufe; Kennzeichne oder prüfe. Lass ruhen: auf Grad II, an der Endstelle. Gib zu: von der Quelle oder aus dem Ausgangsgefäß; im Steuerrahmen [CONTROL:G515-E0394@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
5	G407-S010	f11r	HERBAL	blühender dreikroniger Sodenstock	7	tshol schoal cfhy shfydaiin cphy shey tchody	Weiter: stelle ein und halte. Halte; zur Zielstelle; als Ausführung. Nimm den Pflanzenposten; bei der f-Kennmarke. Halte den Pflanzenposten und den Arbeitswert. Nimm den Pflanzenposten und setze ihn ein. Halte den Pflanzenposten; auf Grad I. Stelle denselben Pflanzenposten ein und nimm ihn; als Ausführung; schließe den Schritt.	Stelle ein oder temperiere; Halte oder lass ziehen; im Steuerrahmen [CONTROL:G407-E0307@3:OL]: weiter im selben Arbeitsgang. Halte oder lass ziehen: in Zubereitungsform, zur Zielstelle oder ins Auffanggefäß. Entnimm oder ziehe aus: in Feinform, Pflanzencharge. Halte oder lass ziehen: Pflanzencharge, Pflanzenauszug oder Arbeitsmaß. Entnimm oder ziehe aus; Bringe ein: Pflanzencharge. Halte oder lass ziehen: auf Grad I, Pflanzencharge. Stelle ein oder temperiere; Entnimm oder ziehe aus: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0313@4:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
6	G407-S013	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	16	tchor dor daiin qotchol okchy okchor oiin chckhy d dchy qoky chol dy qoy d oldy	Stelle die Arbeitseinheit ein und nimm sie. Im laufenden Gang nimm die Arbeitseinheit; an der D-Stelle. Im laufenden Gang nimm den Arbeitswert. Danach: nimm denselben Arbeitswert; führe den Gang weiter. Setze den Pflanzenposten im Arbeitsgang an. Setze die Arbeitseinheit im Arbeitsgang an und nimm sie. Im laufenden Gang nimm dieselbe Arbeitseinheit; als Ausführung und auf der bezeichneten Stufe. Nimm den Pflanzenposten und gib ihn zu. Im laufenden Gang gib denselben Pflanzenposten zu; an der D-Stelle. Im laufenden Gang gib den Pflanzenposten zu; an der D-Stelle. Setze den Pflanzenposten im Arbeitsgang an. Weiter im laufenden Gang: setze denselben Pflanzenposten im Arbeitsgang an. Im laufenden Gang setze den Pflanzenposten im Arbeitsgang an. Im laufenden Gang setze den Pflanzenposten im Arbeitsgang an; als Ausführung. Im laufenden Gang setze denselben Pflanzenposten im Arbeitsgang an; an der D-Stelle. Weiter im laufenden Gang: setze denselben Pflanzenposten im Arbeitsgang an; schließe den Schritt.	Stelle ein oder temperiere; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. beim Entnehmen oder Ausziehen [ACTION:G407-E0408@2:CH]: an der Pflanzen-Arbeitsstelle, Pflanzen- oder Arbeitseinheit. beim Entnehmen oder Ausziehen [ACTION:G407-E0408@2:CH]: Pflanzenauszug oder Arbeitsmaß. im Steuerrahmen [CONTROL:G407-E0411@1:OT]: danach / neuer Arbeitsgang; Entnimm oder ziehe aus; im Steuerrahmen [CONTROL:G407-E0411@3:OL]: weiter im selben Arbeitsgang. Setze den Pflanzenansatz an: Pflanzencharge. Setze den Pflanzenansatz an; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. im Rahmen [G407-E0413@2:CH]: in Zubereitungsform, auf der Verarbeitungsstufe. Entnimm oder ziehe aus; Gib zu: Pflanzencharge. im Rahmen [G407-E0415@2:K]: an der Pflanzen-Arbeitsstelle. beim Zugeben [ACTION:G407-E0415@2:K]: an der Pflanzen-Arbeitsstelle, Pflanzencharge. Setze den Pflanzenansatz an: Pflanzencharge. im Steuerrahmen [CONTROL:G407-E0419@1:OL]: weiter im selben Arbeitsgang. beim Ansetzen [ACTION:G407-E0418@1:OK]: Pflanzencharge. beim Ansetzen [ACTION:G407-E0418@1:OK]: in Zubereitungsform, Pflanzencharge. im Rahmen [G407-E0418@1:OK]: an der Pflanzen-Arbeitsstelle. im Steuerrahmen [CONTROL:G407-E0423@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0423@2:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
7	G407-S020	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	6	oldckhy ydair choky okshy qodar ckhody	Weiter: nimm den Pflanzenposten und gib ihn zu; an der D-Stelle. Im laufenden Gang gib den Pflanzenposten zu; entlang der Verarbeitungsbahn; an der D-Stelle. Setze den Pflanzenposten im Arbeitsgang an. Setze den Pflanzenposten im Arbeitsgang an. Im laufenden Gang setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial; als Ausführung; an der D-Stelle. Nimm denselben Pflanzenposten und gib ihn zu; als Ausführung; schließe den Schritt.	im Steuerrahmen [CONTROL:G407-E0452@1:OL]: weiter im selben Arbeitsgang; Entnimm oder ziehe aus: an der Pflanzen-Arbeitsstelle; Gib zu: Pflanzencharge. beim Zugeben [ACTION:G407-E0452@4:K]: Pflanzencharge, an der Pflanzen-Arbeitsstelle, entlang des Verarbeitungswegs. Setze den Pflanzenansatz an: Pflanzencharge. Setze den Pflanzenansatz an: Pflanzencharge. beim Ansetzen [ACTION:G407-E0455@1:OK]: in Zubereitungsform, an der Pflanzen-Arbeitsstelle, vom Ausgangsmaterial oder -gefäß. Entnimm oder ziehe aus; Gib zu: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0457@4:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
8	G407-S028	f18r	HERBAL	große abgebildete Blütenpflanze	4	doldaiin qokchor ckhol olody	Bezug auf das folgende Ansetzen [G407-E0571@1:OK]: den Arbeitswert [G407-A00516:G407-E0570@2:AIIN#1]. Strukturspur: OL@1→CONTROL:G407-E0570@1:OL. Setze die Arbeitseinheit im Arbeitsgang an und nimm sie. Weiter: nimm dieselbe Arbeitseinheit und gib sie zu. Weiter im laufenden Gang: gib dieselbe Arbeitseinheit zu; als Ausführung; schließe den Schritt.	im Steuerrahmen [CONTROL:G407-E0570@1:OL]: weiter im selben Arbeitsgang; beim Ansetzen [ACTION:G407-E0571@1:OK]: Pflanzenauszug oder Arbeitsmaß. Setze den Pflanzenansatz an; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. Entnimm oder ziehe aus; Gib zu; im Steuerrahmen [CONTROL:G407-E0572@3:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E0573@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0573:STATE_CARD]: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0573@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
9	G407-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	7	opodchol s ain aldy soeey doiin oldy	Weiter: setze ein; beim Einsetzen: als Ausführung; beim Einsetzen: erneut als Ausführung; an der D-Stelle. Wähle. Im laufenden Gang wähle den Sektoranteil. Im laufenden Gang wähle den Positionsposten; zur Zielposition; an der D-Stelle. Wähle den Positionsposten; als Ausführung und auf Grad II. Im laufenden Gang wähle denselben Positionsposten; als Ausführung und auf der bezeichneten Stufe; an der D-Stelle. Weiter im laufenden Gang: wähle denselben Positionsposten; schließe den Schritt.	Setze ein: in Eintragsform, in Eintragsform, an der unteren Ringstelle; im Steuerrahmen [CONTROL:G407-E0902@5:OL]: weiter im selben Arbeitsgang. Wähle aus. beim Auswählen [ACTION:G407-E0903@1:S]: Sektoranteil. beim Auswählen [ACTION:G407-E0903@1:S]: zur Zielposition, an der unteren Ringstelle, Ringposition. Wähle aus: in Eintragsform, auf Ringstufe II, Ringposition. im Rahmen [G407-E0906@1:S]: an der unteren Ringstelle, in Eintragsform, auf der Feinstufe. im Steuerrahmen [CONTROL:G407-E0908@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0908@2:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
10	G407-S045	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	3	saiin ochol olol	Wähle den Positionswert. Weiter im laufenden Gang: wähle denselben Positionswert; als Ausführung. Weiter im laufenden Gang: wähle denselben Positionswert; führe den Gang weiter.	Wähle aus: Positionswert. im Steuerrahmen [CONTROL:G407-E0943:STATE_CARD]: in Eintragsform; im Steuerrahmen [CONTROL:G407-E0943@2:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E0944@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0944@2:OL]: weiter im selben Arbeitsgang.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
