record	domain	at	word	left	left_word	right	right_word	left_gap	right_gap	missing	self_edge	row_status
f21r	H	f21r.11:7	shey	f21r.10:6	qotchol	f21r.12:2	chor	f21r.10:7=ty f21r.10:8=ctheey f21r.10:9=otaiin f21r.11:1=shol f21r.11:2=chol f21r.11:3=shol f21r.11:4=tchol f21r.11:5=chcthy f21r.11:6=otyky	f21r.11:8=yteol f21r.11:9=shody f21r.12:1=ykeey		False	recorded
f21r	H	f21r.12:7	daiin	f21r.12:5	chor			f21r.12:6=chol	f21r.12:8=chkaiin	right	False	recorded
f32v	H	f32v.8:2	daiin	f32v.8:1	otchol					right	False	recorded
f32v	H	f32v.8:3	daiin			f32v.8:4	ctho			left	False	recorded
f32v	H	f32v.8:5	daiin	f32v.8:4	ctho	f32v.8:9	shan		f32v.8:6=qotaiin f32v.8:7=otchy f32v.8:8=d		False	recorded
f32v	H	f32v.9:5	daiin	f32v.9:4	chocthy	f32v.9:6	cthaiin				False	recorded
f32v	H	f32v.9:7	daiin	f32v.9:6	cthaiin	f32v.10:2	keol		f32v.10:1=sho		False	recorded
f32v	H	f32v.10:5	daiin	f32v.10:3	chor	f32v.10:8	cthol	f32v.10:4=chol	f32v.10:6=cpho f32v.10:7=l		False	recorded
f29v	H	f29v.1:11	daiin	f29v.1:7	cthy	f29v.2:5	cthy	f29v.1:8=shy f29v.1:9=cho f29v.1:10=shy	f29v.2:1=qotcheaiin f29v.2:2=s f29v.2:3=chol f29v.2:4=chol		True	recorded
f29v	H	f29v.3:4	shey	f29v.2:5	cthy	f29v.4:3	okaiin	f29v.2:6=chey f29v.2:7=cthold f29v.2:8=ytchor f29v.2:9=dary f29v.3:1=chol f29v.3:2=chol f29v.3:3=kor	f29v.3:5=odaiin f29v.3:6=qotchy f29v.3:7=taiin f29v.3:8=s f29v.3:9=she f29v.3:10=otey f29v.3:11=sy f29v.4:1=ysho f29v.4:2=otshy		False	recorded
F83_P1	B	f83r.2:6	shey	f83r.2:3	qokaiin			f83r.2:4=shol f83r.2:5=lchs	f83r.2:7=qoteedy f83r.2:8=rches f83r.2:9=ar f83r.2:10=chedy f83r.2:11=dor f83r.3:1=olkeedy f83r.3:2=qotal f83r.3:3=chkeedy f83r.3:4=chey	right	False	recorded
F83_P1	B	f83r.3:5	daiin			f83r.3:7	lchedy	f83r.2:7=qoteedy f83r.2:8=rches f83r.2:9=ar f83r.2:10=chedy f83r.2:11=dor f83r.3:1=olkeedy f83r.3:2=qotal f83r.3:3=chkeedy f83r.3:4=chey	f83r.3:6=chey	left	False	recorded
F83_P1	B	f83r.4:5	daiin	f83r.3:8	qokaiin	f83r.4:7	shedy	f83r.3:9=qotal f83r.3:10=dar f83r.4:1=qokshedy f83r.4:2=chedy f83r.4:3=qokedy f83r.4:4=chkedy	f83r.4:6=shetar		False	recorded
F83_P3	B	f83r.19:10	shey	f83r.19:9	shedy	f83r.19:11	lchedy				False	recorded
F83_P5	B	f83r.36:4	shey	f83r.34:2	lchedy	f83r.37:3	lchedy	f83r.34:3=dolshed f83r.34:4=qokchy f83r.35:1=saiin f83r.35:2=cheky f83r.35:3=okeeol f83r.35:4=okain f83r.35:5=chdy f83r.36:1=sor f83r.36:2=aiin f83r.36:3=shy	f83r.36:5=lshedy f83r.36:6=qoky f83r.37:1=sol f83r.37:2=lkedy		True	recorded
F83_P5	B	f83r.39:2	shey	f83r.37:5	shedy	f83r.41:2	lchedy	f83r.38:1=or f83r.38:2=chey f83r.38:3=qockhey f83r.38:4=dairydy f83r.39:1=qokain	f83r.39:3=kain f83r.39:4=chckhal f83r.40:1=solchedy f83r.40:2=olchedy f83r.40:3=chedaiin f83r.41:1=solkey		False	recorded
F83_P5	B	f83r.43:1	daiin	f83r.41:2	lchedy	f83r.44:2	shedy	f83r.41:3=qolkain f83r.41:4=dal f83r.42:1=sol f83r.42:2=ol f83r.42:3=chcthdy f83r.42:4=l f83r.42:5=chedy f83r.42:6=lchdy	f83r.43:2=sheol f83r.43:3=chedy f83r.43:4=qotal f83r.43:5=sar f83r.44:1=skar		False	recorded
F83_Q2	B	f83r.54:1	daiin					f83r.52:1=solkeey f83r.52:2=qekey f83r.52:3=raly f83r.52:4=ol f83r.53:1=solchkal f83r.53:2=cheol f83r.53:3=qotar f83r.53:4=ol	f83r.54:2=ol f83r.54:3=dain f83r.54:4=chey f83r.54:5=ldalor f83r.55:1=sol f83r.55:2=rtain f83r.55:3=cthal	left,right	False	recorded
