gdt751_occurrence_id	pair_id	pair_side	surface	paired_surface	page	physical_folio	locus	token_ordinal	line_token_count	normalized_position	line_position	line_first	line_last	paragraph_start_line	paragraph_end_line	paragraph_first_token	paragraph_last_token	section	language	hand	left_surface	right_surface	direct_pair_contact	canonical_axes_inherited	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G751-O0001	G751-Q001	Q_SIDE	qoaiin	oaiin	f5r	f5	f5r.3	1	8	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	otan	0	PART	qoaiin otan chy daiin oteeeb chocthy otchy qotchody	OPEN	0	0
G751-O0002	G751-Q001	Q_SIDE	qoaiin	oaiin	f5r	f5	f5r.5	3	8	0.285714	MIDDLE	0	0	1	0	0	0	H	A	1	shody	cholols	0	PART	tchy shody qoaiin cholols sho qotcheo daiin shodaiin	OPEN	0	0
G751-O0003	G751-Q001	Q_SIDE	qoaiin	oaiin	f9v	f9	f9v.2	2	11	0.100000	MIDDLE	0	0	0	0	0	0	H	A	1	dchor	chkaiin	0	PART	dchor qoaiin chkaiin cthor chol chor cphol dy oty qokaiin dy	OPEN	0	0
G751-O0004	G751-Q001	Q_SIDE	qoaiin	oaiin	f17v	f17	f17v.19	3	5	0.500000	MIDDLE	0	0	0	0	0	0	H	A	1	chey	cthor	0	PART	dain chey qoaiin cthor cholchom	OPEN	0	0
G751-O0005	G751-Q001	Q_SIDE	qoaiin	oaiin	f23r	f23	f23r.8	6	10	0.555556	MIDDLE	0	0	0	0	0	0	H	A	1	olol	ykchy	0	PART	qokshy char daiir qokaiin olol qoaiin ykchy s dal okchy	OPEN	0	0
G751-O0006	G751-Q001	Q_SIDE	qoaiin	oaiin	f31r	f31	f31r.12	1	6	0.000000	FIRST	1	0	0	0	0	0	H	B	2	EDGE	yches	0	PART	qoaiin yches okedy sheey chedaiin dar	OPEN	0	0
G751-O0007	G751-Q001	Q_SIDE	qoaiin	oaiin	f45r	f45	f45r.3	5	9	0.500000	MIDDLE	0	0	0	0	0	0	H	A	1	daiin	cthy	0	PART	qo chcthy kchol daiin qoaiin cthy chaiin ykeey cthom	OPEN	0	0
G751-O0008	G751-Q001	Q_SIDE	qoaiin	oaiin	f55v	f55	f55v.2	4	6	0.600000	MIDDLE	0	0	0	0	0	0	H	B	2	okeedy	okeody	0	PART	oeeed yteey okeedy qoaiin okeody ykeesan	OPEN	0	0
G751-O0009	G751-Q001	Q_SIDE	qoaiin	oaiin	f58v	f58	f58v.18	9	10	0.888889	MIDDLE	0	0	0	0	0	0	S	A	3	qokeey	aral	0	PART	taiin chal sheal qockhy dar aiin ockhey qokeey qoaiin aral	OPEN	0	0
G751-O0010	G751-Q001	Q_SIDE	qoaiin	oaiin	f76r	f76	f76r.8	1	13	0.000000	FIRST	1	0	0	0	0	0	T	B	2	EDGE	ches	0	PART	qoaiin ches okeedal qoked qokeey shedy chey lkeedy okey dar aiin chekain oldy	OPEN	0	0
