page	locus	token_ordinal	surface	occurrence_within_token	canonical_lemma	matched_text	token_char_start	token_char_end	v62_source_matched_text	v62_source_gloss_de	v67_token_gloss_de	action_licensed	provenance_status
f104v	f104v.2	1	ychedaiin	1	abmessen	abmessen	57	65	abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f104v	f104v.2	2	qoteed	1	abkühlen	abkühlen	19	27	abkühlen	Ansatz vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f104v	f104v.2	2	qoteed	2	abziehen	abziehen	32	40	abziehen	Ansatz vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f104v	f104v.2	6	qokamdy	1	nehmen	nehmen	8	14	nehmen	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f104v	f104v.2	6	qokamdy	2	erhitzen	erhitzen	19	27	erhitzen	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105r	f105r.2	6	qodor	1	abmessen	abmessen	26	34	abmessen	eine Portion Ansatz abmessen	eine Portion des Ansatzes abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105r	f105r.2	11	odar	1	abmessen	abmessen	22	30	abmessen	erste Ansatzfraktion abmessen	Anteil I des Ansatzes abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105r	f105r.31	5	aiijy	1	abfüllen	abfüllen	15	23	abfüllen	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105r	f105r.31	5	aiijy	2	abschließen	schließen	28	37	schließen	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105v	f105v.1	4	ykaiin	1	erhitzen	erhitze	0	7	erhitze	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105v	f105v.1	8	ypcheddy	1	trocknen	trocknen	35	43	trocknen	hieraus Pulver bis zur Mittelstufe trocknen	hieraus Pulver bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105v	f105v.14	3	qokaiir	1	nehmen	nimm	0	4	nimm	nimm die dritte erhitzte Drogenfraktion	nimm den heißen Drogenanteil III	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105v	f105v.14	8	odar	1	abmessen	abmessen	22	30	abmessen	erste Ansatzfraktion abmessen	Anteil I des Ansatzes abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105v	f105v.14	10	chtchy	1	trocknen	trocknen	11	19	trocknen	Droge kalt trocknen und leicht nachtrocknen	Droge kalt trocknen und leicht nachtrocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f105v	f105v.14	10	chtchy	2	nachtrocknen	nachtrocknen	31	43	nachtrocknen	Droge kalt trocknen und leicht nachtrocknen	Droge kalt trocknen und leicht nachtrocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f106r	f106r.23	2	qckhedy	1	aufbereiten	aufbereiten	41	52	aufbereiten	das Arzneikompositum bis zur Mittelstufe aufbereiten	das Arzneikompositum bis zur Mittelstufe aufbereiten	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f107r	f107r.2	1	dchey	1	trocknen	trocknen	45	53	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f107r	f107r.2	2	qoteos	1	nehmen	nehmen	47	53	nehmen	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f107r	f107r.2	6	qor	1	nehmen	nimm	0	4	nimm	nimm eine Drogenportion	nimm eine Drogenportion	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f107r	f107r.2	12	qeeey	1	führen	führen	49	55	führen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f107r	f107r.2	12	qeeey	2	abschließen	abschließen	60	71	abschließen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f10r	f10r.2	1	dchey	1	trocknen	trocknen	45	53	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f113v	f113v.17	7	yteeeor	1	abkühlen	abkühlen	43	51	abkühlen	hiervon eine Portion bis zur letzten Stufe abkühlen	hiervon eine Portion bis zur letzten Stufe abkühlen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f114r	f114r.26	1	ycheeodaiin	1	abmessen	abmessen	47	55	abmessen	hiervon drei Dosen des zweiten Trockenansatzes abmessen	hiervon drei Dosen des zweiten Trockenansatzes abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f114v	f114v.36	6	qopchol	1	nehmen	nimm	0	4	nimm	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f114v	f114v.36	7	qopaiin	1	nehmen	nehmen	29	35	nehmen	drei Teile Pulveransatz nehmen	drei Teile Pulverzubereitung nehmen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f115r	f115r.1	1	fdar	1	abmessen	abmessen	15	23	abmessen	erste Blütenfraktion abmessen	Blütenanteil I abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f115r	f115r.1	2	qopchol	1	nehmen	nimm	0	4	nimm	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f115r	f115r.1	3	qochedain	1	abmessen	abmessen	48	56	abmessen	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f115r	f115r.23	1	dchey	1	trocknen	trocknen	45	53	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f115r	f115r.23	3	qokeod	1	bereiten	bereiten	14	22	bereiten	heißen Auszug bereiten und abschließen	heißen Auszug bereiten und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
