left_card_id	right_card_id	count	left_value_de	right_value_de	type_signature	statement_ids	composition_reading_de
MC123	MC039	4	dies	Sollmaß	ITEM_ANAPHOR>QUANTITY	H2-S001|H3-S003|B3-S003|B3-S021	dies → Sollmaß
MC153	MC128	4	weiter	kurz absetzen; Schluss	CONTINUATION_LINK>TERMINAL_ACTION	B1-S004|B1-S008|B1-S016|B4-S003	weiter → kurz absetzen; Schluss
MC039	MC123	3	Sollmaß	dies	QUANTITY>ITEM_ANAPHOR	H2-S001|B2-S012|B3-S003	Sollmaß → dies
MC080	MC123	3	Ansatz	dies	OBJECT>ITEM_ANAPHOR	H2-S003|H4-S004|B4-S014	Ansatz → dies
MC002	MC026	2	lange einwirken	einsetzen	DURATIVE_ACTION>ACTION	B2-S010|B4-S003	lange einwirken → einsetzen
MC002	MC083	2	lange einwirken	kurz einwirken; Schluss	DURATIVE_ACTION>TERMINAL_ACTION	B3-S028|B4-S002	lange einwirken → kurz einwirken; Schluss
MC026	MC039	2	einsetzen	Sollmaß	ACTION>QUANTITY	H1-S001|B3-S030	einsetzen → Sollmaß
MC039	MC153	2	Sollmaß	weiter	QUANTITY>CONTINUATION_LINK	B5-S003|B6-S001	Sollmaß → weiter
MC074	MC082	2	überführen	lange einwirken; Schluss	ACTION>TERMINAL_ACTION	B3-S007|B4-S005	überführen → lange einwirken; Schluss
MC074	MC153	2	überführen	weiter	ACTION>CONTINUATION_LINK	B1-S004|B4-S011	überführen → weiter
MC097	MC154	2	weiter · Anteil	dorthin	LEARNED_QUANTITY_OR_STAGE>TARGET_ANAPHOR	B1-S002|B4-S016	weiter · Anteil → dorthin
MC153	MC039	2	weiter	Sollmaß	CONTINUATION_LINK>QUANTITY	H2-S002|B6-S001	weiter → Sollmaß
MC154	MC153	2	dorthin	weiter	TARGET_ANAPHOR>CONTINUATION_LINK	B1-S002|B5-S003	dorthin → weiter
MC157	MC153	2	damit weiter	weiter	CARRIED_PREPARATION>CONTINUATION_LINK	H2-S002|B1-S002	damit weiter → weiter
