rule_id	short_name	apprentice_rule_de
R01	BILD_ZUERST	Bestimme zuerst, welches Bild, Gefäß, Becken oder Rad den Eintrag besitzt.
R02	KANAL	Laufender Text spricht Werkstattprosa; eine Karte unmittelbar an Figur oder Ring spricht Adresse.
R03	REZEPT	Zerlege die Karte in ihre gelernte Komponentenfolge; ändere die Reihenfolge nicht.
R04	REFERENT	Y hält den aktuellen Arbeitsgegenstand oder Bildplatz aktiv.
R05	ABSCHLUSS	Eine lizenzierte DY-Karte schließt Arbeitsschritt oder Bildeintrag.
R06	GRAD	E, EE und EEE geben ersten, zweiten und vollen Grad.
R07	LAUF	O ruft einen Lauf auf: Arbeitsgang in Prosa, Bildreihe im Diagramm.
R08	AKTIVIEREN	OK aktiviert: Arbeitsgang ansetzen oder Bildplatz öffnen.
R09	AUSWAHL	CH wählt den relevanten Teil; in Prosa wird er entnommen, im Bild als Klasse gekennzeichnet.
R10	ZUORDNUNG	K ordnet zu: Stoff zugeben oder Bildwert eintragen.
R11	RICHTUNG	AR ist Quelle, AL Ziel, L Verbindung und AIR der jeweilige Laufweg.
R12	MENGE	AIN ist Einheit, AIIN Sollwert und IIN Stufe.
R13	REIHENFOLGE	OL setzt dieselbe Reihe fort; OT wechselt zum nächsten Posten.
R14	EINTRITTSFORM	q ist eine Eintrittsform am Karten- oder Feldanfang, kein zusätzliches Sachwort.
R15	ALLOGRAPH	Wähle die gelernte Oberflächenform nach Stelle und Hand, behalte aber dasselbe Komponentenrezept.
R16	RUECKLESEN	Lies zuerst den abstrakten Kern, dann ergänze die Sachwörter aus Register und Bildbesitzer.
