hazard_ordinal	anchor_event_id	statement_id	physical_page	completed_action_count	join_hazard_class	completion_layer_profile	primary_governor_keys	action_slot_ids	action_roots	object_lemmas_de	integrated_clauses_de	required_join_key
1	G407-E1523	G407-S101	f75r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E1523@1:S|ACTION:G407-E1523@2:SH	RUNNING:G407-E1523@1|RUNNING:G407-E1523@2	S+SH	Becken- oder Körpereinheit|Becken- oder Körpereinheit	Wähle dieselbe Becken- oder Körpereinheit aus || Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
2	G407-E1628	G407-S119	f75r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E1628@1:S|ACTION:G407-E1628@2:SH	RUNNING:G407-E1628@1|RUNNING:G407-E1628@2	S+SH	Körper|Körper	Wähle den Körper aus || Halte den Körper im Bad auf Grad I	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
3	G407-E1665	G407-S125	f75r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E1665@1:T|ACTION:G407-E1665@2:CHD	RUNNING:G407-E1665@1|RUNNING:G407-E1665@2	T+CHD	Stationsbedingung|Stationsansatz	Reguliere die Stationsbedingung || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
4	G407-E1670	G407-S126	f75r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E1670@1:SH|ACTION:G407-E1670@4:T	RUNNING:G407-E1670@1|RUNNING:G407-E1670@4	SH+T	Stationsansatz|Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I || Reguliere den Stationsansatz über den Stationskontakt oder die Leitung	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
5	G407-E1742	G407-S145	f75r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E1742@1:SH|ACTION:G407-E1742@3:T	RUNNING:G407-E1742@1|RUNNING:G407-E1742@3	SH+T	Körper|Körper	Halte den Körper im Bad auf Grad II || Lass den Körper anschließend abkühlen	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
6	G407-E1758	G407-S151	f75r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E1758@1:SH|ACTION:G407-E1758@3:T	RUNNING:G407-E1758@1|RUNNING:G407-E1758@3	SH+T	Körper|Körper	Halte den Körper im Bad auf Grad II || Lass den Körper anschließend abkühlen	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
7	G407-E1814	G407-S184	f75r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E1814@1:S|ACTION:G407-E1814@2:SH	RUNNING:G407-E1814@1|RUNNING:G407-E1814@2	S+SH	Stationsansatz|Stationsansatz	Wähle denselben Stationsansatz aus || Halte denselben Stationsansatz im Bad auf Grad I	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
8	G407-E2402	G407-S312	f77r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E2402@1:T|ACTION:G407-E2402@3:CHD	RUNNING:G407-E2402@1|RUNNING:G407-E2402@3	T+CHD	Stationsansatz|Stationsansatz	Reguliere den Stationsansatz über den Stationskontakt oder die Leitung || Behandle denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
9	G407-E2452	G407-S332	f77r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E2452@1:SH|ACTION:G407-E2452@3:T	RUNNING:G407-E2452@1|RUNNING:G407-E2452@3	SH+T	Körper|Körper	Halte den Körper im Bad auf Grad II || Lass den Körper anschließend abkühlen	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
10	G407-E2457	G407-S333	f77r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E2457@1:S|ACTION:G407-E2457@2:SH	RUNNING:G407-E2457@1|RUNNING:G407-E2457@2	S+SH	Strom|Körper	Leite den Strom über den Stationskontakt oder die Leitung um || Halte den Körper im Bad auf Grad I	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
