surface	reader_exact_occurrences	reader_exact_pages	reader_exact_loci	line_first_occurrences	line_middle_occurrences	line_last_occurrences	paragraph_first_occurrences	paragraph_last_occurrences	section_counts	herbal_occurrences	herbal_share	direct_ychor_predecessor_occurrences	all_formula_predecessor_counts	complete_independent_fields	anchored_complete_fields	complete_field_channel_counts	complete_independent_axis_counts	top_exact_left_neighbors	top_exact_right_neighbors	ordered_value_follower_hits	ordered_value_exact_right_contexts	ordered_value_descriptive_lift	aiin_follower_hits	aiin_descriptive_lift	analogy_min_edit_distance	analogy_neighbor_wholes	analogy_consensus_axes	analogy_rival_axes	analogy_axis_support	analogy_confidence_level	gdt756_candidate_de	gdt758_primary_candidate_de	gdt758_renderer_value_de	semantic_role	working_confidence	alternate_1_de	alternate_2_de	historical_expression_ids	revision_reason	positive_evidence	counterevidence	claim_scope	eva_spelling_used	confirmed_lexeme	component_export_credit
chor	176	94	168	10	161	5	0	3	H:141|P:12|S:18|T:5	141	0.801136	2	qokchor:2|ycheor:2|ychor:2	88	55	DESCRIPTIVE_MATERIA:24|DESCRIPTIVE_QUALITY:8|MATERIA_OR_INGREDIENT:8|OPEN:33|PRESCRIPTIVE_PROCESS:2|PRESCRIPTIVE_RECIPE:5|QUANTITY_OR_PART:8	HOT:15|COLD:14|DRY:27|MOIST:7|AMOUNT:22|PART:7|MATERIAL:22|PREPARATION:29|PROCESS:7|CLOSE:5|BEGIN_STAGE:8|MIDDLE_STAGE:7|END_STAGE:11|LEVEL_II:1|LEVEL_III:3	chol:7|daiin:5|chor:4|or:4|dal:3|dar:3|aiin:2|ar:2	chol:8|daiin:8|chor:4|chy:4|aiin:3|ar:3|cthol:3|cthor:3	3	141	0.984456	3	1.327357	1	18	DRY	HOT|COLD|AMOUNT|PART|MATERIAL|PREPARATION|BEGIN_STAGE	HOT:2|COLD:2|DRY:12|AMOUNT:6|PART:6|MATERIAL:6|PREPARATION:8|BEGIN_STAGE:1	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	Blätter	Pflanzenteil, wahrscheinlich Blüten-/Samenstand	Blüten-/Samenstand	PLANT_PART_HEAD	C1_CONVERGENT_EXPLORATORY	Pflanzenteil ohne nähere Bestimmung	Trockenheits-/Zustandsmarker	E033|E032|E034	Die Blattidentität war unbegründet; der replizierte chor chol daiin-Rahmen trägt nur Pflanzenteil plus einen schwachen Reproduktionsteil-Favoriten.	176 reader-exakte Vorkommen auf 94 Seiten; Sektionen H:141|P:12|S:18|T:5; direkt nach ychor 2; Ganzwortanalogie DRY (A3_DISTANCE1_MULTIWHOLE_CONSENSUS); geordnete Wertfolger 3/141 Lift 0.984456; GDT629 dreifach exakte Part-Trocken-Klauseln 2; GDT629 besitzt zwei dreifach exakt gelesene chor chol daiin-Klauseln als Pflanzenteil trocken Grad III; GDT625 fand wiederholte Kontakte zu getrennten Partkandidaten.	Keine Bildstelle bindet chor eindeutig an Blüte oder Samen; die saubere Ganzwortanalogie hat zugleich einen Trockenheitsrivalen.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
chshoty	1	1	1	0	1	0	0	0	H:1	1	1.000000	1	ychor:1	1	0	OPEN:1	NONE	ychor:1	NONE	0	0	0.000000	0	0.000000	2	2	COLD|DRY|PREPARATION	BEGIN_STAGE	COLD:2|DRY:2|PREPARATION:2|BEGIN_STAGE:1	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	weiche ein	kalte Trockenzubereitung	kalte Trockenzubereitung	QUALIFIED_PREPARATION	C0_SINGLETON_EXPLORATORY	kühle und trockne	eingeweichte Zubereitung	E011|E015|E020	Der alte Einweich-Default hatte keinen lokalen Träger; zwei saubere Ganzwortnachbarn teilen dagegen kalt trocken Zubereitung.	1 reader-exakte Vorkommen auf 1 Seiten; Sektionen H:1; direkt nach ychor 1; Ganzwortanalogie COLD|DRY|PREPARATION (A2_DISTANCE2_MULTIWHOLE_CONSENSUS); Zwei Editdistanz-2-Ganzwörter tragen gemeinsam COLD DRY PREPARATION.	Nur ein reader-exaktes Vorkommen; die Analogie kann Zustand und Vorgang nicht trennen.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
cthy	85	48	81	0	59	26	0	3	H:83|S:1|T:1	83	0.976471	2	ycheor:1|ychor:2	46	35	DESCRIPTIVE_MATERIA:18|DESCRIPTIVE_QUALITY:3|MATERIA_OR_INGREDIENT:5|OPEN:11|PRESCRIPTIVE_PROCESS:2|PRESCRIPTIVE_RECIPE:4|QUANTITY_OR_PART:3	HOT:14|COLD:10|DRY:17|MOIST:3|AMOUNT:14|PART:4|MATERIAL:16|PREPARATION:18|PROCESS:6|CLOSE:2|BEGIN_STAGE:9|MIDDLE_STAGE:5|END_STAGE:6|LEVEL_III:2	daiin:10|chol:4|chor:3|okaiin:3|shol:3|shor:3|chy:2|dchy:2	daiin:5|s:3|chol:2|chor:2|dy:2|chaiin:1|chckhey:1|cheeky:1	0	0	0.000000	0	0.000000	1	7	NONE	DRY|MATERIAL|PREPARATION|CLOSE|BEGIN_STAGE|END_STAGE	DRY:1|MATERIAL:4|PREPARATION:3|CLOSE:1|BEGIN_STAGE:3|END_STAGE:1	A1_MIXED_NEIGHBORHOOD	Wurzel	Blattgut / Blattdroge	Blattgut	LEAF_DRUG_HEAD	C2_CROSS_PASS_EXPLORATORY	oberirdisches Kraut	Pflanzenteil ohne nähere Bestimmung	E032|E033|E034	Der Wurzel-Default widersprach dem bereits publizierten GDT625-Befund; Blattgut ist der engere wiederholt bild- und kontextgestützte Favorit.	85 reader-exakte Vorkommen auf 48 Seiten; Sektionen H:83|S:1|T:1; direkt nach ychor 2; Ganzwortanalogie NONE (A1_MIXED_NEIGHBORHOOD); GDT625 Altpanel 90/92 Herbal; GDT625 fand 90/92 Herbal-Vorkommen, direkte Partkontakte und fünfzehn Vorkommen auf sechs bereits geöffneten Bildfolios; der aktuelle sichere Cache hat dieselbe starke Herbal-Konzentration.	Die Bildzuordnung ist regional, nicht wortgenau; herba und ein generisches Pflanzenteil bleiben möglich.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
oky	80	62	78	4	56	22	0	0	B:10|H:48|P:4|S:10|T:8	48	0.600000	1	ychor:1	34	19	DESCRIPTIVE_MATERIA:10|DESCRIPTIVE_QUALITY:3|MATERIA_OR_INGREDIENT:1|OPEN:15|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:2|QUANTITY_OR_PART:2	HOT:7|COLD:5|DRY:8|MOIST:4|AMOUNT:4|PART:2|MATERIAL:5|PREPARATION:9|PROCESS:3|CLOSE:5|BEGIN_STAGE:6|MIDDLE_STAGE:2|END_STAGE:9|LEVEL_II:1|LEVEL_III:1	ar:3|aiiin:1|al:1|char:1|chcphy:1|chedy:1|chekaiin:1|chky:1	chor:2|ytaiin:2|aiiin:1|cham:1|char:1|chdy:1|cheeor:1|cheo:1	1	44	1.051578	0	0.000000	1	7	NONE	HOT|PREPARATION|PROCESS|CLOSE|BEGIN_STAGE|MIDDLE_STAGE|END_STAGE	HOT:4|PREPARATION:4|PROCESS:1|CLOSE:2|BEGIN_STAGE:4|MIDDLE_STAGE:1|END_STAGE:2	A1_MIXED_NEIGHBORHOOD	heiß am Anfang	erste Wärmestufe / heiß zu Beginn	erste Wärmestufe	HOT_BEGIN_STATE	C1_RECURRENT_EXPLORATORY	erhitze zuerst	heiße Zubereitung	E008|E050	Die neue Formulierung macht die Zustandslesung zum Default und hält den Imperativ als Rivalen.	80 reader-exakte Vorkommen auf 62 Seiten; Sektionen B:10|H:48|P:4|S:10|T:8; direkt nach ychor 1; Ganzwortanalogie NONE (A1_MIXED_NEIGHBORHOOD); geordnete Wertfolger 1/44 Lift 1.051578; Vier von sieben sauberen Edit-1-Nachbarn tragen HOT und BEGIN_STAGE; oky ist auf vielen Seiten wiederholt.	Die Nachbarschaft verfehlt knapp einen Achsenkonsens und oky steht auch oft am Zeilenende.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
qokchol	15	11	14	2	13	0	0	0	H:13|P:1|S:1	13	0.866667	1	ychor:1	5	3	DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1|OPEN:2|QUANTITY_OR_PART:1	HOT:1|COLD:2|DRY:2|PART:1|MATERIAL:1|PREPARATION:1|CLOSE:2|BEGIN_STAGE:2|END_STAGE:2	chor:1|choty:1|dar:1|dchy:1|kor:1|otshol:1|shaiin:1|shor:1	dar:2|chor:1|chory:1|chykchy:1|daiin:1|dairo:1|dy:1|kcheody:1	0	0	0.000000	0	0.000000	1	3	HOT|DRY	COLD|MATERIAL|PREPARATION|PROCESS	HOT:2|COLD:1|DRY:3|MATERIAL:1|PREPARATION:1|PROCESS:1	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	heiß getrocknetes Kraut	erhitzt und getrocknet	erhitzt und getrocknet	HOT_DRY_STATE_OR_PROCESS	C2_MULTIWHOLE_EXPLORATORY	heiß-trockener Zustand	erhitzte Trockenzubereitung	E012|E014|E043	Der unbelegte Träger Kraut wird entfernt; nur der gemeinsam gestützte Heiß-Trocken-Kern bleibt gesprochen.	15 reader-exakte Vorkommen auf 11 Seiten; Sektionen H:13|P:1|S:1; direkt nach ychor 1; Ganzwortanalogie HOT|DRY (A3_DISTANCE1_MULTIWHOLE_CONSENSUS); Drei saubere Edit-1-Ganzwörter teilen DRY und zwei davon HOT; dreizehn der fünfzehn sicheren Vorkommen liegen im Herbal-Register.	Zustand, Vorgang und Zubereitungsträger sind noch nicht getrennt.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
s	154	88	149	10	117	34	0	1	B:8|H:113|P:11|S:16|T:6	113	0.733766	1	ychor:1	77	47	DESCRIPTIVE_MATERIA:25|DESCRIPTIVE_QUALITY:2|MATERIA_OR_INGREDIENT:6|OPEN:30|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:7|QUANTITY_OR_PART:6	HOT:12|COLD:10|DRY:23|MOIST:6|AMOUNT:17|PART:11|MATERIAL:27|PREPARATION:27|PROCESS:8|CLOSE:7|BEGIN_STAGE:6|MIDDLE_STAGE:7|END_STAGE:14|LEVEL_III:3	ol:6|daiin:5|al:3|chol:3|chy:3|cthy:3|aiin:2|cho:2	aiin:23|ar:6|or:5|chol:4|air:3|cheor:3|am:2|chor:2	25	99	11.684203	23	14.493663	1	2	PART	NONE	PART:2	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	Samen	je / zu gleichen Teilen	je	EQUAL_AMOUNT_OR_MEASURE_FORMULA	C2_ORDERED_VALUE_EXPLORATORY	Drachmenzeichen	Unzenzeichen	E006|E004|E005	Der Samen-Default stammte nur aus einem erzwungenen Inhaltsslot; die globale unmittelbare Folge vor der geordneten Wertfamilie ist wesentlich informativer und passt zu ana.	154 reader-exakte Vorkommen auf 88 Seiten; Sektionen B:8|H:113|P:11|S:16|T:6; direkt nach ychor 1; Ganzwortanalogie PART (A3_DISTANCE1_MULTIWHOLE_CONSENSUS); geordnete Wertfolger 25/99 Lift 11.684203; Reader-exakte rechte Kontexte zeigen s besonders oft unmittelbar vor ain aiin oder aiiin; s aiin ist die dominante Einzelverbindung. Historisch ist ana plus Mengenangabe eine kompakte Rezeptformel.	s ist nicht der einzige Wert-Einleiter, steht auch zeilenfinal und besitzt keinen grafischen Bezug zu ana; eine konkrete Einheit bleibt ein echter Rivale.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
ar	242	78	223	1	223	18	0	0	B:12|C:7|H:58|P:3|S:136|T:26	58	0.239669	1	paiin:1|ychor:1	89	36	DESCRIPTIVE_MATERIA:19|DESCRIPTIVE_QUALITY:4|MATERIA_OR_INGREDIENT:5|OPEN:53|PRESCRIPTIVE_RECIPE:4|QUANTITY_OR_PART:4	HOT:10|COLD:12|DRY:9|MOIST:5|AMOUNT:8|PART:5|MATERIAL:21|PREPARATION:17|PROCESS:4|CLOSE:6|BEGIN_STAGE:3|MIDDLE_STAGE:13|END_STAGE:11|LEVEL_II:1|LEVEL_III:1	otar:8|al:6|ar:6|okar:6|s:6|dar:5|or:5|otain:5	aiin:16|al:10|or:8|aiiin:6|ar:6|ain:5|air:3|am:3	27	176	7.098153	16	5.671433	1	10	PART|MATERIAL	HOT|COLD|AMOUNT|CLOSE|END_STAGE	HOT:1|COLD:1|AMOUNT:1|PART:7|MATERIAL:6|CLOSE:1|END_STAGE:1	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	erster Teil	Teil / Anteil	Anteil	PART_OR_PORTION	C2_MULTIWHOLE_EXPLORATORY	Portion	Mengen-/Verhältniswort	E002|E001|E051	Die unbelegte Ordnungszahl erster wird gestrichen; die wiederkehrende Teil-/Anteilsrolle bleibt.	242 reader-exakte Vorkommen auf 78 Seiten; Sektionen B:12|C:7|H:58|P:3|S:136|T:26; direkt nach ychor 1; Ganzwortanalogie PART|MATERIAL (A3_DISTANCE1_MULTIWHOLE_CONSENSUS); geordnete Wertfolger 27/176 Lift 7.098153; Zehn saubere Edit-1-Ganzwörter ergeben PART MATERIAL als Mehrheitskonsens; ar folgt oft ein geordneter Wert.	Teil, Portion und Materialklasse sind noch nicht sauber getrennt.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
odol	2	2	2	1	1	0	0	0	H:2	2	1.000000	1	ychor:1	2	1	OPEN:1|PRESCRIPTIVE_RECIPE:1	HOT:1|DRY:1|MOIST:1|PREPARATION:1|PROCESS:1|CLOSE:1|MIDDLE_STAGE:1|END_STAGE:1	ychor:1	choy:1	0	0	0.000000	0	0.000000	1	4	AMOUNT|PREPARATION	COLD|MATERIAL|PROCESS	COLD:1|AMOUNT:3|MATERIAL:2|PREPARATION:3|PROCESS:1	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	miss den Arzneistoff ab	abgemessene Zubereitung	abgemessene Zubereitung	MEASURED_PREPARATION	C1_SPARSE_MULTIWHOLE_EXPLORATORY	eine Dosis Zubereitung	miss die Zubereitung ab	E004|E005|E025	Die alte Formulierung legte ohne Syntaxbeleg Verb und Arzneistoff fest; die Ganzwortnachbarschaft stützt nur Menge plus Zubereitung.	2 reader-exakte Vorkommen auf 2 Seiten; Sektionen H:2; direkt nach ychor 1; Ganzwortanalogie AMOUNT|PREPARATION (A3_DISTANCE1_MULTIWHOLE_CONSENSUS); Vier saubere Edit-1-Nachbarn ergeben AMOUNT PREPARATION als Konsens; das ychor-Vorkommen liegt in einem unabhängigen Mengen-/Zubereitungsfeld.	Nur zwei globale Vorkommen; Nominalphrase und Imperativ sind unentschieden.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
ols	12	12	12	0	7	5	0	0	B:3|H:3|P:2|S:3|T:1	3	0.250000	1	ychor:1	2	0	OPEN:2	NONE	am:1|cheor:1|dar:1|fchor:1|ol:1|shey:1|tor:1|ychor:1	aiin:2|aiiin:1|lain:1|ol:1	3	5	27.761667	2	24.954307	1	2	NONE	PROCESS|CLOSE|END_STAGE	PROCESS:1|CLOSE:1|END_STAGE:1	A1_MIXED_NEIGHBORHOOD	Heilmittel	abgeseihtes Endprodukt	abgeseihtes Endprodukt	STRAINED_RESULT	C0_SPARSE_EXPLORATORY	seihe ab	Öl / ölige Zubereitung	E022|E047|E028	Der generische Heilmittel-Default wird durch eine konkrete Prozess-/Resultathypothese ersetzt, welche beide sauberen Edit-1-Richtungen verbindet.	12 reader-exakte Vorkommen auf 12 Seiten; Sektionen B:3|H:3|P:2|S:3|T:1; direkt nach ychor 1; Ganzwortanalogie NONE (A1_MIXED_NEIGHBORHOOD); geordnete Wertfolger 3/5 Lift 27.761667; Fünf von zwölf sicheren Vorkommen sind zeilenfinal; die zwei nächsten sauberen Ganzwörter liefern Abseihen beziehungsweise Abschluss/Endstufe.	Nur zwölf Vorkommen und kein Analogie-Konsens; das direkte ychor-Feld enthält lediglich MATERIAL und keine unabhängige Flüssigkeitsachse.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
sheol	71	43	68	3	64	4	0	1	B:21|H:12|P:10|S:21|T:7	12	0.169014	1	ychor:1	31	19	DESCRIPTIVE_MATERIA:13|DESCRIPTIVE_QUALITY:3|OPEN:12|PRESCRIPTIVE_RECIPE:3	HOT:8|COLD:10|DRY:7|MOIST:2|AMOUNT:3|PART:3|MATERIAL:12|PREPARATION:9|PROCESS:3|CLOSE:3|BEGIN_STAGE:2|MIDDLE_STAGE:4|END_STAGE:9|LEVEL_II:1	daiin:4|qokain:4|ol:2|qokaiin:2|qotol:2|sheol:2|ytol:2|chckhedy:1	oteey:2|qokaiin:2|qokain:2|qokedy:2|sheol:2|chedy:1|cheeoldair:1|chol:1	0	0	0.000000	0	0.000000	1	6	MOIST	AMOUNT|PART|MATERIAL|PREPARATION|BEGIN_STAGE|MIDDLE_STAGE	MOIST:5|AMOUNT:1|PART:1|MATERIAL:3|PREPARATION:2|BEGIN_STAGE:1|MIDDLE_STAGE:1	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	eingeweichtes Kraut	feucht / eingeweicht	eingeweicht/feucht	MOIST_STATE_OR_PREPARATION	C2_MULTIWHOLE_EXPLORATORY	Feuchtzubereitung	Wasser- oder Weinansatz	E023|E029|E030	Der unbelegte Träger Kraut wird entfernt; die Feuchte-/Einweichachse ist das stabile gemeinsame Signal.	71 reader-exakte Vorkommen auf 43 Seiten; Sektionen B:21|H:12|P:10|S:21|T:7; direkt nach ychor 1; Ganzwortanalogie MOIST (A3_DISTANCE1_MULTIWHOLE_CONSENSUS); Fünf von sechs sauberen Edit-1-Ganzwörtern tragen MOIST; das direkte ychor-Feld trägt unabhängig MOIST MATERIAL.	Kein unabhängiger Wasser-, Wein- oder Pflanzenidentitätsbeleg; Zustand und Einweichvorgang bleiben offen.	EXACT_WHOLE_REPLACEABLE_DEFAULT	0	0	0
