page	panel_id	record_id	locus	position	word	model	reading	candidate_ids	status
f77r	F77_TOP_ARCH	F77_P1	f77r.9	1	poldarais	N2	⟦poldarais⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	2	ol	N2	⟦ol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	3	qokol	N2	⟦qokol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	4	chey	N2	⟦chey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	5	qopchedy	N2	⟦qopchedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	6	qopchedy	N2	⟦qopchedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	7	dylches	N2	⟦dylches⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	8	olkedy	N2	⟦olkedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	9	loly	N2	⟦loly⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	1	tolchd	N2	⟦tolchd⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	2	ar	N2	⟦ar⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	3	shey	N2	⟦shey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	4	qotaiin	N2	⟦qotaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	5	qotedy	N2	⟦qotedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	6	qokol	N2	⟦qokol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	7	chdy	N2	⟦chdy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	8	qokain	N2	⟦qokain⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	9	chetey	N2	⟦chetey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	10	sal	N2	⟦sal⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	1	qoteedy	N2	⟦qoteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	2	qokaiin	N2	⟦qokaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	3	shedy	N2	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	4	chol	N2	⟦chol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	5	shedy	N2	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	6	shcthey	N2	⟦shcthey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	7	qokeedy	N2	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	8	oteedy	N2	⟦oteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	9	cham	N2	⟦cham⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	1	solteedy	N2	⟦solteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	2	qoteedy	N2	⟦qoteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	3	qodeedy	N2	⟦qodeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	4	chedaiin	N2	⟦chedaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	5	chedy	N2	⟦chedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	6	shedaiin	N2	⟦shedaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	7	shealol	N2	⟦shealol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	8	ched	N2	⟦ched⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	1	qokeedy	N2	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	2	qol	N2	⟦qol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	3	sheedy	N2	⟦sheedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	4	shol	N2	⟦shol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	5	tedy	N2	⟦tedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	6	chedy	N2	⟦chedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	7	lsheedy	N2	⟦lsheedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	8	qokedy	N2	⟦qokedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	9	qolal	N2	⟦qolal⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	10	chedy	N2	⟦chedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	1	sokcheey	N2	⟦sokcheey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	2	sain	N2	⟦sain⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	3	sheeol	N2	⟦sheeol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	4	qoteedy	N2	⟦qoteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	5	qokaiin	N2	⟦qokaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	6	shedy	N2	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	7	qokeedy	N2	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	8	qotedy	N2	⟦qotedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	1	qokeedy	N2	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	2	shedy	N2	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	3	qotol	N2	⟦qotol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	4	shedy	N2	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	5	qokaiin	N2	⟦qokaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	6	sheety	N2	⟦sheety⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	7	qokeed	N2	⟦qokeed⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	8	y	N2	⟦y⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	9	lchedy	N2	⟦lchedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	10	lol	N2	⟦lol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	1	sshedy	N2	⟦sshedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	2	qotaiin	N2	⟦qotaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	3	chedy	N2	⟦chedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	4	qokaiin	N2	⟦qokaiin⟧	NA	OPEN
