component_recipe	surface	renderer_microfunction	intended_trigger_de	occurrence_marks	identities	pages	sections	entry_class	forward_rule
AL	dal	DEFAULT_TARGET	die gewöhnliche Zielstelle	13	A3:G044 | A3:G073 | A3:G105 | PROC055	f56r | f69v | f81v | f82r | f83r	HOW | WHAT | WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht DEFAULT_TARGET ist, schreibe dal für AL.
AL	cheal	EMBEDDED_TARGET	eine im laufenden Block eingebettete Zielstelle	1	A3:G058	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht EMBEDDED_TARGET ist, schreibe cheal für AL.
OL	ol	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	19	A3:G069 | PROC013	f10r | f69v | f81v | f83r	HOW | WHAT | WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht GENERAL_CONTINUATION ist, schreibe ol für OL.
OL	chol	ATTACHED_OR_RING_CONTINUATION	eine angehängte oder ringlokale Folge fortsetzen	2	A3:G042 | A3:G067	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht ATTACHED_OR_RING_CONTINUATION ist, schreibe chol für OL.
OL	ls	TRANSFER_CONTINUATION	einen Transferweg fortsetzen	1	PROC115	f82r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht TRANSFER_CONTINUATION ist, schreibe ls für OL.
Y	y	BARE_CURRENT_REFERENT	den bloßen aktuellen Posten aufnehmen	4	A3:G055 | A3:G061 | A3:G065 | A3:G070	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht BARE_CURRENT_REFERENT ist, schreibe y für Y.
Y	dy	ECHOED_CURRENT_REFERENT	den unmittelbar wiederaufgenommenen Posten tragen; kein Schluss	2	A3:G062 | A3:G066	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht ECHOED_CURRENT_REFERENT ist, schreibe dy für Y.
Y	chey	MATERIAL_OR_QUALITY_REFERENT	den aktuellen Stoff- oder Qualitätsposten tragen	16	A3:G072 | A3:G078 | A3:G103 | PROC019	f11r | f55v | f69v | f81v | f82r | f83r	HOW | WHAT | WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht MATERIAL_OR_QUALITY_REFERENT ist, schreibe chey für Y.
Y	chy	STATE_OR_BODY_REFERENT	den aktuellen Zustands- oder Körperposten tragen	1	A3:G085	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht STATE_OR_BODY_REFERENT ist, schreibe chy für Y.
NONE	iokeeor	WEATHER_CLASS_WHOLE_WORD	die lokale Wetterklasse als Ganzwort	1	A3:G046	f69v	WHEN	LOCAL_WHOLE_WORD	Wenn die Absicht WEATHER_CLASS_WHOLE_WORD ist, schreibe iokeeor für NONE.
NONE	daiial	MOISTURE_STAGE_WHOLE_WORD	die lokale Feuchtestufe als Ganzwort	1	A3:G056	f69v	WHEN	LOCAL_WHOLE_WORD	Wenn die Absicht MOISTURE_STAGE_WHOLE_WORD ist, schreibe daiial für NONE.
CHD+DY	schedy	DEFAULT_TRANSFER_CLOSE	den gewöhnlichen Umsetzschritt schließen	4	PROC076	f81v | f82r | f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht DEFAULT_TRANSFER_CLOSE ist, schreibe schedy für CHD+DY.
CHD+DY	dchdy	DIRECT_TARGET_CLOSE	eine direkte Zielumsetzung schließen	1	PROC094	f81v	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht DIRECT_TARGET_CLOSE ist, schreibe dchdy für CHD+DY.
SH+EE+Y	cheey	GENERAL_LONG_HOLD	den Posten gewöhnlich lang halten	5	PROC031	f11r | f82r | f83r	HOW | WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht GENERAL_LONG_HOLD ist, schreibe cheey für SH+EE+Y.
SH+EE+Y	sheey	MARKED_LONG_HOLD	einen lokal markierten langen Halt ausführen	2	A3:G053 | PROC157	f69v | f83r	HOW | WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht MARKED_LONG_HOLD ist, schreibe sheey für SH+EE+Y.
