component_recipe	register	event_count	owner_count	context_state_key_count	distinct_clause_count	context_required	naive_first_event_id	naive_first_clause_mismatch_count	safe_context_free_reading_de
AIIN	BIOLOGICAL	41	11	7	7	YES	G407-E1906	32	Wert.
AIIN	CELESTIAL	25	9	9	9	YES	G407-E0917	24	Wert.
AIIN	HERBAL	38	7	7	7	YES	G407-E0231	33	Wert.
AIIN	PHARMA	44	9	9	9	YES	G407-E3810	32	Wert.
AIIN	SOURCE_SECTION_T	7	4	4	4	YES	G407-E0036	5	Wert.
AIIN+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1869	0	Wert des Postens.
AIN	BIOLOGICAL	38	13	8	8	YES	G407-E1432	34	Anteil.
AIN	CELESTIAL	3	1	2	2	YES	G407-E0904	1	Anteil.
AIN	HERBAL	8	5	4	4	YES	G407-E0274	6	Anteil.
AIN	PHARMA	6	3	3	3	YES	G407-E4025	4	Anteil.
AIN	SOURCE_SECTION_T	8	4	5	5	YES	G407-E0021	6	Anteil.
AIN+D_ADDR	HERBAL	1	1	1	1	NO	G407-E0646	0	Anteil hier.
AIR	CELESTIAL	4	3	4	4	YES	G407-E0947	3	Entlang der Bahn.
AIR	PHARMA	1	1	1	1	NO	G407-E4155	0	Entlang der Bahn.
AIR+Y+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3744	0	Entlang der Bahn: Posten; schließe den Schritt.
AL	BIOLOGICAL	33	13	15	15	YES	G407-E1543	32	Am Zielort.
AL	CELESTIAL	14	8	9	9	YES	G407-E0918	13	Am Zielort.
AL	HERBAL	7	4	7	7	YES	G407-E0529	6	Am Zielort.
AL	PHARMA	19	8	12	12	YES	G407-E3802	17	Am Zielort.
AL	SOURCE_SECTION_T	2	1	1	1	NO	G407-E0198	0	Am Zielort.
AL+AIIN	BIOLOGICAL	1	1	1	1	NO	G407-E2120	0	Am Zielort: Wert.
AL+AIIN	CELESTIAL	4	4	2	2	YES	G407-E0948	1	Am Zielort: Wert.
AL+AIIN	PHARMA	1	1	1	1	NO	G407-E4077	0	Am Zielort: Wert.
AL+AIIN+LOCAL_CHAR_I	CELESTIAL	1	1	1	1	NO	G407-E1318	0	Am Zielort: Wert mit der lokalen Variante.
AL+AL	BIOLOGICAL	1	1	1	1	NO	G407-E2954	0	Am Zielort und am Zielort.
AL+AL	PHARMA	1	1	1	1	NO	G407-E4142	0	Am Zielort und am Zielort.
AL+CHD	BIOLOGICAL	1	1	1	1	NO	G407-E2723	0	Bearbeite am Zielort.
AL+CHD+DY	BIOLOGICAL	3	3	1	1	NO	G407-E2021	0	Bearbeite am Zielort; schließe den Schritt.
AL+CHD+DY	CELESTIAL	1	1	1	1	NO	G407-E1276	0	Bearbeite am Zielort; schließe den Schritt.
AL+CHD+DY	PHARMA	1	1	1	1	NO	G407-E4121	0	Bearbeite am Zielort; schließe den Schritt.
AL+DY	BIOLOGICAL	3	3	3	3	YES	G407-E1710	2	Am Zielort; schließe den Schritt.
AL+DY	HERBAL	1	1	1	1	NO	G407-E0439	0	Am Zielort; schließe den Schritt.
AL+D_ADDR+AIIN	CELESTIAL	1	1	1	1	NO	G407-E0993	0	Am Zielort: Wert hier.
AL+D_ADDR+Y	CELESTIAL	1	1	1	1	NO	G407-E0905	0	Am Zielort: Posten hier.
AL+D_ADDR+Y	HERBAL	1	1	1	1	NO	G407-E0743	0	Am Zielort: Posten hier.
AL+K+AIN	HERBAL	1	1	1	1	NO	G407-E4434	0	Gib den Anteil am Zielort.
AL+LOCAL_CHAR_F+SH+E+D_ADDR	HERBAL	1	1	1	1	NO	G407-E4467	0	Halte am Zielort auf Grad I mit der lokalen Variante und hier.
AL+O	CELESTIAL	1	1	1	1	NO	G407-E1196	0	Am Zielort.
AL+O+Y	CELESTIAL	1	1	1	1	NO	G407-E1288	0	Führe den Posten aus am Zielort.
AL+OL	BIOLOGICAL	1	1	1	1	NO	G407-E2263	0	Weiter: Am Zielort.
AL+OR	BIOLOGICAL	2	2	2	2	YES	G407-E2189	1	Am Zielort: Einheit.
AL+OR	HERBAL	1	1	1	1	NO	G407-E4411	0	Am Zielort: Einheit.
AL+R+OR	BIOLOGICAL	1	1	1	1	NO	G407-E3604	0	Markiere die Einheit am Zielort.
AL+S	PHARMA	1	1	1	1	NO	G407-E4136	0	Wähle am Zielort.
AL+S+Y	PHARMA	1	1	1	1	NO	G407-E3907	0	Wähle den Posten am Zielort.
AL+SH+E+DY	BIOLOGICAL	2	2	1	1	NO	G407-E2047	0	Halte am Zielort auf Grad I; schließe den Schritt.
AL+SH+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2184	0	Halte den Posten am Zielort.
AL+T+E+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3572	0	Stelle den Posten am Zielort ein auf Grad I hier.
AL+Y	BIOLOGICAL	4	4	3	3	YES	G407-E1552	3	Am Zielort: Posten.
AL+Y	CELESTIAL	4	4	4	4	YES	G407-E1117	3	Am Zielort: Posten.
AL+Y	PHARMA	1	1	1	1	NO	G407-E4151	0	Am Zielort: Posten.
AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E1614	0	Hier.
AM_ADDR	CELESTIAL	4	2	4	4	YES	G407-E0926	3	Hier.
AM_ADDR	HERBAL	4	4	3	3	YES	G407-E0276	3	Hier.
AM_ADDR+Y	CELESTIAL	1	1	1	1	NO	G407-E0922	0	Posten hier.
AR	BIOLOGICAL	12	10	9	9	YES	G407-E1587	11	Vom Ausgang.
AR	CELESTIAL	15	8	10	10	YES	G407-E0921	13	Vom Ausgang.
AR	HERBAL	8	3	7	7	YES	G407-E0225	7	Vom Ausgang.
AR	PHARMA	2	2	2	2	YES	G407-E3906	1	Vom Ausgang.
AR	SOURCE_SECTION_T	2	2	2	2	YES	G407-E0003	1	Vom Ausgang.
AR+AIIN	BIOLOGICAL	1	1	1	1	NO	G407-E3322	0	Vom Ausgang: Wert.
AR+CH+EE+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2114	0	Nimm den Posten vom Ausgang auf Grad II.
AR+CH+EE+Y	PHARMA	1	1	1	1	NO	G407-E3963	0	Nimm den Posten vom Ausgang auf Grad II.
AR+CH+Y+T+AIIN	HERBAL	1	1	1	1	NO	G407-E4419	0	Nimm den Posten und den Wert; stelle den Posten und den Wert vom Ausgang ein.
AR+OL	BIOLOGICAL	2	2	2	2	YES	G407-E2660	1	Weiter: Vom Ausgang.
AR+OL	CELESTIAL	1	1	1	1	NO	G407-E1093	0	Weiter: Vom Ausgang.
AR+OL	PHARMA	1	1	1	1	NO	G407-E4115	0	Weiter: Vom Ausgang.
AR+OL+Y	CELESTIAL	1	1	1	1	NO	G407-E1207	0	Weiter: Vom Ausgang: Posten.
AR+S+A_ADDR	HERBAL	1	1	1	1	NO	G407-E0643	0	Wähle vom Ausgang hier.
AR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3526	0	Vom Ausgang: Posten.
