page	section	unit_ids	visible_groups	internal_units	page_workshop_role_de	cross_page_rule_de
f10r	HERBAL	H1|H2	38	5	Bildbesitzer setzen; Stoff- und Zubereitungsartikel in offener Prosa lesen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f11r	HERBAL	H3	17	4	Bildbesitzer setzen; Stoff- und Zubereitungsartikel in offener Prosa lesen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f55v	HERBAL	H4	18	4	Bildbesitzer setzen; Stoff- und Zubereitungsartikel in offener Prosa lesen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f56r	HERBAL	H5	27	6	Bildbesitzer setzen; Stoff- und Zubereitungsartikel in offener Prosa lesen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f81v	BIOLOGICAL	B1	66	21	lokale Figur/Becken/Station setzen; kurze Arbeits- und Anwendungszellen lesen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f82r	BIOLOGICAL	B2	62	22	lokale Figur/Becken/Station setzen; kurze Arbeits- und Anwendungszellen lesen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f83r	BIOLOGICAL	B3|B4|B5|B6	153	54	lokale Figur/Becken/Station setzen; kurze Arbeits- und Anwendungszellen lesen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f67r2	ASTRO	A1	190	74	lokales Himmelsinstrument zeigen; Etikette nur im richtigen Namensraum nachschlagen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f68r1	ASTRO	A2	65	37	lokales Himmelsinstrument zeigen; Etikette nur im richtigen Namensraum nachschlagen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
f69v	ASTRO	A3	140	31	lokales Himmelsinstrument zeigen; Etikette nur im richtigen Namensraum nachschlagen	gemeinsame Werkstattpraxis, aber keine automatisch geerbte konkrete Referenz
