page	locus	section	target_occurrences	target_ordinals	target_surfaces	rendering_classes	zl3b_line	v41_token_glosses_de	v42_token_glosses_de	v42_working_translation_de	v41_unknown_tokens	v42_unknown_tokens	v42_complete
f100r	f100r.26	P	3	4|5|8	cholody|chos|okeeol	CHOLODY_ACTION|EXACT_WHOLE|EXACT_WHOLE	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	[yaiin:?] | [chekeey:?] | trocken; nominal trockenes Gut/Material | [cholody:?] | [chos:?] | [olchor:?] | [qokeol:?] | [okeeol:?] | [cheols:?] | Rohstoffklasse I	[yaiin:?] | [chekeey:?] | trocken; nominal trockenes Gut/Material | Trockenstoff als Ansatz fertigstellen | eine Charge Trockenansatz | [olchor:?] | [qokeol:?] | vollständig erhitzter Ansatzstoff | [cheols:?] | Rohstoffklasse I	[yaiin:?]; [chekeey:?]; Trockengut; Trockenstoff als Ansatz fertigstellen; eine Charge Trockenansatz; [olchor:?]; [qokeol:?]; vollständig erhitzter Ansatzstoff; [cheols:?]; Rohstoff I	8	5	0
f100v	f100v.13	P	1	1	chos	LABEL_SIGLUM	chos ctharal	[chos:?] | [ctharal:?]	[eine Charge Trockenansatz-Zeichen] | [ctharal:?]	[eine Charge Trockenansatz-Zeichen]; [ctharal:?]	2	1	0
f100v	f100v.16	P	1	6	sheeo	EXACT_WHOLE	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	[ykeeol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [eeoseeo:?] | Samen-/Saatgutposten | [sheeo:?] | Grundansatz bis zur mittleren Heizstufe erwärmt | trockenes Drogenmaterial, Mittelstufe | [okeor:?] | Grundansatz bis zur mittleren Heizstufe erwärmt | Qualitäts-/Wertfeld geschlossen	[ykeeol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [eeoseeo:?] | Samen-/Saatgutposten | vollständig eingeweichter Ansatz | Grundansatz bis zur mittleren Heizstufe erwärmt | trockenes Drogenmaterial, Mittelstufe | [okeor:?] | Grundansatz bis zur mittleren Heizstufe erwärmt | Qualitäts-/Wertfeld geschlossen	[ykeeol:?]; Trockengut; bis zur mittleren Trockenstufe; [eeoseeo:?]; Samen-/Saatgutposten; vollständig eingeweichter Ansatz; Grundansatz bis zur mittleren Heizstufe erwärmt; trockenes Drogenmaterial, Mittelstufe; [okeor:?]; Grundansatz bis zur mittleren Heizstufe erwärmt.	4	3	0
f100v	f100v.17	P	1	4	okol	EXACT_WHOLE	chockhey sholkcheol qokeol okol chol chotor chso solcthy	Arzneikompositum im Trockenansatz in der Gradmitte | [sholkcheol:?] | [qokeol:?] | [okol:?] | trocken; nominal trockenes Gut/Material | [chotor:?] | [chso:?] | [solcthy:?]	Arzneikompositum im Trockenansatz in der Gradmitte | [sholkcheol:?] | [qokeol:?] | heißer Ansatzstoff | trocken; nominal trockenes Gut/Material | [chotor:?] | [chso:?] | [solcthy:?]	Arzneikompositum im Trockenansatz in der Gradmitte; [sholkcheol:?]; [qokeol:?]; heißer Ansatzstoff; Trockengut; [chotor:?]; [chso:?]; [solcthy:?]	6	5	0
f100v	f100v.22	P	1	3	chory	EXACT_WHOLE	daiin cheky chory	Grad-/Maßwert III | bis zur mittleren Trockenstufe, dann leicht erhitzen | [chory:?]	Grad-/Maßwert III | bis zur mittleren Trockenstufe, dann leicht erhitzen | Pflanzenteil in Grundform	drei Maße; bis zur mittleren Trockenstufe, dann leicht erhitzen; Pflanzenteil in Grundform	1	0	1
f102r1	f102r1.11	P	1	2	qockhy	QOCKHY_ACTION	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	[dcheo:?] | [qockhy:?] | Samenmaterial/Saatgut | feucht am Ende des Grades | [okeody:?] | [qokeodol:?] | Arzneikompositum im Feuchtansatz in der Gradmitte | [oleeol:?]	[dcheo:?] | bereite einen Arzneikompositum-Ansatz in Grundstufe | Samenmaterial/Saatgut | feucht am Ende des Grades | [okeody:?] | [qokeodol:?] | Arzneikompositum im Feuchtansatz in der Gradmitte | [oleeol:?]	[dcheo:?]; bereite einen Arzneikompositum-Ansatz in Grundstufe; Samenmaterial/Saatgut; vollständig eingeweicht; [okeody:?]; [qokeodol:?]; Arzneikompositum im Feuchtansatz in der Gradmitte; [oleeol:?]	5	4	0
f102r1	f102r1.14	P	2	7|8	okol|chos	EXACT_WHOLE|EXACT_WHOLE	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	[doeey:?] | stark erhitzter Drogenstoff | bereite einen heißen Auszug | [daor:?] | feucht in der Mitte des Grades | [qoteol:?] | [okol:?] | [chos:?] | Samen-/Saatgutposten | Drogenportion | [oeeaiin:?]	[doeey:?] | stark erhitzter Drogenstoff | bereite einen heißen Auszug | [daor:?] | feucht in der Mitte des Grades | [qoteol:?] | heißer Ansatzstoff | eine Charge Trockenansatz | Samen-/Saatgutposten | Drogenportion | [oeeaiin:?]	[doeey:?]; stark erhitzter Drogenstoff; bereite einen heißen Auszug; [daor:?]; bis zur mittleren Einweichstufe; [qoteol:?]; heißer Ansatzstoff; eine Charge Trockenansatz; Samen-/Saatgutposten; Drogenportion; [oeeaiin:?]	6	4	0
f102r1	f102r1.15	P	1	7	dor	DOR_ACTION	or chol daiin dykeor sheey qokeody dor os ykeeykam	Drogenportion | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dykeor:?] | feucht am Ende des Grades | [qokeody:?] | [dor:?] | [os:?] | [ykeeykam:?]	Drogenportion | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dykeor:?] | feucht am Ende des Grades | [qokeody:?] | miss eine Portion Droge ab | [os:?] | [ykeeykam:?]	Drogenportion; Trockengut; Stufe III; [dykeor:?]; vollständig eingeweicht; [qokeody:?]; miss eine Portion Droge ab; [os:?]; [ykeeykam:?]	5	4	0
f102r1	f102r1.16	P	2	4|10	ykeey|dor	YKEEY_ACTION|DOR_ACTION	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	[ddor:?] | [chordam:?] | Samenportion III | [ykeey:?] | Qualitäts-/Wertfeld geschlossen | Grundansatz bis zur mittleren Heizstufe erwärmt | [doeoear:?] | Samen-/Saatgutposten | Rohdrogenfraktion I | [dor:?]	[ddor:?] | [chordam:?] | Samenportion III | erhitze hiervon bis zur Endstufe und schließe ab | Qualitäts-/Wertfeld geschlossen | Grundansatz bis zur mittleren Heizstufe erwärmt | [doeoear:?] | Samen-/Saatgutposten | Rohdrogenfraktion I | miss eine Portion Droge ab	[ddor:?]; [chordam:?]; Samenportion III; erhitze hiervon bis zur Endstufe und schließe ab; Grundansatz bis zur mittleren Heizstufe erwärmt; [doeoear:?]; Samen-/Saatgutposten; Rohdrogenfraktion I; miss eine Portion Droge ab	5	3	0
f102v1	f102v1.10	P	1	6	ykeey	YKEEY_ACTION	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	[kochor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | davon drei Maße | Blüten-/Pflanzenteil, Menge/Klasse III | feucht am Ende des Grades | [ykeey:?] | heiße Drogenportion | feucht in der Mitte des Grades | heiß in der Mitte des Grades | Qualitäts-/Wertfeld geschlossen	[kochor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | davon drei Maße | Blüten-/Pflanzenteil, Menge/Klasse III | feucht am Ende des Grades | erhitze hiervon bis zur Endstufe und schließe ab | heiße Drogenportion | feucht in der Mitte des Grades | heiß in der Mitte des Grades | Qualitäts-/Wertfeld geschlossen	[kochor:?]; Grundansatz; davon drei Maße; Blüten-/Pflanzenteil, Menge/Klasse III; vollständig eingeweicht; erhitze hiervon bis zur Endstufe und schließe ab; heiße Drogenportion; bis zur mittleren Einweichstufe; bis zur mittleren Heizstufe.	2	1	0
