module_id	instrument_id	page	module_title_de	module_role_de	apprentice_instruction_de	locus_count	group_count	content_classes	order_rule
M67_RIGHT_SECTORS	I67_TWO_WHEEL_COMPARATOR	f67r2	Rechte Sektoren	Bedingung, Klasse oder Ausgang einstellen	Wähle den sichtbaren rechten Sektor und setze seine Klasse oder Bedingung	12	28	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M67_RIGHT_RING_RULES	I67_TWO_WHEEL_COMPARATOR	f67r2	Rechte Ringregeln	Grad, Fortsetzung und Ablesung des rechten Rades	Lies die rechte Ringregel als Bedienrahmen	3	18	RIGHT_WHEEL_LOCAL_RING_RUBRIC	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M67_RIGHT_PHASES	I67_TWO_WHEEL_COMPARATOR	f67r2	Rechte Phasenplätze	Licht-, Phasen- oder Kalenderbedingung	Wähle die sichtbare Phasenstelle und notiere ihre Bedingung	8	10	RIGHT_WHEEL_PHASE_LIGHT_OR_CALENDAR_CONDITION	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M67_LEFT_ASPECT_FIELDS	I67_TWO_WHEEL_COMPARATOR	f67r2	Linke Aspektfelder	Platz, Aspekt, Sollwert, Ausgang und Ziel kombinieren	Trage am sichtbaren Sternfeld Platz, Aspekt und Wertbezug ein	37	92	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M67_LEFT_OUTER_STATIONS	I67_TWO_WHEEL_COMPARATOR	f67r2	Äußere linke Sternplätze	Quelle, Ziel, Übertragung oder Folge auswählen	Nimm den sichtbaren äußeren Sternplatz als Übertragungs- oder Zielhinweis	12	17	LEFT_WHEEL_OUTER_STAR_POSITION	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M67_LEFT_RING_RULE	I67_TWO_WHEEL_COMPARATOR	f67r2	Linke Ringregel	Sollwert-, Lauf- und Klassenrahmen des linken Rades	Lies den linken Ringtext als Einstellregel	1	12	LEFT_WHEEL_LOCAL_RING_RUBRIC	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M67_SHARED_LEGEND	I67_TWO_WHEEL_COMPARATOR	f67r2	Gemeinsame Legende	gemeinsame Ablese- und Einstellbegriffe	Lies die Legende als gemeinsamen Kartenschlüssel, ohne sie einem Einzelrad aufzuzwingen	1	13	PAIRED_PAGE_LEGEND_OWNER_UNRESOLVED	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M68_PANEL_HEADERS	I68_STAR_CLASS_ATLAS	f68r1	Paneelköpfe	Abfragemodus für Eingang, Phase, Ziel oder Ablesung	Wähle den sichtbaren Paneelkopf als Modus	7	31	LEFT_STAR_PANEL_RUBRIC;MIDDLE_STAR_PANEL_RUBRIC;MULTIPANEL_HEADER_OWNER_UNRESOLVED;RIGHT_SECTORIZED_PANEL_RUBRIC	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M68_STAR_STATIONS	I68_STAR_CLASS_ATLAS	f68r1	28 Sternstationen	lokale Sternklasse, Bedingung, Übertragung oder Zielangabe	Wähle den sichtbaren Sternplatz und lies seine lokale Funktion	28	28	LOCAL_STAR_OR_ASTERISM_STATION	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M68_CENTER_KEY	I68_STAR_CLASS_ATLAS	f68r1	Zentrum und Legende	Zielsetzung und Grundgrad	Nutze Zentrum oder Legende als lokalen Ziel- und Gradschlüssel	2	6	CENTRAL_PANEL_LEGEND_UNRESOLVED;FACE_CENTRE_IDENTITY_UNRESOLVED	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M69_LEFT_RUBRIC	I69_THREE_WHEEL_REGISTER	f69v	Linke Ringrubrik	Arbeitsregel des 28-Platz-Rades	Lies die linke Ringrubrik als Bedienregel für das 28-Platz-Inventar	1	40	LEFT_28_PLACE_WHEEL_RUBRIC	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M69_LEFT_28_SLOTS	I69_THREE_WHEEL_REGISTER	f69v	28 linke Radialplätze	einzelne Platz-, Klassen-, Grad- oder Zielwerte	Wähle genau den sichtbaren Radialplatz und lies seinen Wert	28	33	LEFT_WHEEL_LOCAL_28_PLACE_INVENTORY_ENTRY	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M69_MIDDLE_QUALITY	I69_THREE_WHEEL_REGISTER	f69v	Mittleres Qualitätsrad	Wetter-, Qualitäts- oder Zustandsablesung	Lies das mittlere Rad als eigene Qualitäts- oder Wettertafel	1	38	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
M69_RIGHT_LIGHT	I69_THREE_WHEEL_REGISTER	f69v	Rechtes Lichtrad	Licht-, Planeten- oder Komplexionsbedingung	Lies das rechte Rad als eigene Licht- oder Zustandsregel	1	29	RIGHT_LIGHT_PLANET_COMPLEXION_RUBRIC	OWNER_SELECTED__NOT_CYCLICALLY_ORDERED
