argument_provenance_ordinal	event_id	statement_id	physical_page	register	surface	recipe	inherited_argument_root	inherited_argument_value_de	argument_source_type	argument_source_event_id	source_card_distance	gdt539_pointer_match	resolved_microphrase_de	provenance_status
1	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0032	1	NOT_STORED	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
2	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0081	1	NOT_STORED	Danach: halte den Posten; entlang der Bahn; auf der Stufe.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
3	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0081	2	NOT_STORED	Danach: halte den Posten; auf Grad I; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
4	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0097	2	NOT_STORED	Weiter: halte den Anteil.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
5	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0112	2	NOT_STORED	Weiter: gib den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
6	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0112	3	NOT_STORED	Weiter: gib den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
7	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0116	3	NOT_STORED	Weiter: halte die Einheit.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
8	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	otol	OT+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0157	1	NOT_STORED	Danach: gib den Posten; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
9	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0162	1	NOT_STORED	Weiter: nimm den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
10	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0170	1	NOT_STORED	Weiter: markiere den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
