context_id	page	locus	section	language	hand	body	head	head_class	form	working_default_de	token_ordinal	line_position	previous	following	reader_exact	split_normalized	zl3b_line
G636-X001	f104v	f104v.12	S	B	3	ar	p	ENTRY	par	Pulverfraktion I	11	MIDDLE	cheol	oltedy	1	1	polchechy oteoy chotchs cheeta oteeey oteedy qoty ched l cheol par oltedy chedam
G636-X002	f105r	f105r.6	S	B	3	ar	p	ENTRY	par	Pulverfraktion I	1	FIRST	<BOS>	arody	0	0	par arody shedeeey qopchedy qody qoteody aiin yteody qokor olpshedy
G636-X003	f81r	f81r.24	B	B	2	ar	p	ENTRY	par	Pulverfraktion I	1	FIRST	<BOS>	ody	0	0	par ody shecphy cheol qotaldar otedy oly
G636-X004	f81v	f81v.1	B	B	2	ar	p	ENTRY	par	Pulverfraktion I	1	FIRST	<BOS>	shey	1	1	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky
G636-X005	f86v6	f86v6.17	T	B	2	ar	p	ENTRY	par	Pulverfraktion I	1	FIRST	<BOS>	or	1	1	par or aiin dar aiiin qckhear shoy qotedy opchdy olain ar alkar am
G636-X006	f94v	f94v.8	H	B	3	ar	p	ENTRY	par	Pulverfraktion I	8	MIDDLE	qotchy	ar	1	1	pchedaiin sheocthy daiin cphedy fchd otchy qotchy par ar
G636-X007	f100r	f100r.5	P	A	1	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	char	0	0	sar char daiindy
G636-X008	f102v2	f102v2.37	P	A	1	ar	s	ENTRY	sar	Samenfraktion I	10	LAST	okeoroly	<EOS>	1	1	tchor ar chey kor or cthey qoeeey qokeey okeoroly sar
G636-X009	f103r	f103r.17	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	shey	1	1	sar shey qokey keedy qokeey chckhy qokal oty or aiin
G636-X010	f103r	f103r.2	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	12	MIDDLE	lkeey	ain	1	1	dain shek chdy daloky opchedy peshol chep ar otchy sal lkeey sar ain ok chedy
G636-X011	f103v	f103v.31	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	11	MIDDLE	chckhy	olainy	1	1	okeey l chey qokeey o qokeey chedy qekchy daiin chckhy sar olainy
G636-X012	f104r	f104r.12	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	6	MIDDLE	lo	al	1	1	tshdol qotchedy qokoeey qoteode lo sar al octhy qotor opchey qotam
G636-X013	f104r	f104r.25	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	okair	1	1	sar okair chckhey qodaiin chckhy checkhd l raiin otain ar airam
G636-X014	f104v	f104v.36	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	aiir	1	1	sar aiir sheos qoiiin okeedy qokcheodaiin
G636-X015	f104v	f104v.37	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	6	MIDDLE	kechy	odl	1	1	posairy ytedar chedy shoefcheey kechy sar odl air shey qopcheey sol ain arodam
G636-X016	f106r	f106r.11	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	aiin	1	1	sar aiin cheol aiin cheokey raiin chokar cholky okeees aiin okeey lchg
G636-X017	f106r	f106r.30	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	9	MIDDLE	shor	aiiry	1	1	ycheeo lkaiin cho ror sheo l kain shor sar aiiry sheo al kairam
G636-X018	f106v	f106v.25	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	sheol	1	1	sar sheol chol shar chol okarol
G636-X019	f106v	f106v.3	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	4	MIDDLE	cheokchy	al	1	1	yshedaiin shckhy cheokchy sar al cho lchedy ytain otar al chdy daly lody
G636-X020	f106v	f106v.45	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	10	MIDDLE	oteey	aildy	1	1	ysair okeey cheodain chey tchar oqotaiin oty rasal oteey sar aildy
G636-X021	f107r	f107r.46	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	cheey	1	1	sar cheey qodaiin qokaiin ol cheor aiin otal taiin qokaiin otal alkal
G636-X022	f107r	f107r.51	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	ain	1	1	sar ain chol ol cheey otal otal ol otchy qoky otaily
G636-X023	f111v	f111v.15	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	shey	0	0	sar shey l otain qokaiin al kain chedy otal lchedy qokain chtal otain l s
