sequence	field_id	field_mode	position	intended_card_id	hand_a_surface	hand_b_surface	surface_changed	decoded_card_id	intended_value_de	decoded_value_de	learning_mode	readback_status
1	N01	CH	1	MC071	dchey	dchey	NO	MC071	Wurzel	Wurzel	GANZKARTE	EXACT
2	N01	CH	2	MC159	os	os	NO	MC159	Aufnahmegefäß	Aufnahmegefäß	GANZKARTE	EXACT
3	N01	CH	3	MC034	cho	sho	YES	MC034	weitere Zutat	weitere Zutat	KOMPONENTEN	EXACT
4	N01	CH	4	MC080	chor	sor	YES	MC080	Ansatz	Ansatz	KOMPONENTEN	EXACT
5	N01	CH	5	MC039	aiin	taiin	YES	MC039	Sollmaß	Sollmaß	KOMPONENTEN	EXACT
6	N01	CH	6	MC147	cheky	cheky	NO	MC147	kurz wärmen	kurz wärmen	KOMPONENTEN	EXACT
7	N01	CH	7	MC128	cheedy	tedy	YES	MC128	kurz absetzen; Schluss	kurz absetzen; Schluss	KOMPONENTEN	EXACT
8	N02	D	1	MC142	dchol	schol	YES	MC142	vom vorigen	vom vorigen	GANZKARTE	EXACT
9	N02	D	2	MC055	char	sar	YES	MC055	davon	davon	KOMPONENTEN	EXACT
10	N02	D	3	MC105	chkain	kain	YES	MC105	Portion	Portion	KOMPONENTEN	EXACT
11	N02	D	4	MC154	al	tal	YES	MC154	dorthin	dorthin	KOMPONENTEN	EXACT
12	N02	D	5	MC025	dchedy	tchedy	YES	MC025	überführen; Schluss	überführen; Schluss	KOMPONENTEN	EXACT
13	N03	O	1	MC157	cholor	olor	YES	MC157	derselbe Ansatz	derselbe Ansatz	KOMPONENTEN	EXACT
14	N03	O	2	MC097	olkain	qolkain	YES	MC097	weiterer Anteil	weiterer Anteil	KOMPONENTEN	EXACT
15	N03	O	3	MC153	cheol	tol	YES	MC153	weiter	weiter	KOMPONENTEN	EXACT
16	N03	O	4	MC103	chokchy	qokchy	YES	MC103	weiterbearbeiten	weiterbearbeiten	KOMPONENTEN	EXACT
17	N03	O	5	MC161	checthy	shcthy	YES	MC161	bereit	bereit	KOMPONENTEN	EXACT
18	N04	Q	1	MC013	otchor	qotchor	YES	MC013	Folgeansatz	Folgeansatz	KOMPONENTEN	EXACT
19	N04	Q	2	MC017	okain	qokain	YES	MC017	Anteil zugeben	Anteil zugeben	KOMPONENTEN	EXACT
20	N04	Q	3	MC120	okaiin	qokaiin	YES	MC120	bemessen	bemessen	KOMPONENTEN	EXACT
21	N04	Q	4	MC040	okal	qokal	YES	MC040	dorthin einsetzen	dorthin einsetzen	KOMPONENTEN	EXACT
22	N04	Q	5	MC005	okchedy	qokchedy	YES	MC005	einführen; Schluss	einführen; Schluss	KOMPONENTEN	EXACT
23	N05	S	1	MC129	cfhy	cfhy	NO	MC129	auswringen	auswringen	GANZKARTE	EXACT
24	N05	S	2	MC111	shfydaiin	shfydaiin	NO	MC111	Stehzeit	Stehzeit	KOMPONENTEN	EXACT
25	N05	S	3	MC156	cphy	cphy	NO	MC156	nachseihen	nachseihen	GANZKARTE	EXACT
26	N05	S	4	MC119	cheey	shey	YES	MC119	Klarlauf	Klarlauf	GANZKARTE	EXACT
27	N05	S	5	MC045	olkeedy	solkeedy	YES	MC045	lange sammeln; Schluss	lange sammeln; Schluss	KOMPONENTEN	EXACT
28	N06	Q	1	MC138	dshedy	dshedy	NO	MC138	Frischwasser zugeben; Schluss	Frischwasser zugeben; Schluss	GANZKARTE	EXACT
29	N06	Q	2	MC093	otal	qotal	YES	MC093	danach dorthin	danach dorthin	KOMPONENTEN	EXACT
30	N06	Q	3	MC035	chckhy	shckhy	YES	MC035	durchleiten	durchleiten	KOMPONENTEN	EXACT
31	N06	Q	4	MC002	okeey	qokeey	YES	MC002	lange einwirken	lange einwirken	KOMPONENTEN	EXACT
32	N06	Q	5	MC057	otchedy	qotchedy	YES	MC057	Folgetransfer; Schluss	Folgetransfer; Schluss	KOMPONENTEN	EXACT
