drawer	master_card_id	master_form	registered_surfaces	semantic_atoms_for_memory_only	old_telegraphic_default_de	spoken_whole_card_value_de	event_count	records	learning_rule
D1_MATERIAL_PRODUCT_VESSEL	MC059	dain	dain	DAIN	Tuch	Tuch	2	B4|B6	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC006	chokcheo	chokcheo	OK+CHEO	ansetzen+Auszug	einsetzen · Auszug	1	H5	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC010	chodaly	chodaly	HO+AL+Y	Zutat+Ziel+Posten	Zutat · Zielstelle · Posten	1	H5	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC027	oykchor	oykchor	Y+KCH+OR	Posten+bearbeiten+Ansatz	Posten · bearbeiten · Ansatz	1	H2	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC037	tchody	tchody	HO+CLOSE	Zutat+Schluss	Zutat; schließen	1	H3	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC049	schoal	schoal	HO+AL	Zutat+Ziel	Zutat · Zielstelle	1	H3	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC062	shoyty	shoyty	HO+Y+TY	Zutat+Posten+Teil	Zutat · Posten · Teil	1	H3	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC071	dchey	dchey	DCHE+Y	Wurzel+Posten	Wurzel · Posten	1	H1	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC072	orain	orain	OR+AIN	Ansatz+Anteil	Ansatz · Anteil	1	H4	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC075	ycheor	ycheor	Y+CHEO+OR	Posten+Auszug+Ansatz	Posten · Auszug · Ansatz	1	H2	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC085	cheoar	cheoar	CHEO+AR	Auszug+Quelle	Auszug · Ausgang	1	H4	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC087	chodaiin	chodaiin	HO+AIIN	Zutat+Sollmaß	Zutat · Sollmaß	1	H2	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC098	tshol	tshol	HO+L	Zutat+abführen	Zutat · abführen	1	H3	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC125	chochor	chochor	HO+OR	Zutat+Ansatz	Zutat · Ansatz	1	H5	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC131	choy	choy	HO+Y	Zutat+Posten	Zutat · Posten	1	H5	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC136	kchoar	kchoar	CHEO+AR	Auszug+Quelle	Auszug · Ausgang	1	H5	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC146	chealror	chealror	AL+OR	Ziel+Ansatz	Zielstelle · Ansatz	1	B3	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC158	cthoor	cthoor	CTH+OR	bereit+Ansatz	bereitstellen · Ansatz	1	H1	learn as one exact specialist card; do not promote a new universal stem
D1_MATERIAL_PRODUCT_VESSEL	MC159	os	os	OS	Gefäß	Gefäß	1	H1	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC038	lshedy	lshedy	WASH+CLOSE	waschen+Schluss	waschen; schließen	2	B1	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC022	chckhal	chckhal	CKH+AL	Durchlass+Ziel	Durchgang · Zielstelle	1	B4	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC058	sheckhal	sheckhal	CKH+E+AL	Durchlass+kurz+Ziel	Durchgang · kurz · Zielstelle	1	B1	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC066	lcheey	lcheey	L+CHEEY	abführen+Ergebnis	abführen · Klarlauf	1	B2	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC084	rshedy	rshedy	WASH+CLOSE	waschen+Schluss	waschen; schließen	1	B2	learn as one exact specialist card; do not promote a new universal stem
