state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	cohort	surface	final_context_recipe	state_marker_sequence	effective_action_roots	effective_argument_roots	context_mode_card_id	context_mode	action_carry	action_source_type	action_source_event_id	action_source_card_distance	action_scope_frame_id	action_scope_kind	action_scope_phrase_de	argument_carry	argument_source_type	inherited_argument_root	explicit_argument_phrase_de	carried_argument_phrase_de	carried_argument_realization_count	control_prior_marker_count	control_action_context_witness	gdt568_action_voice_clause_de	context_voice_working_clause_de	owner_bound_control_clause_de	gdt568_owner_action_chain_de	context_voice_action_chain_de	context_voice_changed	state_atom_alignment	guard
1	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	OLD26_GDT407	shol	SH+OL	OL	SH	AIIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0005	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIIN	den Kennwert	denselben Kennwert	1	1	NOT_APPLICABLE	Weiter: halte den Kennwert fest.	Weiter: halte denselben Kennwert fest.	Weiter halte den Kennwert [wie zuvor] fest.	halte den Kennwert fest	halte denselben Kennwert fest	YES	1:SH=halten | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
2	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	OLD26_GDT407	sholdy	SH+OL+D_ADDR+Y	OL	SH	Y	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E0010	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den laufenden Eintrag	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	halte den laufenden Eintrag fest	halte den laufenden Eintrag fest	NO	1:SH=halten | 2:OL=weiter | 3:D_ADDR=hier | 4:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
3	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	OLD26_GDT407	oteey	OT+EE+Y	OT	S	Y	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0031	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den laufenden Eintrag	NOT_APPLICABLE	0	0	YES	Danach: wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang: wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	wähle den laufenden Eintrag	wähle den laufenden Eintrag	YES	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
4	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	OLD26_GDT407	oteos	OT+E+O+S_ADDR	OT	S	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0031	2	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	YES	Danach: wähle den laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	wähle den laufenden Eintrag	wähle denselben laufenden Eintrag	YES	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:S_ADDR=hier	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
5	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	OLD26_GDT407	roloty	R+OL+OT+Y	OL+OT	R	Y	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E0034	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den laufenden Eintrag	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Weiter: kennzeichne den laufenden Eintrag; danach nächsten Gang eröffnen.	Weiter: kennzeichne den laufenden Eintrag; danach nächsten Gang eröffnen.	Weiter und danach kennzeichne den laufenden Eintrag.	kennzeichne den laufenden Eintrag	kennzeichne den laufenden Eintrag	NO	1:R=markieren | 2:OL=weiter | 3:OT=danach | 4:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
6	G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	OLD26_GDT407	shol	SH+OL	OL	SH	NONE	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E0048	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	NO_ARGUMENT	NONE	NONE	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Weiter: halte fest.	Weiter: halte fest.	Weiter halte fest.	halte fest	halte fest	NO	1:SH=halten | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
7	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	OLD26_GDT407	shody	SH+O+DY	DY	SH	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0056	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	NOT_APPLICABLE	Halte den laufenden Eintrag fest; zur Ausführung; schließe den Schritt.	Halte denselben laufenden Eintrag fest; zur Ausführung; schließe den Schritt.	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	halte den laufenden Eintrag fest	halte denselben laufenden Eintrag fest	YES	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
8	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	OLD26_GDT407	otchol	OT+CH+OL	OT+OL	CH	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0058	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	NOT_APPLICABLE	Danach: entnimm den laufenden Eintrag; weiterführen.	Danach: entnimm denselben laufenden Eintrag; weiterführen.	Danach und weiter entnimm den laufenden Eintrag [wie zuvor].	entnimm den laufenden Eintrag	entnimm denselben laufenden Eintrag	YES	1:OT=danach | 2:CH=nehmen | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
9	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	OLD26_GDT407	cfhol	CH+LOCAL_CHAR_F+OL	OL	CH	AIIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0067	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIIN	den Kennwert	denselben Kennwert	1	1	NOT_APPLICABLE	Weiter: entnimm den Kennwert; an der bezeichneten Stelle.	Weiter: entnimm denselben Kennwert; an der bezeichneten Stelle.	Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle.	entnimm den Kennwert	entnimm denselben Kennwert	YES	1:CH=nehmen | 2:LOCAL_CHAR_F=hier | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
10	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	OLD26_GDT407	shody	SH+O+DY	DY	SH	AIIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0068	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIIN	den Kennwert	denselben Kennwert	1	1	NOT_APPLICABLE	Halte den Kennwert fest; zur Ausführung; schließe den Schritt.	Halte denselben Kennwert fest; zur Ausführung; schließe den Schritt.	Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.	halte den Kennwert fest	halte denselben Kennwert fest	YES	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
