candidate_row_id	current_status	source_neighbor_count	component_recipe	catalog_intake_tier	identity_route	identity_status	factor_gate_status	execution_route	execution_decision	incoming_action	incoming_argument	scope_context_mode	scope_incoming_action	visible_separated_chains	portable_factor_rules	amber_factor_rules	blocked_factor_rules	outgoing_action_v2	outgoing_argument_v2	execution_stop_preserves_state	identity_only_when_execution_stops	legacy_gdt445_route	legacy_gdt445_decision	gdt445_correction	identity_does_not_override_execution
G446-CAN-0001	OBSERVED	3	AIIN	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN	NONE	NONE	NONE	AIIN	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES
G446-CAN-0002	ABSENT	2	AIIN+AIIN	T4_NARROW_APPENDIX	IDENTITY_EXACT_NARROW_APPENDIX	NARROW_LOOKUP_ONLY	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIIN	NONE	NONE	NONE	AIIN	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES
G446-CAN-0003	ABSENT	3	AIIN+AIN	T2_FUTURE_STRONG	IDENTITY_EXACT_FUTURE_STRONG	PREDICTED_STRONG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIN	NONE	NONE	NONE	AIN	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES
G446-CAN-0004	ABSENT	1	AIIN+AIN+S+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:S<-AIIN|FOCUS:S<-AIN|FOCUS:S<-Y	NONE	NONE	S	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0005	ABSENT	2	AIIN+AL	T4_NARROW_APPENDIX	IDENTITY_EXACT_NARROW_APPENDIX	NARROW_LOOKUP_ONLY	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AL	NONE	NONE	NONE	AIIN	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES
G446-CAN-0006	ABSENT	1	AIIN+AL+S	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:S<-AIIN|FOCUS:S<-AL	NONE	NONE	S	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0007	ABSENT	1	AIIN+AL+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AL|FOCUS:OWNER<-Y	NONE	NONE	NONE	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0008	ABSENT	1	AIIN+AR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AR	NONE	NONE	NONE	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0009	ABSENT	1	AIIN+CH+AIR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|FOCUS:CH<-AIR	NONE	NONE	CH	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0010	ABSENT	1	AIIN+CH+E+O	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|FOCUS:CH<-E	NONE	NONE	CH	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
