record_unit_id	title_de	pages	statement_count	event_count	fully_existing_atom_statements	bridge_stem_statements	whole_card_statements	continuous_third_ring_reading_de
H1	Wurzelansatz	f10r	2	14	1	1	0	Nimm die Wurzel als aktuellen Posten, halte den Ansatz bereit, nimm vom Ausgang, trenne einen Teil, gib ihn in den Träger, öffne den Wasserlauf, führe den nächsten Teil weiter und stelle auf den Vorgabewert ein. Setze den Posten an, führe ihn danach weiter und halte ihn bereit.
H2	Fortgesetzter Pflanzenansatz	f10r	3	24	3	0	0	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Bereitwert, führe den bereiten Posten weiter und stelle seinen Vorgabewert ein. Nimm den Folgeansatz, führe Ansatz und Fortsetzungsansatz weiter, stelle den Vorgabewert ein und entnimm ihn vom Ausgang. Bearbeite den aktuellen Ansatz, führe den Ansatz weiter, halte den laufenden Posten auf der gewählten Stufe und stelle den Eingangswert ein.
H3	Auswringen, Stehenlassen und Nachseihen	f11r	4	17	2	2	0	Entnimm den Eingangsposten, führe ihn zum Ziel, wringe ihn aus, halte bis zum Vorgabewert, seihe den aktuellen Posten nach, lies den freigegebenen Wert, stelle ihn beiseite und schließe. Lege einen Zutatenteil zurück. Nimm den vorigen Posten wieder auf, bearbeite den aktuellen Posten und stelle den Vorgabewert ein. Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit.
H4	Verwahrter Auszug	f55v	4	18	3	1	0	Stelle den Vorgabewert ein, nimm einen Postenanteil und kühle diesen Anteil ab. Stelle den Vorgabewert ein, übertrage den Posten und verwahre ihn am Ziel. Stelle den Postenwert ein, nimm den Auszug vom Ausgang, wärme länger, führe fort und schließe. Stelle den Vorgabewert ein, setze dort an, führe den bereiten Ansatz weiter und nimm davon einen Anteil.
H5	Frische Pflanzenfolge	f56r	6	27	4	2	0	Setze einen Eingangsansatz an, bringe den Eingangsposten zum Ziel, nimm den Vorgabewert, bearbeite weiter, beginne den Folgeansatz und setze den aktuellen Posten am Ziel. Nimm den vorigen Posten wieder auf, setze den aktuellen Eingangsposten an, führe ihn länger über die Zielstelle und schließe. Halte den Eingangsposten, bearbeite ihn kurz und setze ihn erneut an. Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle. Setze den Ansatz als Eingangsposten an, nimm den Auszug daraus und wende ihn danach an. Nimm den Folgeposten, führe ihn kurz weiter und stelle den Vorgabewert ein.
B1	Gemeinsamer Beckenweg	f81v	21	66	19	0	2	Setze kurz an und schließe. Stelle den Vorgabewert ein, öffne den Wasserlauf am Ziel, nimm vom Ausgang, führe weiter, gib einen Anteil, einen weiteren Anteil und den Zusatz zum Ziel, halte dort länger, übertrage und schließe. Führe weiter, halte den Posten im Arbeitsgang, übertrage und schließe. Übertrage, führe weiter, lass absetzen und schließe. Führe den Posten weiter und schließe. Gib einen gezählten Anteil und den Zusatz zu, leite den Posten durch und führe ihn zum Ziel. Setze den Posten an, übertrage und schließe. Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe. Setze kurz an und schließe. Setze kurz an und schließe. Leite durch und setze den Posten an. Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe. Wasche und schließe. Übertrage, führe weiter, leite am Auslass ab und führe danach von dort weiter. Nimm einen kurzen Teil des aktuellen Postens, setze ihn an, übertrage und schließe. Setze dort länger an, führe weiter, lass absetzen und schließe. Führe dorthin, führe kurz weiter, übertrage und schließe. Führe den aktuellen Posten ab, halte kurz, führe fort, stelle die Stufe ein, sammle länger und schließe. Lass absetzen und schließe. Wärme kurz, seih und schließe. Führe den Posten dorthin.
B2	Stations- und Durchlaufweg	f82r	22	62	22	0	0	Übertrage und schließe. Führe weiter und schließe. Gib einen Anteil zu, setze den Posten länger an und schließe. Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe. Setze den aktuellen Posten am Ziel, sammle bis zum Vorgabewert, leite durch, setze zweimal auf Vorgabewert, führe bereit fort, wärme länger, führe ab und schließe. Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an. Lass kurz absetzen und schließe. Stelle den Folgewert ein, setze daraus an, lass absetzen und schließe. Lass weiter absetzen und schließe. Setze länger an, führe den Posten durch den Auslass und nimm den freigegebenen Auszug. Gib einen gezählten Anteil zu, nimm vom Ausgang einen weiteren Anteil, setze länger an und schließe. Ziehe den Posten ab, nimm den freigegebenen Auszug, halte ihn kurz bereit, setze ihn länger an, führe den freigegebenen Auszug ab, stelle den Vorgabewert ein, führe den Posten vollständig aus und schließe. Führe ab und schließe. Führe von dort ab. Nimm den freigegebenen Auszug, setze länger an und schließe. Führe zum Ziel und vom Ausgang ab, trenne, setze den Vorgabewert, nimm den langen Folgeposten, setze kurz, führe ein und schließe. Halte den Posten kurz am Ziel, schließe das Ziel und beende den Schritt. Setze länger an und schließe. Führe den Waschgang aus und schließe. Nimm die lange Folge und schließe. Setze länger an und schließe. Führe den Rest ab und schließe.
B3	Hauptfolge der Anwendungen	f83r	34	86	34	0	0	Sammle länger und schließe. Führe danach dorthin, wärme länger und schließe. Nimm den aktuellen Posten, stelle den Vorgabewert ein, nimm ihn wieder auf, führe ab und schließe. Stelle den Vorgabewert ein, führe danach dorthin und nimm daraus. Übertrage und schließe. Übertrage den aktuellen Posten, setze ihn am Ziel an, führe weiter und schließe. Stelle den Vorgabewert ein, übertrage, setze länger an und schließe. Führe ab und schließe. Setze den Posten an. Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe. Übertrage den bereiten Posten, setze ihn an, übertrage den aktuellen Posten und nimm ihn vom Ausgang. Bereite den Ansatz, lass ihn absetzen und schließe. Stelle den Vorgabewert ein, nimm einen Anteil, halte kurz bereit, setze kurz an und schließe. Lass Wasser ein, lass länger absetzen und schließe. Führe ab und schließe. Führe ab, setze den Posten um und schließe. Setze länger an und schließe. Lass absetzen und schließe. Lass absetzen und schließe. Führe dorthin, führe ab und schließe. Stelle den Vorgabewert ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, übertrage und schließe. Übertrage den Folgeposten und schließe. Führe ab und schließe. Übertrage und schließe. Übertrage und schließe. Übertrage vom Ausgang, stelle den Absetzwert ein, übertrage den aktuellen Posten, gib einen Anteil zu, halte den Posten bereit, führe den Ansatz zum Ziel, sammle länger und schließe. Nimm die lange Folge und schließe. Setze länger, dann kurz an und schließe. Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe. Setze den Posten an, stelle den Vorgabewert ein, nutze den Wasserlauf, übertrage den Folgeposten und schließe. Setze länger an und schließe. Übertrage einen Anteil und den aktuellen Posten, setze den kurzen Folgewert und den Folgewert, führe die kurze Folge aus und schließe. Ziehe ab und schließe. Setze die Stufe, halte bereit, trenne einen Teil, setze den Folgewert, führe zur unteren Zielstelle, setze kurz ab und schließe.
B4	Tuch-, Halte- und Nachwaschfolge	f83r	16	47	14	2	0	Setze länger an und schließe. Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe. Übertrage, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe. Befestige den aktuellen Posten und schließe. Lege das Tuch ein, übertrage, setze länger an und schließe. Seih und schließe. Seih und schließe. Stelle den Vorgabewert ein, wärme länger, lass länger ruhen, setze kurz an und schließe. Lass absetzen und schließe. Führe weiter und schließe. Stelle den Vorgabewert ein, wärme kurz, führe länger fort, gib einen Anteil zu, übertrage, führe weiter, führe kurz ab und schließe. Führe ab und schließe. Setze die Fortsetzung ein, lass absetzen und schließe. Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt. Gib einen Anteil zu, nimm den freigegebenen Auszug, leite den Anteil zur Zielstelle, sammle kurz, führe ab und schließe. Gib einen weiteren Anteil zum Ziel, gieße ihn vom Ausgang aus, lass absetzen und schließe.
B5	Nachtrag: Ziel- und Öffnungsfolge	f83r	3	11	3	0	0	Führe die Folgeumsetzung aus und schließe. Übertrage und schließe. Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle den Vorgabewert ein und setze weiter um.
