semantic_word_no	canonical_component	graphic_component_aliases	spoken_workshop_word_de	sentence_role	teaching_rule_de	paradigm_slot	slot_label_de	master_question_de	slot_use_de	slot_mates	old_spoken_workshop_word_de	backread_reason_de	backread_revision	pre_617_workshop_word_de	noun_address_reason_de	noun_address_revision
W01	AIIN	NONE	SOLLMASS	QUANTITY	AIIN immer als MASS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	QUANTITY_STAGE	MENGE_STUFE	wie viel oder welche Stufe?	setzt Maß, Portion, Ordnung oder Stufe	AIIN|AIN|DA|IIN	MASS	unchanged distinct cue	NO	MASS	the prescribed amount or setting	YES
W02	AIN	NONE	PORTION	QUANTITY	AIN immer als PORTION sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	QUANTITY_STAGE	MENGE_STUFE	wie viel oder welche Stufe?	setzt Maß, Portion, Ordnung oder Stufe	AIIN|AIN|DA|IIN	PORTION	unchanged distinct cue	NO	PORTION	unchanged distinct workshop cue	NO
W03	AIR	NONE	FLUESSIGKEITSLAUF	PATH_MEDIUM	AIR immer als LAUF sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS	LAUF	unchanged distinct cue	NO	LAUF	the moving liquid, not the channel containing it	YES
W04	AL	NONE	ZIELSTELLE	TARGET	AL immer als ZIEL sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS	ZIEL	unchanged distinct cue	NO	ZIEL	the addressed work or body site	YES
W05	AR	NONE	VORRAT	SOURCE	AR immer als QUELLE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS	QUELLE	unchanged distinct cue	NO	QUELLE	the source stock from which material is taken	YES
W06	CFH	NONE	AUSWRINGEN	ACTION	CFH immer als AUSWRINGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	AUSWRINGEN	unchanged distinct cue	NO	AUSWRINGEN	unchanged distinct workshop cue	NO
W07	CH	NONE	ABNEHMEN	ACTION	CH immer als ABZIEHEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	ABZIEHEN	material or working portion is taken off the active owner	YES	ABNEHMEN	unchanged distinct workshop cue	NO
W08	CHD	NONE	UMSETZEN	ACTION	CHD immer als UMSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	UMSETZEN	unchanged distinct cue	NO	UMSETZEN	unchanged distinct workshop cue	NO
W09	CHK	NONE	WAERMEN	ACTION	CHK immer als WAERMEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	WAERMEN	unchanged distinct cue	NO	WAERMEN	unchanged distinct workshop cue	NO
W10	CKH	NONE	DURCHLASSKANAL	PATH_MEDIUM	CKH immer als DURCHLASS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS	DURCHLASS	unchanged distinct cue	NO	DURCHLASS	the passage or channel, not its liquid	YES
W11	CTH	NONE	BEREIT	STATE	CTH immer als BEREIT sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	STATE	ZUSTAND	bis wann?	fordert Bereitschaft	CTH	BEREIT	unchanged distinct cue	NO	BEREIT	unchanged distinct workshop cue	NO
W12	DA	NONE	ZWEITMARKER	MODIFIER	DA immer als ZWEIT sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	QUANTITY_STAGE	MENGE_STUFE	wie viel oder welche Stufe?	setzt Maß, Portion, Ordnung oder Stufe	AIIN|AIN|DA|IIN	ZWEIT	unchanged distinct cue	NO	ZWEIT	marks a second stage or local second item	YES
W13	DY	NONE	SCHLUSS	CLOSE	DY immer als SCHLUSS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	CLOSE	SCHLUSS	ist der Schritt abgeschlossen?	schließt die lizenzierte Karte	DY	SCHLUSS	unchanged distinct cue	NO	SCHLUSS	unchanged distinct workshop cue	NO
W14	E	NONE	KURZ	GRADE	E immer als KURZ sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	GRADE	GRAD	wie kurz, lang oder vollständig?	modifiziert die Ausführung	E|EE|EEE	KURZ	unchanged distinct cue	NO	KURZ	unchanged distinct workshop cue	NO
W15	EE	NONE	LANG	GRADE	EE immer als LANG sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	GRADE	GRAD	wie kurz, lang oder vollständig?	modifiziert die Ausführung	E|EE|EEE	LANG	unchanged distinct cue	NO	LANG	unchanged distinct workshop cue	NO
W16	EEE	NONE	VOLL	GRADE	EEE immer als VOLL sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	GRADE	GRAD	wie kurz, lang oder vollständig?	modifiziert die Ausführung	E|EE|EEE	VOLL	unchanged distinct cue	NO	VOLL	unchanged distinct workshop cue	NO
W17	HO	NONE	ZUTAT	MATERIAL	HO immer als GABE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	OBJECT_MATERIAL	GEGENSTAND	was wird bearbeitet?	setzt Posten, Gabe, Gang oder Ansatz	Y|HO|O|OR	GABE	unchanged distinct cue	NO	GABE	a new added material rather than the current item	YES
W18	IIN	NONE	ARBEITSSTUFE	STATE	IIN immer als STUFE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	QUANTITY_STAGE	MENGE_STUFE	wie viel oder welche Stufe?	setzt Maß, Portion, Ordnung oder Stufe	AIIN|AIN|DA|IIN	STUFE	unchanged distinct cue	NO	STUFE	the named process stage, distinct from amount	YES
W19	K	NONE	ZUDOSIEREN	ACTION	K immer als ZUFUEHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	ZUFUEHREN	a bounded feed or portion is metered into the active work	YES	ZUDOSIEREN	unchanged distinct workshop cue	NO
W20	L	NONE	WEITERLEITEN	ACTION	L immer als FUEHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	FUEHREN	the active item continues along a local path or station	YES	WEITERLEITEN	unchanged distinct workshop cue	NO
W21	LD	NONE	BEFESTIGEN	ACTION	LD immer als BEFESTIGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	BEFESTIGEN	unchanged distinct cue	NO	BEFESTIGEN	unchanged distinct workshop cue	NO
W22	LSH	NONE	WASCHEN	ACTION	LSH immer als WASCHEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	WASCHEN	unchanged distinct cue	NO	WASCHEN	unchanged distinct workshop cue	NO
W23	O	NONE	ARBEITSGANG	PROCESS	O immer als GANG sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	OBJECT_MATERIAL	GEGENSTAND	was wird bearbeitet?	setzt Posten, Gabe, Gang oder Ansatz	Y|HO|O|OR	GANG	names the running work cycle, not the prepared material	YES	ARBEITSGANG	unchanged distinct workshop cue	NO
W24	OK	NONE	ANSETZEN	ACTION	OK immer als ANSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	ANSETZEN	unchanged distinct cue	NO	ANSETZEN	unchanged distinct workshop cue	NO
W25	OL	LS	FORTSETZEN	SEQUENCE	OL und LS gleich als FORTSETZEN sprechen.	SEQUENCE	FOLGE	wann oder weiter?	ordnet Folge oder Fortsetzung	OL|OT	FORTSETZEN	unchanged distinct cue	NO	FORTSETZEN	unchanged distinct workshop cue	NO
W26	OR	NONE	ANSATZ	PREPARATION	OR immer als ANSATZ sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	OBJECT_MATERIAL	GEGENSTAND	was wird bearbeitet?	setzt Posten, Gabe, Gang oder Ansatz	Y|HO|O|OR	ANSATZ	unchanged distinct cue	NO	ANSATZ	unchanged distinct workshop cue	NO
W27	OS	NONE	ARBEITSFACH	TARGET	OS immer als FACH sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS	FACH	unchanged distinct cue	NO	FACH	a compartment or receiver slot	YES
W28	OT	NONE	DANACH	SEQUENCE	OT immer als DANACH sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SEQUENCE	FOLGE	wann oder weiter?	ordnet Folge oder Fortsetzung	OL|OT	DANACH	unchanged distinct cue	NO	DANACH	unchanged distinct workshop cue	NO
W29	P	NONE	EINFUELLEN	ACTION	P immer als HINEIN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	HINEIN	puts material into a receiver or local container	YES	EINFUELLEN	unchanged distinct workshop cue	NO
W30	R	NONE	KUEHLEN	ACTION	R immer als KUEHLEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	KUEHLEN	unchanged distinct cue	NO	KUEHLEN	unchanged distinct workshop cue	NO
W31	S	NONE	TEILEN	ACTION	S immer als TEILEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	TEILEN	unchanged distinct cue	NO	TEILEN	unchanged distinct workshop cue	NO
W32	SH	NONE	HALTEN	ACTION	SH immer als HALTEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	HALTEN	unchanged distinct cue	NO	HALTEN	unchanged distinct workshop cue	NO
W33	SHED	NONE	ABSETZEN	ACTION	SHED immer als ABSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	ABSETZEN	unchanged distinct cue	NO	ABSETZEN	unchanged distinct workshop cue	NO
W34	SOLK	NONE	AUFFANGEN	ACTION	SOLK immer als AUFFANGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	AUFFANGEN	unchanged distinct cue	NO	AUFFANGEN	unchanged distinct workshop cue	NO
W35	T	NONE	EINTRAGEN	ACTION	T immer als EINTRAGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	EINTRAGEN	unchanged distinct cue	NO	EINTRAGEN	unchanged distinct workshop cue	NO
W36	TALAM	NONE	VERWAHREN	ACTION	TALAM immer als VERWAHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM	VERWAHREN	unchanged distinct cue	NO	VERWAHREN	unchanged distinct workshop cue	NO
W37	Y	NONE	ARBEITSPOSTEN	ITEM	Y immer als DIES sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	OBJECT_MATERIAL	GEGENSTAND	was wird bearbeitet?	setzt Posten, Gabe, Gang oder Ansatz	Y|HO|O|OR	DIES	unchanged distinct cue	NO	DIES	the currently active item inherited from owner and case	YES
W38	AN	NONE	NACHPORTION	QUANTITY	AN nach einer bereits genannten AIN-Portion als NACHPORTION sprechen.	QUANTITY_STAGE	MENGE_STUFE	welche weitere Portion?	setzt eine unmittelbar folgende zweite oder zusätzliche Portion	AIIN|AIN|AN|DA|IIN	NACHPORTION	unchanged distinct cue	NO	NACHPORTION	unchanged distinct workshop cue	NO
W39	RESUME_CARD	DCHOL|SCHOL	WIEDERAUFNEHMEN	SEQUENCE	Die exakte dchol/schol-Karte am neuen Aussageanfang als WIEDERAUFNEHMEN sprechen.	SEQUENCE	FOLGE	welcher vorige Arbeitsfaden wird wieder aufgenommen?	nimmt einen zuvor aktiven Posten nach einer Grenze wieder auf	OL|OT|RESUME_CARD	WIEDERAUFNEHMEN	unchanged distinct cue	NO	WIEDERAUFNEHMEN	unchanged distinct workshop cue	NO
