page	locus	kind	reader	model	source_text	tokens	hypothesis_positions_1based	literal_hypotheses_json	confidence
f1r	f1r.2	P	zl3b_clean	N	sory ckhar or y kair chtaiin shar ase cthar cthar dan	11	9,10,11	"[""[sory]"", ""[ckhar]"", ""[or]"", ""[y]"", ""[kair]"", ""[chtaiin]"", ""[shar]"", ""[ase]"", ""Wurzel?"", ""Wurzel?"", ""sehr wenig?""]"	C0_UNCONFIRMED
f1r	f1r.2	P	zl3b_clean	G	sory ckhar or y kair chtaiin shar ase cthar cthar dan	11	9,10,11	"[""[sory]"", ""[ckhar]"", ""[or]"", ""[y]"", ""[kair]"", ""[chtaiin]"", ""[shar]"", ""[ase]"", ""Wurzel?"", ""Wurzel?"", ""sehr wenig?""]"	C0_UNCONFIRMED
f1r	f1r.2	P	it2a_clean	N	sory ckhar or y kair chtaiin shar are cthar cthar dan	11	9,10,11	"[""[sory]"", ""[ckhar]"", ""[or]"", ""[y]"", ""[kair]"", ""[chtaiin]"", ""[shar]"", ""[are]"", ""Wurzel?"", ""Wurzel?"", ""sehr wenig?""]"	C0_UNCONFIRMED
f1r	f1r.2	P	it2a_clean	G	sory ckhar or y kair chtaiin shar are cthar cthar dan	11	9,10,11	"[""[sory]"", ""[ckhar]"", ""[or]"", ""[y]"", ""[kair]"", ""[chtaiin]"", ""[shar]"", ""[are]"", ""Wurzel?"", ""Wurzel?"", ""sehr wenig?""]"	C0_UNCONFIRMED
f1r	f1r.2	P	rf1b_clean	N	sory ckhar ory kair chtaiin shar is cthar cthar dan	10	8,9,10	"[""[sory]"", ""[ckhar]"", ""[ory]"", ""[kair]"", ""[chtaiin]"", ""[shar]"", ""[is]"", ""Wurzel?"", ""Wurzel?"", ""sehr wenig?""]"	C0_UNCONFIRMED
f1r	f1r.2	P	rf1b_clean	G	sory ckhar ory kair chtaiin shar is cthar cthar dan	10	8,9,10	"[""[sory]"", ""[ckhar]"", ""[ory]"", ""[kair]"", ""[chtaiin]"", ""[shar]"", ""[is]"", ""Wurzel?"", ""Wurzel?"", ""sehr wenig?""]"	C0_UNCONFIRMED
f1r	f1r.4	P	zl3b_clean	N	soiin oteey oteos roloty cthiar daiin okaiin or okan	9	6,7	"[""[soiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""[cthiar]"", ""viel?"", ""Pulver?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	zl3b_clean	G	soiin oteey oteos roloty cthiar daiin okaiin or okan	9	6,7	"[""[soiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""[cthiar]"", ""viel?"", ""ist?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	it2a_clean	N	ooiin oteey oteos roloty cthar daiin otaiin or okan	9	5,6	"[""[ooiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""Wurzel?"", ""viel?"", ""[otaiin]"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	it2a_clean	G	ooiin oteey oteos roloty cthar daiin otaiin or okan	9	5,6	"[""[ooiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""Wurzel?"", ""viel?"", ""[otaiin]"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
