gdt752_contact_id	comparison_group	pair_id	prefix_character	prefix_surface	base_surface	page	physical_folio	locus	prefix_ordinal	base_ordinal	written_order	written_line_eva	prefix_outer_side	prefix_outer_extent	prefix_outer_boundary_reason	prefix_outer_boundary_complete	prefix_outer_anchor_count	prefix_outer_anchor_surfaces	prefix_outer_anchor_tags	prefix_outer_anchor_evidence	prefix_outer_field_channel	prefix_outer_slot_class	prefix_outer_slot_label_de	prefix_outer_quality_stage_support	prefix_outer_preparation_support	prefix_outer_carrier_support	prefix_outer_unknown_count	base_outer_side	base_outer_extent	base_outer_boundary_reason	base_outer_boundary_complete	base_outer_anchor_count	base_outer_anchor_surfaces	base_outer_anchor_tags	base_outer_anchor_evidence	base_outer_field_channel	base_outer_slot_class	base_outer_slot_label_de	base_outer_quality_stage_support	base_outer_preparation_support	base_outer_carrier_support	base_outer_unknown_count	both_outer_boundaries_complete	raw_exact_role_split_support	raw_exact_role_split_reverse	raw_broad_role_split_support	raw_broad_role_split_reverse	exact_role_split_support	exact_role_split_reverse	broad_role_split_support	broad_role_split_reverse	independent_side_evidence_status	complete_field_decision	working_pair_render_de	literal_identity	confirmed_lexeme	component_export_credit
G752-Q001	Q_PREFIX	G751-Q010	q	qokaiin	okaiin	f83v	f83	f83v.8	2	3	PREFIX_THEN_BASE	rolkeedy qokaiin okaiin ched okchey	L	0	STRICT_INITIAL_BEFORE_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	2	LINE_EDGE_AFTER_R2	1	1	okchey	HOT|DRY|PREPARATION|MIDDLE_STAGE	R2 okchey=heiß-trockener Ansatz in der Mitte des Grades [HOT|DRY|PREPARATION|MIDDLE_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	0	1	0	0	0	0	0	0	0	0	MIXED_PARTIAL	MIXED_PARTIAL	qokaiin: äußeres Feld OPEN; okaiin: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-Q002	Q_PREFIX	G751-Q010	q	qokaiin	okaiin	f86v6	f86	f86v6.16	3	2	BASE_THEN_PREFIX	taiin okaiin qokaiin ykeey otain chey okam qokar qokain okaiin	R	5	RADIUS5_CENSORED	0	1	okam	HOT|AMOUNT|PREPARATION	R4 okam=ein Maß heißen Ansatzes [HOT|AMOUNT|PREPARATION;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	0	L	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	0	0	0	0	0	0	0	MIXED_PARTIAL	CENSORED__MIXED_PARTIAL	qokaiin: äußeres Feld DESCRIPTIVE_MATERIA; okaiin: äußeres Feld OPEN	OPEN	0	0
G752-Q003	Q_PREFIX	G751-Q010	q	qokaiin	okaiin	f113v	f113	f113v.19	5	4	BASE_THEN_PREFIX	daiin qokeeody qokar okaiin qokaiin okar checthy okal ched lchal qckham	R	4	STRICT_INITIAL_BEFORE_R5	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	L	3	LINE_EDGE_AFTER_R3	1	1	qokeeody	PREPARATION|END_STAGE	L2 qokeeody=vollständig ausgekochter Ansatz [PREPARATION|END_STAGE;W3_SOLID_WORKING_THEORY]	MATERIA_OR_INGREDIENT	LEMMA_OR_INGREDIENT	Lemma-/Zutatinhalt offen	1	1	1	0	1	0	0	0	0	0	0	0	0	MIXED_PARTIAL	MIXED_PARTIAL	qokaiin: äußeres Feld OPEN; okaiin: äußeres Feld MATERIA_OR_INGREDIENT	OPEN	0	0
G752-Q004	Q_PREFIX	G751-Q011	q	qokain	okain	f80r	f80	f80r.19	9	10	PREFIX_THEN_BASE	dcheol shedy qokeel qotaiin chtal schcthy qokal chcthy qokain okain oloky	L	2	STRICT_INITIAL_BEFORE_R3	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	qokain: äußeres Feld OPEN; okain: äußeres Feld OPEN	OPEN	0	0
G752-Q005	Q_PREFIX	G751-Q011	q	qokain	okain	f80r	f80	f80r.32	6	7	PREFIX_THEN_BASE	solchey qoky r cheykain sheckhy qokain okain ol	L	4	STRICT_INITIAL_BEFORE_R5	1	1	qoky	HOT|BEGIN_STAGE	L4 qoky=heiß am Anfang des Grades [HOT|BEGIN_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_QUALITY	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	0	0	R	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	1	0	0	0	0	0	0	0	0	PARTIAL_HYPOTHESIS_SIDE	PARTIAL_HYPOTHESIS_SIDE	qokain: äußeres Feld DESCRIPTIVE_QUALITY; okain: äußeres Feld OPEN	OPEN	0	0
G752-Q006	Q_PREFIX	G751-Q011	q	qokain	okain	f103r	f103	f103r.18	7	6	BASE_THEN_PREFIX	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys	R	2	LINE_EDGE_AFTER_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	2	L	2	PAIR_SURFACE_BEFORE_R3	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	qokain: äußeres Feld OPEN; okain: äußeres Feld OPEN	OPEN	0	0
G752-Q007	Q_PREFIX	G751-Q011	q	qokain	okain	f106r	f106	f106r.47	3	2	BASE_THEN_PREFIX	ycheoar okain qokain char oky cheokam	R	3	LINE_EDGE_AFTER_R3	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	L	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	qokain: äußeres Feld OPEN; okain: äußeres Feld OPEN	OPEN	0	0
G752-Q008	Q_PREFIX	G751-Q011	q	qokain	okain	f111v	f111	f111v.22	6	7	PREFIX_THEN_BASE	saiin ychear olsheey chetain chedy qokain okain al chan okalchey lkeeey	L	4	STRICT_INITIAL_BEFORE_R5	1	1	chetain	DRY|PROCESS|MIDDLE_STAGE|LEVEL_II	L2 chetain=bis Mittelstufe trocknen, dann auf Kühlstufe II bringen [DRY|PROCESS|MIDDLE_STAGE|LEVEL_II;W2_PROVISIONAL_WORKING]	PRESCRIPTIVE_PROCESS	INGREDIENT_OR_PROCESS_COMPLEMENT	Stoff-/Prozessergänzung offen	1	0	0	2	R	3	STRICT_INITIAL_BEFORE_R4	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	1	0	0	0	0	0	0	0	0	PARTIAL_HYPOTHESIS_SIDE	PARTIAL_HYPOTHESIS_SIDE	qokain: äußeres Feld PRESCRIPTIVE_PROCESS; okain: äußeres Feld OPEN	OPEN	0	0
G752-Q009	Q_PREFIX	G751-Q013	q	qokaly	okaly	f58v	f58	f58v.5	9	10	PREFIX_THEN_BASE	faiir ofas ar qotaiin sholy qotaiin yqokaly okal qokaly okaly	L	5	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	2	R	0	LINE_EDGE_AFTER_R0	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	CENSORED__NO_INDEPENDENT_SIDE_SIGNAL	qokaly: äußeres Feld OPEN; okaly: äußeres Feld OPEN	OPEN	0	0
G752-Q010	Q_PREFIX	G751-Q015	q	qokar	okar	f40r	f40	f40r.2	1	2	PREFIX_THEN_BASE	qokar okar okedy dar ykchey kaiin okas chedy okar a ralos	L	0	LINE_EDGE_AFTER_R0	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	5	RADIUS5_CENSORED	0	2	ykchey|kaiin	HOT|DRY|PROCESS|MIDDLE_STAGE|LEVEL_III	R3 ykchey=erhitze und trockne hiervon bis zur Mittelstufe [HOT|DRY|PROCESS|MIDDLE_STAGE;W3_SOLID_WORKING_THEORY] || R4 kaiin=heiß, Grad III [HOT|LEVEL_III;W3_SOLID_WORKING_THEORY]	PRESCRIPTIVE_PROCESS	INGREDIENT_OR_PROCESS_COMPLEMENT	Stoff-/Prozessergänzung offen	1	0	0	1	0	0	0	0	0	0	0	0	0	PARTIAL_REVERSE_SIDE	CENSORED__PARTIAL_REVERSE_SIDE	qokar: äußeres Feld OPEN; okar: äußeres Feld PRESCRIPTIVE_PROCESS	OPEN	0	0
