statement_id	page	record	residual_class	predicted_cards	observed_cards	card_edit_distance	missing_component_count	missing_components	extra_component_count	extra_components	smallest_repair	next_priority	predicted_recipe_sequence	observed_recipe_sequence
H1-S001	f10r	H1	LARGE_LEARNED_FORMULA	9	10	4	4	CH+OS+T+Y	0	NONE	insert whole OS card and learned OT action phrase	LATER	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y
H2-S001	f10r	H2	LARGE_LEARNED_FORMULA	5	9	5	7	AIIN+CTH+CTH+O+Y+Y+Y	0	NONE	expand preparation/measure/current-item formula	LATER	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y
H3-S001	f11r	H3	LARGE_LEARNED_FORMULA	8	7	4	5	O+O+SH+T+T	1	Y	replace opening and terminal fallbacks with learned wet-process cards	LATER	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY
H3-S004	f11r	H3	MINIMAL_SINGLE_CHANGE	3	4	1	1	Y	0	NONE	append active-item card after CTH+Y	NOW	OT+Y | OK+OL | CTH+Y	OT+Y | OK+OL | CTH+Y | Y
H4-S001	f55v	H4	SMALL_PHRASE_REORDER	5	5	3	2	AIIN+K	0	NONE	repack measure, activation and two portion cards	LATER	AIIN | OK+Y | AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY
H5-S001	f56r	H5	LARGE_LEARNED_FORMULA	6	9	5	4	HO+HO+HO+Y	0	NONE	repeat HO owner/material slots across long Herbal clause	LATER	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL
H5-S002	f56r	H5	MINIMAL_SINGLE_CHANGE	4	4	1	1	Y	0	NONE	pack HO with Y after resume	NOW	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY
H5-S003	f56r	H5	SMALL_PHRASE_REORDER	4	4	3	1	OK	0	NONE	swap SH/HO and double OK inside final card	LATER	HO | SH | K+E+Y | OK+Y	SH | HO | K+E+Y | OK+OK+Y
B1-S002	f81v	B1	LARGE_LEARNED_FORMULA	14	19	8	8	AIIN+AL+AL+K+OK+OL+OL+OL	1	Y	large continuation/address formula with repeated AL/OL/AIIN	LATER	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY
B1-S006	f81v	B1	SEGMENTATION_OR_REDISTRIBUTION	3	4	2	0	NONE	0	NONE	split L+CKH+Y into CKH+Y then L	AFTER_MINIMAL	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL
B1-S015	f81v	B1	MINIMAL_SINGLE_CHANGE	2	2	1	0	NONE	0	NONE	use attested T+E+Y order	NOW	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY
B2-S004	f82r	B2	MINIMAL_SINGLE_CHANGE	5	5	1	1	L	0	NONE	pack L with CKH+Y	NOW	OK+AL | CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY
B2-S005	f82r	B2	MINIMAL_SINGLE_CHANGE	7	8	1	2	AIIN+OK	0	NONE	repeat OK+AIIN once	NOW	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY
B2-S016	f82r	B2	MINIMAL_SINGLE_CHANGE	8	8	1	1	OK	0	NONE	pack OK with AIIN	NOW	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY
B3-S011	f83r	B3	MINIMAL_SINGLE_CHANGE	4	4	1	1	Y	0	NONE	pack AR with active Y	NOW	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y
B3-S021	f83r	B3	LARGE_LEARNED_FORMULA	9	11	4	4	AL+AL+Y+Y	0	NONE	large target/current-item expansion around SHED and close	LATER	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY
B3-S032	f83r	B3	SMALL_PHRASE_REORDER	5	5	3	2	CHD+OT	0	NONE	repack AIN under CHD and redistribute OT/grade/close	LATER	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY
B4-S002	f83r	B4	SEGMENTATION_OR_REDISTRIBUTION	3	3	2	1	Y	0	NONE	move OL and copied Y across two neighboring cards	AFTER_MINIMAL	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY
B6-S001	f83r	B6	LARGE_LEARNED_FORMULA	7	9	4	4	E+OL+Y+Y	0	NONE	large grade/current-item/continuation expansion	LATER	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR
